,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,120000.0,0.1179941002949852,83.0,27.0,,79304.05198296624,148885.5773392665,254669.9901850824,71298.09870321826,76816.62948644819,146994.09263739755,239308.42877211355,356916.344347011,0.972704581048344
1,2018-02-28,123500.0,0.0967741935483871,36.0,28.0,,80351.4205382878,149342.30316663426,255936.96141352048,72347.6747527365,77949.66607796423,148027.53879331355,240297.9597650445,358212.39545389963,0.980670877769338
2,2018-03-31,162500.0,0.1552941176470588,23.0,30.0,,81030.71820018766,149888.8960971719,256756.47883771537,72885.7847152879,78663.69134824698,148733.1625851909,241002.7904955568,358664.9118672348,0.9920473995374152
3,2018-04-30,140000.0,0.1281407035175879,26.0,35.0,,81306.67785808,150849.6238231697,257014.56532175007,73058.82465580099,78987.33459593148,148981.15041999833,241226.6905982423,358722.43748047785,0.984143124761462
4,2018-05-31,165000.0,0.1822784810126582,21.0,35.0,,81414.4364676512,152129.59990447582,257371.7515640613,73262.97460475653,79086.04157314797,148998.9668126113,241431.3787106322,359657.6018140335,0.9825442790356564
5,2018-06-30,167000.0,0.1778290993071593,31.0,30.0,,81562.39517956269,153253.74963057705,257896.21208501724,73571.99875011614,79269.96431132352,149107.94650346748,241723.1219661596,360768.2451607243,0.9823297173172476
6,2018-07-31,156500.0,0.2100840336134453,35.0,21.0,,81972.5231042317,155104.0573187269,259294.8650132908,74166.24597715311,79647.58792209711,149587.7831946456,242860.5276996518,362756.17035943456,0.9807508155060188
7,2018-08-31,161750.0,0.1767337807606264,45.0,20.0,,82437.38680376044,154988.43901835778,260408.6253999039,74540.66382032039,80003.240218238,150040.02532724044,243820.5623434504,364057.7500887176,0.9819499313144546
8,2018-09-30,145000.0,0.1235431235431235,62.0,22.0,,82870.39294926147,154745.78939692103,261127.34374456367,75073.41247613438,80367.77113688154,150404.0103150759,244474.68159011705,365166.0910254372,0.9831639101873424
9,2018-10-31,167500.0,0.1448931116389548,75.0,26.0,,82920.9728980548,153971.63716719116,260909.19034905764,75263.53105971997,80412.48762806959,150400.59514156368,244480.20942301536,365607.4735013833,0.978700157016836
10,2018-11-30,159000.0,0.1077694235588972,42.0,24.0,,83143.44031788994,153758.47061909936,260969.44633205328,75736.09092371444,80580.8991449901,150732.36596722074,244818.1429159172,366596.01331108593,0.978262134672513
11,2018-12-31,153500.0,0.0636604774535809,76.0,24.0,,83573.16971705669,153481.15876292915,261494.4125508188,76139.44331545931,80781.75173043802,151252.95154839382,245544.8923497392,367933.0192090262,0.9803884681343248
12,2019-01-31,147250.0,0.1458333333333333,70.0,30.0,,84059.26662676019,153552.30858738677,262277.938691297,76348.72274910264,80931.13773221585,152049.36684539376,246410.5354575701,368952.5082621905,0.9706405845867906
13,2019-02-28,155500.0,0.1037974683544303,51.0,38.0,,84471.95665518356,154307.52994468692,263174.6686083544,76426.71231329396,81167.9869280568,152829.87951306754,247441.5226030508,369894.629160067,0.9710354489378747
14,2019-03-31,166000.0,0.1142857142857142,37.0,39.0,,84884.21912607539,155616.58701817342,264131.2561079183,76505.70615954214,81501.24115555275,153668.55760605296,248573.3072515092,370592.3686707466,0.9774457453566422
15,2019-04-30,175000.0,0.1905829596412556,33.0,39.0,,85566.97497644844,157257.48463124776,264994.5363195308,76964.06039752165,82171.2888684736,154449.477370911,249540.38030459755,371405.39943036856,0.974470311260543
