,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,107375.0,0.1338155515370705,94.0,19.0,5000.0,66925.13687410524,123154.01605607024,232396.89509374907,46021.07844286913,76100.89109377436,131285.48184166607,185157.23840155712,237931.53858424447,0.9765418606348816
1,2018-02-28,119750.0,0.132486388384755,40.0,23.0,5000.0,67413.52554094288,122992.37035766491,232879.2532904253,46310.43929307346,76387.96130618197,131762.00635198553,185794.1322673501,238645.89562269943,0.9754744281611646
2,2018-03-31,107795.0,0.1919561243144424,48.0,25.0,5000.0,67900.39586453757,124222.70537870289,234144.43651794016,46513.11734126628,76767.49971078125,132485.72639192545,186756.91432045185,239871.7435553,0.9803591999975672
3,2018-04-30,123000.0,0.1952054794520548,47.0,34.0,5000.0,68182.55089384517,125617.40616696046,235209.16465092576,46595.92833546217,77069.30629491177,133141.10299855252,187651.52644596383,240812.2138127176,0.9814716929355732
4,2018-05-31,131259.0,0.2017416545718432,11.0,36.0,5000.0,68398.80987074072,127443.75009559024,236466.0457028573,46731.82861428169,77329.99139301913,133783.4575604285,188627.20139020344,241907.245709272,0.9816203798037882
5,2018-06-30,135000.0,0.1622971285892634,36.0,33.0,5000.0,68469.63102829937,128868.54841505594,237262.10078924047,46743.9026119771,77464.99135957722,134196.69412902257,189322.0272635909,242505.3516655287,0.9865063912196984
6,2018-07-31,124900.0,0.2239583333333333,27.0,27.0,5450.0,68596.49058673905,129970.3379398642,238257.42147413737,46828.54344747964,77736.77598934296,134683.22679275725,190129.6521188688,243490.83168975977,0.9805917591672946
7,2018-08-31,128338.0,0.2326530612244897,33.0,27.0,5000.0,68570.86652003361,130362.01219361465,238956.1507207701,46747.63662042972,78035.02631481129,135129.6301110078,190867.0531263637,244553.45731320907,0.981583410448527
8,2018-09-30,114500.0,0.1979768786127167,40.0,26.0,5100.0,68580.32411731353,130491.25290916389,239847.60334560505,46615.60583218505,78432.30729951929,135816.97489577625,191785.2282247203,245854.6714809709,0.9829910953061248
9,2018-10-31,125000.0,0.1983122362869198,33.0,25.0,5000.0,68414.81263170035,129687.8221393528,240403.0682809791,46342.48887939952,78721.86831116532,136487.69976425965,192584.64069754645,246923.13945019,0.9783207636820246
10,2018-11-30,123000.0,0.1930379746835443,40.0,25.0,5000.0,68386.37218948819,129247.34533611136,241142.2407721389,46258.48155916973,79109.25482735861,137329.85748895293,193529.34708185896,248111.8204038473,0.9739740418068894
11,2018-12-31,120185.0,0.1130434782608695,39.0,26.0,5000.0,68416.39812403433,128577.29795503066,241714.6089757007,46386.41756088979,79454.8164013494,138055.6781138015,194412.33852079164,249242.94007949167,0.9750713059039356
12,2019-01-31,112900.0,0.1219512195121951,73.0,30.0,5000.0,68556.39038486006,128252.1968368896,242476.0736523363,46692.07020283512,79827.9781308006,138781.833646746,195073.9307154255,249920.3345844318,0.9759568476160724
13,2019-02-28,141024.0,0.1156716417910447,59.0,35.0,5000.0,68590.41659905371,128753.57583710956,243290.14926343728,46879.0793756122,80221.71367159813,139520.70001822145,195575.4259700585,250229.85284184912,0.9756350685921086
14,2019-03-31,123750.0,0.1571969696969697,38.0,39.0,5000.0,68794.87976657561,130376.98986671049,244336.3096327891,47097.92567515452,80728.03506604487,140169.46345767498,195881.5685736451,250318.377221804,0.9768867474962591
15,2019-04-30,135000.0,0.2099447513812154,24.0,42.0,5000.0,69010.42889106867,131782.89553293577,245167.8041655761,47300.52140275252,81155.41731722189,140627.03654372683,196105.74020651417,250222.6349936404,0.9834558685751246
16,2019-05-31,129500.0,0.18,14.0,39.0,5000.0,69412.17953113321,133723.1386425099,245841.2051879436,47788.35161267229,81475.57080859442,140886.28609149344,196256.7024356693,250022.11862824185,0.9812179616219376
17,2019-06-30,145375.0,0.2053422370617696,16.0,39.0,5100.0,69806.40342520682,136159.25313279952,246627.17358812143,48259.43764937274,81802.70566357241,141267.91960092835,196468.8017049624,249879.33403832847,0.9828622043695848
18,2019-07-31,123000.0,0.2204724409448819,12.0,40.0,5000.0,70160.08780127495,137311.6562079826,247411.5705319104,48568.66074029002,82053.5174303162,141668.66915208354,196724.6600284333,249929.5994027189,0.9805045609964692
19,2019-08-31,116000.0,0.2231270358306188,24.0,38.0,5000.0,70272.1121469018,137491.62383549067,248066.4716660285,48588.409960576384,82227.3360571555,142006.37465695196,196910.5112811298,250111.86857403445,0.9802446856167298
20,2019-09-30,132700.0,0.1945854483925549,40.0,34.0,5000.0,69956.52288812461,136560.77257333524,248091.901342405,48314.22529411846,81988.23406000542,142055.11042351162,196938.25538523623,250165.5029992432,0.9814561643963456
