,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,143800.0,0.1229946524064171,27.0,49.0,,106626.67582830891,164393.2281985513,255279.5495267696,86431.75079325686,91809.04028477264,150175.25832063172,214432.2506756424,251631.0142035506,0.9782322033815484
1,2018-02-28,143619.0,0.1047120418848167,37.0,49.0,,107458.8360356856,164502.56007655017,255938.937671362,86963.34322670415,92500.63945662053,151033.61867989856,215198.29425811124,252471.9997330156,0.9755416319736998
2,2018-03-31,170000.0,0.105793450881612,37.0,49.0,,108221.6109079945,165691.06919587645,256367.36817177176,87149.95884243687,92949.3399655098,151591.36117121766,215747.7876371153,253153.5213229116,0.9790919991942908
3,2018-04-30,161075.0,0.1710526315789473,27.0,50.0,,108845.22020666183,166520.64588767278,256875.13029650165,87356.40447807773,93357.37497889769,151960.99232163056,216318.107206486,253592.66781166903,0.9783872683123992
4,2018-05-31,150000.0,0.1469072164948453,29.0,51.0,,109370.49128792968,167683.3277966288,257381.30965466177,87674.37195872831,93917.35643510443,152189.4154010573,216751.5985778964,253943.3813271017,0.9816143545260936
5,2018-06-30,174000.0,0.1912144702842377,15.0,50.0,,109567.79373019173,168572.45766775004,257593.87234916555,87865.28476947306,94350.55912073648,152212.86836895914,216954.60098808468,253902.08638136773,0.9828013026344984
6,2018-07-31,161000.0,0.1840193704600484,20.0,50.0,,109975.82867791328,170422.40762240958,258311.65110054123,88076.24491094565,94890.9857578365,152595.49928376792,217697.2903829028,254421.3514181857,0.9803680353991628
7,2018-08-31,179950.0,0.2005141388174807,36.0,49.0,,110682.5400384448,171403.09875371892,259528.28361898588,88491.7092603277,95831.11977251888,153295.6701983037,218909.74169940656,255493.95582945165,0.9814030723460996
8,2018-09-30,148000.0,0.1546134663341646,57.0,47.0,,111688.1783664819,172376.60906495235,261088.3827336308,89200.20931068574,96895.43006191558,154395.31705975486,220453.8443994435,257005.23864513863,0.9811825403011492
9,2018-10-31,141000.0,0.1960297766749379,46.0,47.0,,112393.00882012234,171984.84601806183,262016.446733822,89310.32447185798,97489.98217795264,155210.05771703288,221528.3421685137,258112.27119888985,0.980209426204632
10,2018-11-30,160000.0,0.1359223300970873,37.0,47.0,,113076.23983319975,172128.9461326803,262766.65088621504,89360.95952553833,97750.37086192227,156061.58890750245,222455.1192774506,258952.71865299784,0.9781873603002316
11,2018-12-31,174000.0,0.1444141689373297,56.0,47.0,,113845.15748090396,172579.10300314688,263693.6465415567,89447.521795001,98110.87903059798,156959.06909052128,223400.95376424104,259766.03680205447,0.9817452235717342
12,2019-01-31,141000.0,0.1780104712041884,63.0,49.0,,114622.42756027386,171901.8210708915,264504.17205810494,89733.94271479272,98476.46588343383,157818.0645626341,224191.2949236756,260505.41652909087,0.9756772665327
13,2019-02-28,180000.0,0.1233933161953727,42.0,53.0,,115360.796994115,172371.0894408191,265227.8677138543,89866.1702572353,98835.39203470676,158627.64023001143,224940.74576798323,261346.02335141145,0.9797043185381932
14,2019-03-31,178450.0,0.1305483028720626,26.0,54.0,,115905.13542032352,173319.1235882606,265619.90560575883,89892.03577708878,98993.8912538764,159123.3173268506,225423.06792061368,262008.4387756897,0.9785152809190948
15,2019-04-30,157000.0,0.141089108910891,27.0,54.0,,116310.03027248352,173775.39188484053,266079.7110312925,90102.28380300855,99133.85966287348,159505.43437941474,225890.5754155368,262537.92822250584,0.9825124970695516
16,2019-05-31,172500.0,0.1764705882352941,19.0,53.0,,116466.29870451384,174876.76983927496,266394.0674320352,90610.3146825078,99187.78885061988,159576.62143366443,226087.95233850725,262766.1410442908,0.9845702538242518
17,2019-06-30,174500.0,0.1920199501246882,21.0,52.0,,116575.70711121488,176210.68424428257,266732.0585256722,91425.32326255112,99286.485973984,159650.98688543867,226249.42394494792,262905.0290856013,0.9845831909515396
18,2019-07-31,180000.0,0.190721649484536,25.0,50.0,,116960.80980799667,177365.86402493477,267396.0719752814,92604.75820263416,99738.53579327784,159960.8662729212,226674.1569066845,263277.70458772365,0.985288232602626
19,2019-08-31,169000.0,0.1823056300268096,37.0,49.0,,117467.78935561536,177717.61468166785,268160.2049848223,93585.26840196294,100277.77422088868,160421.87432072905,227224.9184730816,263803.6238864129,0.9832942996568176
20,2019-09-30,169900.0,0.1734104046242774,34.0,50.0,,117866.42296483603,177906.36876596892,268919.5241233688,94053.13333994708,100618.36025662064,160850.81754672763,227873.8428380298,264436.30951427034,0.9837952185383696
21,2019-10-31,172000.0,0.1585365853658536,20.0,53.0,,118488.86939834732,178862.06199381372,269884.31480012793,94431.6539172916,101026.43857124896,161565.1129326947,228776.14141657727,265322.16098157904,0.9786889755578706
22,2019-11-30,179900.0,0.132258064516129,29.0,53.0,,119312.05314620856,179723.73079859267,271379.9263093527,94898.24672610956,101505.16774077323,162634.92730319392,230186.44208551303,266600.05520240805,0.979377771949064
23,2019-12-31,171500.0,0.102112676056338,44.0,53.0,,120414.07872084224,180029.9547814022,273033.7483973988,95525.61188549153,102292.46079825336,163983.43514432717,231740.51672314285,267961.3248479892,0.980713706749802
24,2020-01-31,169500.0,0.1629392971246006,49.0,55.0,,121601.5512750192,180782.88595130044,274660.4156491088,96286.17297550204,103299.4835661972,165380.03060544256,233304.7579908552,269462.6359974021,0.982639598385836
25,2020-02-29,170000.0,0.1956521739130435,21.0,55.0,,122895.63664072489,181427.50949232216,276030.84225259064,97539.15334893526,104665.59640529852,166605.22459075032,234532.11518278683,270750.2474084746,0.980483623204353
26,2020-03-31,171750.0,0.1316614420062695,12.0,57.0,,124225.1162966938,183089.9246827904,277396.2629059105,99234.99494285154,106300.03463527688,167771.65127543863,235741.3627401657,272074.7188543956,0.9868300231394376
27,2020-04-30,169900.0,0.1352313167259786,21.0,58.0,,125269.93036972672,184329.2586185221,278509.3431496686,100939.45847970645,107799.86505386086,168578.78557706022,236647.0389110637,273013.6346161775,0.9865436697255052
28,2020-05-31,190250.0,0.1649831649831649,29.0,58.0,,125686.89732863214,184981.1103594735,278950.7372232498,102056.9857515201,108757.594879029,168889.21643845,237076.0450149252,273414.05736499256,0.9853899993079684
29,2020-06-30,189900.0,0.1140065146579804,8.0,60.0,,125871.77859701168,186666.7038233424,279294.32556627656,102716.57959949036,109331.8603355887,169099.5534099015,237449.0597016506,273740.95174228284,0.9895020472445856
30,2020-07-31,209900.0,0.1324041811846689,12.0,63.0,,126267.55970145224,189140.19064194983,280209.65442404046,103326.61398274195,109975.8773129412,169707.1917179071,238335.50004376503,274503.7932308744,0.9898981184043272
31,2020-08-31,202000.0,0.1297709923664122,12.0,64.0,,127579.54913781448,192023.1207217933,282744.5206652321,104343.63617096952,111287.83604165349,171322.5540790133,240620.91508337265,276771.65788472927,0.990978760983354
32,2020-09-30,191200.0,0.1412213740458015,7.0,60.0,,129678.8375618735,195405.60265809685,286711.9763314351,106197.09231909097,113421.99753424148,173722.70993628443,243929.93784195185,280130.683027186,0.9912309573009628
33,2020-10-31,208250.0,0.1553030303030303,16.0,58.0,,132368.18936554642,198658.91391472987,291508.2919861278,108396.52674651016,116161.64359100554,176710.86149282774,247960.9648599788,284473.45875764085,0.993139467482731
34,2020-11-30,193580.0,0.0933333333333333,15.0,59.0,,135272.90500121596,201525.7799422424,296654.8096780248,110891.37821028664,119078.75812787427,180002.7680461754,252234.6020655043,289128.9899477864,0.9909716182582398
35,2020-12-31,194750.0,0.1339712918660287,30.0,63.0,,137983.10337100492,203645.40555221992,301684.2795029122,113096.1830846757,121706.9178918808,183215.8756565481,256532.8904804117,294051.25543036073,0.9935417585089418
36,2021-01-31,199750.0,0.1272727272727272,16.0,69.0,,140568.0943353568,205305.1572614689,306447.55508935446,115326.94773947196,124076.27039135568,186165.60151040903,260557.0639881118,298820.307537414,0.991248006655748
37,2021-02-28,230000.0,0.0631578947368421,4.0,77.0,,143006.97791401215,207511.1817704428,310916.13980710605,117725.341855864,126388.40507423085,188857.1752521335,264199.6313097589,303215.9089140981,0.9904993806884244
38,2021-03-31,210000.0,0.1062801932367149,4.0,84.0,,145367.27718171492,210640.33202284467,314902.71728151146,120149.60380612464,128799.59834590826,191411.12773123124,267547.67480381386,307175.8376500706,0.9973924193862568
39,2021-04-30,195000.0,0.0693641618497109,3.0,84.0,,147383.96341864966,213658.1657957524,318843.9995069324,122209.1325038358,130898.82340865866,193881.6986520594,270810.3973084004,310958.17911289254,0.999444460835914
40,2021-05-31,215000.0,0.0634146341463414,4.0,78.0,,149276.74328543653,218239.27313689247,323299.1438012405,123883.34893541438,132830.4950930786,196537.6316382985,274497.088473622,315275.53598035994,1.000675281231155
41,2021-06-30,217000.0,0.116591928251121,5.0,75.0,,151274.6569430179,222733.9897392819,328163.5885113582,125429.69126355882,134699.81883001997,199514.4893146144,278522.1017131816,319897.0739283913,1.0021511292752945
42,2021-07-31,227000.0,0.1101321585903083,4.0,73.0,,152898.54182834827,225987.5932216452,333179.9339620085,127010.41966508373,136498.55759863497,202475.42664228065,282830.5105854762,324923.0950915553,1.0024652856672511
43,2021-08-31,238000.0,0.1508620689655172,8.0,72.0,,153998.4076340544,228007.78622652232,337348.5765930253,128260.4289287644,138102.54456021148,204955.70423964545,286789.3272751307,329644.35474639107,1.000192474118036
44,2021-09-30,217500.0,0.0883720930232558,7.0,72.0,,154778.41850686024,230637.82535454427,341420.92254885414,129259.59703124854,139612.08144646185,207111.7826767447,290699.315111493,334681.7619796427,0.999095508922549
45,2021-10-31,240000.0,0.1261682242990654,7.0,73.0,,156044.68875847434,233337.41703751247,345662.0885698736,130358.81948498788,141453.42042590163,209431.23149779555,294689.1858052533,339843.5948918441,0.9998895716900564
46,2021-11-30,220100.0,0.110091743119266,6.0,73.0,,158002.81657582775,235844.65955547537,350444.71815208223,131909.56334329594,143693.89809421182,212121.6088587098,298921.6170750142,345179.793848498,0.9983681716201932
47,2021-12-31,228900.0,0.087378640776699,5.0,75.0,,160040.60215089432,237625.69974999453,355196.18070913275,133298.14087368138,145799.84331733038,214859.0683258419,303049.1222663769,350130.2346531255,0.9984253526950848
48,2022-01-31,245000.0,0.0789473684210526,4.0,78.0,,163196.01494838725,241725.59907948136,360230.4626527182,135460.7209156108,148478.63705433582,218350.36618829903,307495.31947845576,354993.3609171819,0.996358701975907
49,2022-02-28,237000.0,0.0691489361702127,5.0,78.0,,167012.04137867287,245714.6823438957,365507.4554046285,137963.51160414075,151511.1738569773,222369.49989993955,312248.988295255,359941.77354559297,1.0004314880487974
50,2022-03-31,246000.0,0.0416666666666666,4.0,74.0,,171296.62298957465,250215.18061765804,371105.3822574072,140846.83304009112,154752.2151762078,226837.0514238129,317280.09800183226,365119.39663569327,1.0026097233426652
51,2022-04-30,245000.0,0.0581818181818181,5.0,70.0,,175032.65460307724,256256.6785951077,377229.7964119764,143340.6412234019,157901.68313741236,231315.46997849588,322625.46256043547,371050.1060930757,1.006772896278559
52,2022-05-31,250000.0,0.1414141414141414,5.0,67.0,15000.0,178088.6493121107,260748.6472107481,383009.4293008082,145136.99977480626,160550.85723706716,235397.6002050013,327687.62665485515,376725.688851671,1.008183502739131
53,2022-06-30,271000.0,0.1081081081081081,5.0,65.0,10000.0,181185.83603186152,265370.6760974386,388479.4446718428,146860.2052152983,163345.02523728562,239389.1088784096,332696.23129955376,382142.0093897956,1.0052546999421297
54,2022-07-31,260000.0,0.1504702194357366,6.0,62.0,10700.0,183653.8965526076,267149.7572575019,391716.5255777377,147269.61078912977,165290.40034926226,242246.7224434734,336096.263348178,385360.798265138,1.0011169226341663
55,2022-08-31,254495.0,0.1590909090909091,8.0,60.0,10000.0,185511.6076144533,267167.6575729282,393188.9368570952,147151.44919229377,166737.80394355778,244205.59298701395,338128.4277867402,386752.03844787925,0.9965416173071012
56,2022-09-30,254500.0,0.1368421052631579,10.0,59.0,11000.0,186527.455476838,267510.8991838429,393200.0652058224,146296.6343475779,167579.92096178114,245216.1601012317,338858.24315217737,386602.06304205983,0.9938827972760442
57,2022-10-31,239000.0,0.1743772241992882,8.0,55.0,10001.0,187434.315574559,268340.02029244223,393451.86806809617,145908.87946073947,168362.60984739498,246165.51712293844,339522.29268484976,386393.0791937111,0.9926376105972018
58,2022-11-30,265000.0,0.1397849462365591,15.0,53.0,10000.0,188100.76361840847,267400.1783939339,393406.9914678969,145431.9461416269,168949.78083973168,246950.61486225607,339903.2960206063,385843.20180057193,0.9894353351967036
59,2022-12-31,246500.0,0.1314741035856573,18.0,54.0,10000.0,188682.8139653601,266914.76871926745,393417.8492943468,144890.54195484775,169502.21825817757,247716.437738916,340253.7229631928,385362.312794348,0.9881579704683592
60,2023-01-31,267950.0,0.1265822784810126,29.0,56.0,10550.0,189227.07736426868,267932.39030494494,393564.4809665316,144372.57718162064,170116.99602980106,248656.17211721808,340864.7697245152,385114.0796145589,0.9831853298036796
61,2023-02-28,260000.0,0.1359649122807017,9.0,59.0,10000.0,190515.5262835704,268951.32125525083,394753.3411074104,144494.96982676434,171365.00907889928,250100.99899992265,342104.87272547366,385744.0452423326,0.9849707181258608
62,2023-03-31,267000.0,0.1261682242990654,7.0,60.0,14990.0,192808.5527962256,271767.53081565496,396756.7427669971,146061.28773396215,173691.0351206659,252034.87651465824,343804.4832909303,386764.0901707624,0.9934885083688176
63,2023-04-30,267950.0,0.1605504587155963,8.0,61.0,10000.0,195998.38248787663,275808.607296826,399499.8424259429,148946.89706673974,177272.72669360627,254272.916212859,345793.47099596314,388158.4682587056,0.9953105644520706
64,2023-05-31,280000.0,0.1666666666666666,8.0,59.0,10000.0,199632.9943599924,280078.2524233224,402695.5018794192,152396.4178842263,181246.2228346912,256964.74543238524,348289.40631315386,390006.54879290686,0.9936839798742602
65,2023-06-30,275000.0,0.1788617886178861,9.0,59.0,10000.0,202898.41921801868,283909.4204120658,405759.9257572641,154887.15536022137,184610.38739105465,259820.87531976364,350900.9654856965,392094.46133728366,0.9967989730798024
66,2023-07-31,299900.0,0.196,18.0,58.0,10000.0,205612.54178569524,286132.6524988288,407777.23755305744,155891.6389005716,186507.38066259449,262329.12761795166,352890.3424465933,393486.8571439976,0.9940431684102008
67,2023-08-31,295000.0,0.238095238095238,15.0,56.0,10000.0,207963.90444145945,287373.747986944,408928.9306673455,155761.5670927952,187455.2072657184,264485.3224933578,354108.3164463187,394069.6419120724,0.9954255442046206
68,2023-09-30,266000.0,0.2022471910112359,14.0,54.0,7000.0,210206.55302540027,288285.4189600133,409757.8843054454,155946.84643699368,188043.4973802291,266251.5509240054,354883.3383486566,394129.6516381793,0.9933940302191248
69,2023-10-31,270000.0,0.2462686567164179,19.0,52.0,10000.0,212193.08854096048,288717.5607457786,410594.6627648218,156651.6130208962,188837.223977374,267829.2376821248,355527.5467561256,394173.0068699511,0.99373128300774
70,2023-11-30,250000.0,0.2015209125475285,22.0,52.0,9900.0,213789.36972011896,288416.93393050984,411465.715852286,157850.852094979,189911.9983642135,269099.38358500256,356140.0009857205,394268.8078778873,0.99008315463426
71,2023-12-31,277500.0,0.1224489795918367,27.0,52.0,10000.0,214881.34366165343,286946.2889855074,411680.72898561554,158286.54942113976,190654.48805803232,269900.7194406716,356399.829552512,394055.5073819645,0.987363343066814
72,2024-01-31,258900.0,0.1808510638297872,48.0,53.0,10000.0,215509.2913146992,285912.51837787766,411294.30525426194,158521.9791061439,191107.7409298927,270306.1245382321,356408.95376669866,393716.40468807047,0.986412275730802
73,2024-02-29,282500.0,0.1985294117647058,22.0,55.0,8900.0,216181.44261738204,286690.6497523502,411196.6065060935,158780.34172840006,191643.5430465809,270780.7330165068,356790.4376918711,394122.37156349566,0.9898452211817466
74,2024-03-31,266500.0,0.16,18.0,58.0,10000.0,217454.1390883523,289341.24911803607,412682.68107956246,160292.13871744796,192968.08942011627,271776.5920344443,358154.75195587863,395908.94264105096,0.9879425892755096
75,2024-04-30,,0.1824324324324324,11.0,61.0,10000.0,219162.2444942887,291622.54997189733,415009.26632731175,162411.8566371377,194855.72709927545,273125.15812239324,360003.59871231904,398082.87100780616,
76,2024-05-31,,,,,,,,,164997.64650905688,196798.4537987356,274564.396420297,361658.8514305258,399808.6664393898,
