,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,179900.0,0.2353301414096426,29.0,48.0,5000.0,127516.30936741846,207354.7968532488,340636.4132613334,90420.4320767686,140232.08462417749,205552.17639705425,281029.5065800887,370895.9854294639,0.9657794258771992
1,2018-02-28,190000.0,0.2472591685680895,22.0,46.0,5050.0,128614.04050105855,207708.7948457316,341868.68833531387,91393.2317232108,141376.7481266705,207078.2850818724,282547.5447711595,372171.0281528345,0.9687982692216904
2,2018-03-31,195000.0,0.2446138887467376,21.0,47.0,5100.0,129802.56629636927,210126.21402484016,343136.23306148185,92344.3505603141,142652.84876753428,208594.06686817788,283937.02197977,373574.5086626064,0.9711760346714026
3,2018-04-30,198000.0,0.2376902187836245,18.0,49.0,5500.0,131028.0892221594,212196.67690217897,344660.4380423515,93201.98194712852,143924.76775499532,210043.6814539359,285245.624147084,375039.303539976,0.9714883804652046
4,2018-05-31,201250.0,0.2587500655926956,19.0,50.0,5600.0,132240.8494447038,214279.38011516724,346315.1334638595,93990.5406911336,145083.6798480834,211328.0261433452,286396.5248682352,376492.5489223402,0.97352256984325
5,2018-06-30,210000.0,0.2638780092955246,18.0,49.0,5900.0,133276.08964806798,215869.609241234,347679.8851001276,94649.8066932549,146018.02945913552,212316.2524949149,287276.8798894763,377547.6851767835,0.9741922586154594
6,2018-07-31,206400.0,0.2723254223017418,18.0,49.0,5500.0,134474.36543188646,217990.7447082385,349410.85925010813,95521.84689181934,147105.07096048212,213496.1753152244,288431.32330281584,378978.20049816696,0.9720641381654744
7,2018-08-31,202300.0,0.2817028504697701,21.0,48.0,5100.0,135685.887891221,219204.54650599085,351133.13272814424,96459.80933525744,148274.24881707298,214712.9684990933,289699.0279553199,380493.8511131187,0.9715907582890938
8,2018-09-30,202000.0,0.2647837122644056,24.0,47.0,5090.0,136839.26106578237,220237.94054976423,352825.4966395924,97380.528967594,149389.9135437658,215920.653236412,291056.80240595416,382167.5895949332,0.9723972654704074
9,2018-10-31,200000.0,0.2886641161364708,20.0,45.0,5001.5,137746.64828522466,220686.36667675409,354022.5867308614,98134.03418800786,150308.212208703,216811.49037922165,292001.5355112077,383313.6560479904,0.9718529267120062
10,2018-11-30,200000.0,0.2635978835978836,24.0,45.0,5000.0,138664.66570199313,221068.53353063887,355319.8706708714,98901.83627401768,151259.57970946413,217778.5602103076,292966.75439093175,384610.0160402249,0.971180340009114
11,2018-12-31,205000.0,0.2027094831911691,33.0,46.0,5000.0,139671.76336479132,221583.6078157308,356835.69691422064,99845.75606955918,152320.30210634338,218878.82264013667,294041.6355185588,386095.3351176887,0.9710325938144332
12,2019-01-31,192000.0,0.2872218627109363,41.0,47.0,5000.0,140842.70248581943,220540.4462777037,358220.3256713308,100789.32572478708,153370.36163950106,219969.2944582156,295127.40125489386,387460.1185900976,0.9660924589097458
13,2019-02-28,200000.0,0.2687645341645638,27.0,49.0,5000.0,141952.6204554386,220577.05154111065,359435.9370735968,101434.09055751876,154220.61821987372,220862.11350324703,296102.9241818318,388617.44736044033,0.96753312636432
14,2019-03-31,205000.0,0.2670846394984326,25.0,50.0,5100.0,142919.17307247175,221783.1601276793,360167.57712117553,101822.17286656756,154836.32597687293,221354.8233867832,296605.3959117308,389162.70431163424,0.9721962255414228
15,2019-04-30,210000.0,0.2603451756156641,24.0,50.0,5050.0,143718.71286656757,223560.69359542552,360827.2184425998,102185.3076441478,155399.36183011587,221789.6641895109,296919.4754414965,389521.7962983523,0.9737342574354224
16,2019-05-31,215000.0,0.2673675530818388,23.0,50.0,5100.0,144415.05822882956,225188.43599445108,361084.9356863869,102722.98973604536,155896.7502286367,222107.28881719755,296961.1627913148,389374.19185668667,0.9751531062115346
17,2019-06-30,222000.0,0.260993057016621,20.0,51.0,5100.0,145221.84740572725,227116.9418285261,361502.2046823184,103304.42174148606,156575.2391472486,222734.5371890464,297187.58303604065,389226.7121132672,0.9755750244128284
18,2019-07-31,222000.0,0.2693587994542974,20.0,52.0,5100.0,146071.27394000633,228628.3503754728,362004.9903397144,103784.48621791392,157351.16278578446,223455.360596122,297479.0914320182,389161.3368964482,0.9755600056230664
19,2019-08-31,219000.0,0.2601362862010221,22.0,52.0,5400.0,147031.07037060015,230001.52455304776,362823.6559875259,104215.9762623757,158277.72557133806,224385.1300785512,297977.85984787013,389520.8923981435,0.9735209686372562
20,2019-09-30,217000.0,0.26157590852485,23.0,50.0,5088.0,147789.14259494425,230950.02833782727,363699.9803164853,104536.82426251122,159007.7168593783,225135.70811612497,298534.4789849743,390178.2804943354,0.9741186860432932
21,2019-10-31,215000.0,0.244759493670886,33.0,49.0,5000.0,148614.3940965537,232108.3483702421,364879.63968378975,104950.7635618186,159831.03803023105,226065.77783933337,299381.2515200792,391376.2271815616,0.973204418426681
