,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,97500.0,0.1366678407890102,68.0,27.0,5000.0,56048.57180151343,119756.48644891522,220172.25037513007,60622.67990819012,75614.36652400669,116634.19741769748,193983.31875483147,238335.80597757024,0.9665308593221844
1,2018-02-28,106000.0,0.1322845906328209,35.0,28.0,5000.0,56366.80567554931,118760.6780451682,220814.33239282548,60809.70378583088,76067.51703139197,117251.66105206824,194730.8580410113,239336.57696441293,0.9698279768439872
2,2018-03-31,103250.0,0.1385665529010239,25.0,33.0,5000.0,56664.00814004419,119991.86288212864,221517.6285918125,60906.96384246613,76459.14792704984,117823.78209768032,195482.37830870648,240242.27551653585,0.97422958220035
3,2018-04-30,115000.0,0.1514543630892678,14.0,38.0,5000.0,57222.268286948965,121791.1053480328,222287.8363012648,61449.18377381371,77006.79675240819,118405.80495327624,196250.14566507624,241021.112904806,0.9740475714253508
4,2018-05-31,123000.0,0.1609490221224751,11.0,38.0,5000.0,57928.67100206344,123851.01799114906,223374.5498530694,62231.021428943546,77584.62736007948,119024.79050409509,197255.70913138703,241965.86842005065,0.9776911005264206
5,2018-06-30,125267.0,0.1842187014600807,15.0,35.0,5000.0,58521.52697386447,125860.50729484852,224281.61380324347,62938.12815893899,78105.40407845873,119523.16620343654,198089.7906258345,242760.73694710084,0.9811619297570257
6,2018-07-31,129375.0,0.2190390928081169,17.0,32.0,5000.0,59067.26419437861,127998.01991564214,225494.199094394,63483.90142406709,78736.18643652998,120151.8309095673,199162.02754622968,243938.2923645844,0.9770818846594496
7,2018-08-31,119000.0,0.2205323193916349,20.0,30.0,5000.0,59520.45180049589,128526.55049232273,226386.6524665105,63886.50016381466,79366.5686570152,120709.455317916,199958.60234111585,244884.19536415217,0.9765210681922782
8,2018-09-30,122000.0,0.2143519950510362,27.0,29.0,5000.0,59777.56991924782,128690.18260330518,227186.587777699,63813.69506646937,79822.99173563356,121242.53353686458,200757.0849931324,245836.449119532,0.9717245945722914
9,2018-10-31,112000.0,0.2244770527630346,26.0,28.0,5000.0,59692.6911586872,127819.13682281246,227557.40411373656,63358.74231135048,79866.95205319977,121408.70305575331,201218.20924428184,246473.09130303792,0.9749066900875714
10,2018-11-30,105500.0,0.1590594744121715,34.0,28.0,5000.0,59527.59998163346,127255.12235544447,228056.697756901,62804.06674273781,79801.40605672402,121538.530469266,201751.8985986412,247273.7670345008,0.9736286192143008
11,2018-12-31,108000.0,0.1170127795527156,58.0,30.0,5000.0,59510.78615844407,126506.59989766985,228739.1081624037,62718.99907111475,79893.62682700135,121769.48736055876,202316.93057224544,248096.8350722283,0.9662527055158264
12,2019-01-31,92500.0,0.1668012924071082,48.0,35.0,5000.0,59835.1246084088,125715.6655375706,229610.95846512783,62833.95920231327,80368.4665155585,122362.17656205724,203076.4854008782,248884.13523912392,0.9619329331940092
13,2019-02-28,106000.0,0.1353288364249578,38.0,41.0,5000.0,60549.69266555695,126049.36163548232,230624.3586154528,63076.902011856895,81376.46519790318,123448.89907647256,204068.0984284184,249741.7332152401,0.9673226143028222
14,2019-03-31,113000.0,0.1426356589147286,18.0,45.0,5000.0,61490.87541179149,127427.92146021064,231554.9672311681,63351.75457496454,82623.4164970898,124607.28197427189,205089.64566377376,250543.84484685367,0.9725924984351464
15,2019-04-30,118000.0,0.1587936046511628,12.0,45.0,5000.0,62283.349896871056,128827.59086853411,232344.95872546264,63715.59754585815,83664.68395578685,125510.94953718834,205986.15814578545,251187.1644304543,0.9775259010768592
16,2019-05-31,125000.0,0.1771019677996422,9.0,41.0,5100.0,62773.31540292022,130379.6059483119,232799.482551826,63858.82220788467,84168.23400537041,125908.0963685228,206576.24550355392,251521.444019324,0.977880044252278
17,2019-06-30,127000.0,0.1817226890756302,11.0,41.0,5894.0,63063.84987794084,132713.3421400119,233390.00420464444,63703.61107222974,84446.33803690449,126245.4395983544,207284.9935781248,252063.04276642844,0.9828656257263564
18,2019-07-31,120000.0,0.2153259361997226,14.0,44.0,5400.0,63171.0244744925,133759.86769614357,233896.0839790681,63362.541441809306,84552.49650691867,126501.51092007312,207888.5199605152,252576.84223530465,0.977460954863622
19,2019-08-31,125000.0,0.219319353729804,15.0,42.0,5400.0,63110.48983871021,134047.632683948,234310.37645558256,63011.98729179015,84538.89660992428,126716.97666379547,208336.2904554142,252946.17454317192,0.9775232020916134
20,2019-09-30,125900.0,0.2453703703703703,22.0,37.0,5099.0,62933.78654145833,133987.23709180846,234299.6069238505,62578.10188170273,84321.94055496364,126714.10651861434,208387.03983648188,252808.3149858681,0.9776094134530656
21,2019-10-31,122000.0,0.222458377612469,22.0,34.0,5000.0,63113.64627934257,134266.83113354852,234570.249340957,62503.43101277541,84543.74613112268,127049.82516614188,208759.51439227848,253099.7483321064,0.9739844779702768
22,2019-11-30,121750.0,0.1801314263625821,23.0,35.0,5000.0,63581.572807516925,134456.2380606058,235350.18460275585,62691.95725373789,85100.83164331208,127691.47790849344,209583.3031037097,254029.1603518465,0.968333011823158
23,2019-12-31,115000.0,0.1280246370435547,34.0,37.0,5000.0,64285.822593816,133877.69255198617,236487.94969429213,63307.838856267546,85931.72927532897,128546.38803515944,210677.7593367862,255409.2306657773,0.9700364099863868
24,2020-01-31,103500.0,0.1960871498443752,47.0,43.0,5000.0,65032.84739508278,133466.0946622467,237661.4245934028,64479.652829754166,87099.45348183265,129412.97887197282,211495.12631773888,256429.7426157476,0.964472500615664
25,2020-02-29,114450.0,0.2290925266903914,17.0,46.0,5000.0,65840.74512217817,133141.6812216198,238663.2260227894,65478.613777062215,88285.55502176595,130351.7691775214,212341.9540773496,257374.8125040822,0.9689864648441014
26,2020-03-31,124950.0,0.1634658329611433,13.0,52.0,5000.0,66728.92320502765,134412.46277285938,239770.40609734727,66233.55426209664,89394.70899583185,131362.68683180315,213442.32597534065,258566.362416339,0.9799009678124742
27,2020-04-30,129900.0,0.153323629306162,13.0,61.0,5000.0,67476.12469776248,135902.31560725937,240790.68680966736,66334.16036249259,89903.05864973633,132141.78915648206,214779.2626070132,260041.42462067844,0.9790052168726152
28,2020-05-31,129000.0,0.1550874047512326,9.0,70.0,5100.0,67807.7548850031,137140.4906849853,241494.7758165757,66278.9311303877,89987.1133647228,132446.75974556748,215696.24878972973,260972.5226466659,0.9786978485270182
29,2020-06-30,130500.0,0.1522935779816513,7.0,76.0,,67868.29871588631,139157.89090685028,241996.8903409869,66019.8584091524,89967.42113941717,132603.2580966918,216355.7604867456,261518.1604715249,0.9899952074762582
30,2020-07-31,139900.0,0.184710351377018,7.0,78.0,,67971.14618883375,141533.61631905293,242796.0580084744,65755.29678622124,90091.57211729458,133105.01547812505,217321.80250153565,262349.3798975313,0.9911062837188144
31,2020-08-31,126950.0,0.1895360315893386,7.0,73.0,6000.0,68841.43445213354,144032.7955335715,244563.64091027505,66241.86275552284,91049.6506241,134423.773043996,219177.1314946725,264326.0481113481,0.9911889570959092
32,2020-09-30,137500.0,0.1630269172168613,7.0,65.0,,70250.80789466087,146414.96973896533,247373.41766930805,67461.70781827485,92600.25616522072,136378.0627373895,221935.6503942212,267599.7418942818,0.9921364133308734
33,2020-10-31,136900.0,0.1825439063331559,6.0,61.0,6500.0,71963.31428096647,148126.58036588342,250860.87649185964,68982.56825573287,94549.50532487448,138701.01981071802,225285.14569957208,271802.9778468924,0.9913898848016196
34,2020-11-30,131500.0,0.1866832607342874,8.0,56.0,5001.0,73597.101508329,149766.15756006312,254718.43055791807,70448.33707920263,96499.92377605224,141188.93570201192,229038.4453382596,276581.6138003762,0.9896187810971104
35,2020-12-31,131000.0,0.142965204236006,13.0,64.0,5000.0,75078.25872007353,150073.98639777536,258326.60765875023,71743.39595170732,98298.25458183476,143520.72056182692,232643.40034745296,281350.2561378702,0.9911565033312416
