,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,166750.0,0.1117266851338873,55.0,38.0,7650.0,83583.95114098334,146560.24708160275,258126.46459855567,109117.15585595374,113247.49390964356,152963.9687504849,240441.27348951367,341902.8159027547,0.9730258755463488
1,2018-02-28,159990.0,0.0980735551663747,25.0,39.0,6000.0,84021.15999634082,146743.29573938588,258902.5787707713,109427.16395981472,113839.18792154331,153662.4788676893,241347.7623260175,342529.8654763165,0.9763657847007952
2,2018-03-31,157000.0,0.1191666666666666,25.0,42.0,6175.0,84820.37674369993,148558.3604624015,259965.7377280364,109867.76275814004,114705.28930236104,154581.49187714153,242247.3816248032,343314.30578979343,0.9807536993151202
3,2018-04-30,162088.0,0.1265406737880033,25.0,43.0,7000.0,85420.16449726625,149391.8920644028,260773.82507375625,110458.4229550524,115544.41167341876,155317.67924325875,242909.2990864541,344057.0318651838,0.9862839102311212
4,2018-05-31,167750.0,0.131321370309951,28.0,45.0,6000.0,85814.06711018179,149909.1946248102,261443.31583339407,110939.49082632824,116254.1531773744,155862.16908446935,243406.6029037781,344974.5164129699,0.983695654952074
5,2018-06-30,165750.0,0.1331658291457286,20.0,43.0,6000.0,85789.76734210906,151173.79362804466,261915.7013584439,111354.50108892574,116703.69083849048,156242.93860918065,243921.3060123176,346008.916980597,0.9798890435225064
6,2018-07-31,159900.0,0.1684647302904564,31.0,41.0,6600.0,86028.31760027572,152814.6957908112,263016.9925332221,111998.8906846714,117352.75364833148,156969.66627955213,244978.09681495465,347675.9954338821,0.9803084848863732
7,2018-08-31,159600.0,0.1643153526970954,40.0,40.0,10000.0,86618.12797102645,153768.2211518431,264592.8097002899,112829.92358958056,118168.82523436518,158043.73455504203,246526.8710790809,349825.3375691841,0.97843718575131
8,2018-09-30,176750.0,0.1439458086367485,33.0,39.0,9100.0,87242.19322837675,154045.8692449769,265950.9969256158,113528.0482171545,118962.25617757744,159049.83789571747,247885.5526483865,351888.829716831,0.9795145001665652
9,2018-10-31,165750.0,0.1442141623488773,44.0,40.0,7900.0,87447.47828782881,153457.41741358285,266505.165389976,113817.940985093,119341.8849604273,159603.15199718904,248636.81209545548,353100.55238864216,0.9816668996254077
10,2018-11-30,162900.0,0.1114130434782608,52.0,41.0,5000.0,87699.10338290995,153587.22632675414,266746.0992254972,114185.51039794162,119756.31015957514,159975.1134835691,248955.196957936,354015.6534167055,0.984160361957944
11,2018-12-31,165750.0,0.07274490785645,48.0,43.0,5900.0,87985.00658149365,153671.62525949237,267097.13423229544,114417.717945443,120027.551717318,160343.78742068366,249399.087032709,354954.75835560384,0.974978880727456
12,2019-01-31,161900.0,0.1273374888691006,49.0,44.0,9100.0,88796.11545891687,154499.08623390077,268034.24050226616,114686.5918900054,120353.87119798956,161038.38810454583,250169.9592194144,356416.8063751016,0.9798450301091146
13,2019-02-28,160000.0,0.1150828247602441,32.0,46.0,10000.0,89735.38625057806,155605.89734370884,269041.909122752,114755.82445027871,120457.64765207432,161785.35800905307,251130.70113472664,357531.0762007793,0.9753469130387604
14,2019-03-31,169000.0,0.1151919866444073,27.0,46.0,9000.0,90991.10257942096,157567.85993079134,270371.52340371016,115034.41223496191,120660.9361673155,162717.25548012563,252199.84565125385,358683.63279956806,0.9802838872878452
15,2019-04-30,169950.0,0.1638655462184874,26.0,45.0,6100.0,91928.22221902334,158974.63765186435,271557.3188823031,115379.665375365,120831.57132486285,163525.7578422164,253210.9916845887,359570.6054490064,0.9878636141537044
16,2019-05-31,181450.0,0.1569910057236304,32.0,44.0,10000.0,92693.48249899744,160101.8113595348,272732.20406089904,115713.22334357172,120916.57940525276,164156.47344404407,254096.254178783,360648.6306089407,0.983620886558508
17,2019-06-30,169900.0,0.1533388293487221,26.0,44.0,7550.0,93166.44354729477,161591.87238472258,273672.6544640222,116014.45588101471,121032.50750443005,164602.81801392508,254811.1297249763,361549.21024375065,0.9856591261280172
18,2019-07-31,176450.0,0.1663934426229508,31.0,45.0,7450.0,93655.93735170674,162530.52845958198,274527.1864189712,116276.65717482888,121130.355338266,164970.41153021404,255401.1503311145,362259.0938401309,0.980646132183188
19,2019-08-31,174900.0,0.1651527663088356,33.0,44.0,8900.0,94046.85954755708,163282.75333051922,275470.60164648487,116409.92743002113,121332.20228717632,165550.430220919,256140.3103277393,363064.0552181001,0.9840955397378308
20,2019-09-30,190000.0,0.1510966693744923,31.0,43.0,6600.0,94218.50675646833,163721.99444372693,276525.01541497983,116561.64336308786,121583.22312722325,166265.17163427497,257159.7977814067,364389.26534402376,0.9825596159178536
21,2019-10-31,171700.0,0.157720891824938,39.0,42.0,6900.0,94353.35555191118,164265.38263346007,277805.3041566024,117093.9474074088,122132.98156279029,167199.24760677016,258481.3507036759,366288.8542751432,0.981841249035658
22,2019-11-30,175000.0,0.1104185218165627,41.0,41.0,5325.0,94721.58238968272,165035.97582996596,279265.04513948184,118045.23180234028,122912.62307211068,168241.50449873184,259933.0946283982,368180.4897052288,0.9819477001229536
23,2019-12-31,175000.0,0.1019283746556473,58.0,43.0,6600.0,95185.93773103338,165296.05056697226,280693.05009266915,119022.39658819028,123724.73895665804,169300.92359577803,261323.61901532588,369698.7026113561,0.9828907213420348
24,2020-01-31,165000.0,0.1234042553191489,52.0,45.0,6000.0,95844.04519331362,165426.10038980507,282051.9328539499,120636.90963760648,124938.08733040009,170327.35701462245,262563.3540482114,371084.7464537925,0.9731993340716788
25,2020-02-29,164900.0,0.1770642201834862,26.0,45.0,5400.0,96180.80477670472,165643.64648681256,283097.1864941781,121864.55955803156,125968.17296114744,171244.87358076594,263678.758103499,372628.4151752119,0.9826722574576748
