,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,189000.0,0.1427406199021207,66.0,37.0,5950.0,103010.8670694936,167157.67638019883,279727.2041396704,95473.1880726774,114816.67497723248,172108.61727362222,267317.1749391949,423736.5163314341,0.9733426349931972
1,2018-02-28,193333.0,0.1266556291390728,42.0,40.0,6750.0,103497.5098531022,166305.57567855917,280129.4023930865,95687.75466701709,115177.1900878162,172553.84416429675,267663.955879889,424316.9419011467,0.978543049027122
2,2018-03-31,196791.0,0.1398243045387994,30.0,45.0,5250.0,104464.1775400423,168116.59538053634,280729.977608247,96191.354317522,115704.25938030548,172974.79163291384,267922.50054658705,425013.99832339655,0.9839980130151168
3,2018-04-30,188000.0,0.1732954545454545,22.0,48.0,5450.0,105601.88953932346,170069.30880277068,281476.8163473707,97099.29849374322,116375.21472194143,173484.50212930716,268299.8880960753,426529.1708545332,0.9865190339620912
4,2018-05-31,182332.0,0.1974701335207308,28.0,47.0,6500.0,106961.5910619256,171831.66917887243,283167.80802262854,98510.65714716206,117367.13305289228,174584.65144832333,269600.58936125063,429812.9198946383,0.9854052511668918
5,2018-06-30,203000.0,0.2083614295347269,23.0,43.0,7500.0,107747.47878323692,172904.9518449794,284410.378773833,99587.60885313498,118243.38503359584,175581.04750534517,270575.8642972785,432296.55587639584,0.9863438295371532
6,2018-07-31,204197.0,0.2194121667805878,33.0,41.0,6000.0,108177.31396914762,174008.3319790921,285726.83553507057,100482.10875085408,118978.54528593204,176604.0429606583,271838.12810034706,435078.2544864895,0.9843218369515054
7,2018-08-31,188117.0,0.2136200716845878,39.0,40.0,6500.0,108489.4361994822,174785.80565490018,286718.9553057419,100984.26074683464,119720.85279464016,177375.04972774544,272847.6244779309,437187.9586138243,0.9823433427454522
8,2018-09-30,192558.0,0.1890660592255125,41.0,40.0,5650.0,108795.07436259676,175204.59129156676,287715.54263442894,101601.69976773624,120493.9511459188,178156.9044546457,273952.9716513042,439656.0446799768,0.9795694020488642
9,2018-10-31,181959.0,0.1693486590038314,46.0,40.0,7000.0,109036.96928506036,174973.24019882988,287961.45446046494,102140.01267745216,121150.55047123852,178522.4940558103,274440.7249138241,441038.5960235775,0.9795692760118432
10,2018-11-30,182000.0,0.1596638655462184,42.0,41.0,5500.0,109238.19302251544,174287.71750068135,287925.7571087422,102842.92292913716,121636.83668659133,178772.41228903565,274769.6259517094,441851.062471003,0.9780497594059948
11,2018-12-31,197875.0,0.1,45.0,45.0,6000.0,109344.56998530374,173552.3516655753,287926.3582334879,103403.19998272591,121808.92303350456,178954.0842447849,275250.6422039602,442274.05240991246,0.976273295121986
12,2019-01-31,192362.0,0.1597353497164461,52.0,49.0,8300.0,109233.01754784894,171280.84064210398,287935.35233202344,103415.7598451076,121537.9281356244,178958.78688500993,275625.1086019036,441353.1486352876,0.9760850837931384
13,2019-02-28,186713.0,0.1298212605832549,46.0,54.0,7550.0,108904.95100019337,170515.41667136268,287726.01339526306,103057.80870606349,121022.5479271109,178806.3998196594,275853.89197563333,439623.7485488064,0.9774794015220928
14,2019-03-31,188602.0,0.1454864154250657,20.0,54.0,7100.0,108944.8394788631,172038.5488371971,287743.1550861656,102879.01515345856,120706.16668961434,178776.77120435212,276266.4530186448,437975.6545462024,0.9848571083788036
15,2019-04-30,187560.0,0.1830870279146141,17.0,53.0,9500.0,109275.73604836447,173481.85625917758,287926.9364863656,103179.5947100474,120722.69285884424,179040.0268739542,276755.9589742184,437530.02488533786,0.9822805315065912
16,2019-05-31,203000.0,0.2003081664098613,21.0,48.0,7550.0,109947.7679436532,175156.32223936147,288420.5562816963,103791.06530823706,120997.65208916384,179590.7297445814,277335.008451701,437675.9734378511,0.9850046317389652
17,2019-06-30,199669.0,0.2066666666666666,20.0,48.0,7000.0,110627.40404602575,177108.52762082734,288895.4742668513,104258.02917327096,121413.49329226442,180151.4576346757,277645.2189458952,437837.2122362216,0.9837791684479714
18,2019-07-31,209900.0,0.2073628850488354,21.0,51.0,8100.0,111426.7863337958,179067.16328664505,289886.2212579565,104923.54165401464,122178.28519752124,181036.3237550644,278424.88460969744,438304.13602415606,0.9841930554370084
19,2019-08-31,212721.0,0.2176287051482059,22.0,51.0,7300.5,111925.57894143635,179916.39199851346,290901.46195363434,105355.0135317402,122900.06334011824,181961.5635048597,279330.64210204146,438711.3123041799,0.9815931402809466
20,2019-09-30,206755.0,0.2004991680532445,29.0,47.0,6000.0,112190.04248756544,180606.8544802869,292146.6261244274,105811.63256640216,123551.02805486612,182953.4933334776,280692.5586162913,440026.4782820603,0.98242402909528
21,2019-10-31,192500.0,0.1963824289405684,32.0,44.0,6100.0,112714.4146837243,181506.2359404344,293363.83181231347,106318.23136689754,124130.99820511654,183895.54553065883,282072.61723220604,441724.4036497563,0.9781202688915588
22,2019-11-30,205358.0,0.1593554162936437,26.0,44.0,5450.0,113638.36663410543,182043.02924804183,295048.75402163685,107364.20364464326,125069.33532165812,185096.6626483769,283844.01190079545,444173.887125059,0.981165585119377
23,2019-12-31,206989.0,0.1153119092627599,33.0,50.0,7100.0,114735.417991546,182491.86524983164,296685.1819333311,108689.15351612405,126153.2666045684,186387.96244690267,285566.19943358307,446459.14938412287,0.981366314496152
24,2020-01-31,205118.0,0.1647164716471647,34.0,58.0,5500.0,115492.21487309891,181987.3437042653,298299.6090156096,109911.40934967944,127269.57970825802,187693.13540747573,287340.13830699417,449031.2732948034,0.9763314715539836
25,2020-02-29,209861.0,0.2098991750687442,20.0,58.0,6000.0,115859.42673989496,181857.8071331005,299594.5157740589,110924.97917731828,128156.71375797912,188726.61396801795,288848.558927455,451380.1106004759,0.9770995907904444
26,2020-03-31,227343.0,0.1501294219154443,19.0,55.0,6875.0,116125.97106526898,183695.8866650957,300775.68564071826,111991.92575560976,129009.52025534784,189702.36769502063,290059.63338645216,453549.2600830786,0.9849714050187698
27,2020-04-30,205000.0,0.1469194312796208,27.0,57.0,6000.0,116836.79833757516,185789.2779446256,301695.34579426976,113145.51676111534,129785.58613759752,190499.116653844,290760.95735273574,454558.3131123601,0.986718921002108
28,2020-05-31,232900.0,0.1529271206690561,32.0,60.0,7900.0,117697.4862620439,187155.3822954584,302370.7603415838,114256.69270251867,130523.0720152052,191155.2169975041,291071.8390143902,455126.0380039262,0.985630545786048
29,2020-06-30,230686.0,0.1436915887850467,26.0,61.0,9000.0,118580.92230644476,189143.09086297284,302939.3890217027,114934.95556190214,131202.63947619227,191779.961966902,291291.0733709707,454805.82068832585,0.9876110542012276
30,2020-07-31,241867.0,0.1474597273853779,27.0,58.0,7000.0,119575.7153029242,192016.5888681789,304055.0012556469,115869.38670263615,132210.04548440265,192791.5941722845,292059.7285300672,455549.21678628767,0.988213479130257
31,2020-08-31,238000.0,0.1666666666666666,37.0,57.0,6000.0,121128.20723358548,194001.2539947518,306198.8539874637,117009.7967174606,133520.21608441195,194232.2649060925,293768.4296003555,458218.9962654125,0.9862083957927558
32,2020-09-30,220000.0,0.1562064156206415,31.0,58.0,7500.0,123431.81668999126,196939.34594330308,309444.77475515875,118993.33785484958,135468.4921847414,196284.60271561783,296620.8182238761,463403.70067553344,0.9894959613693082
33,2020-10-31,226000.0,0.1458966565349544,40.0,60.0,10000.0,125535.24742352018,197747.6131894733,312845.3855176205,121124.66164344846,137505.13744941136,198498.4252007372,300112.5383182861,469675.0530527588,0.9881305251641882
34,2020-11-30,233650.0,0.1233333333333333,31.0,60.0,10000.0,127200.03201761616,198587.09305907084,316388.7442989921,123953.94661849088,139824.29378431346,201118.3729965237,304214.54354776646,476527.31108917465,0.986735841676162
