,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,170722.0,0.1958762886597938,90.0,21.0,5100.0,86030.01429018936,150841.1852996383,263573.29425479,75168.77219548845,75126.16686194828,147387.67694647092,243686.4704206457,307418.4090319152,0.9733426349931972
1,2018-02-28,160683.0,0.189873417721519,24.0,29.0,5000.0,86049.7355349207,149609.87189056876,262901.71604659635,75345.14612612418,74971.6534476164,147238.31741335965,243064.2660862724,306114.6386732841,0.978543049027122
2,2018-03-31,159900.0,0.1858190709046454,31.0,36.0,5000.0,86382.53308240838,150885.61913992133,262843.5724547749,76026.42802251551,75009.54364483226,147178.9099442426,242583.3369522929,304570.3379203227,0.9839980130151168
3,2018-04-30,172500.0,0.173076923076923,39.0,42.0,5100.0,86842.26905684044,152481.7406518137,263176.17481214565,76823.08414377115,75044.5517007858,147241.37323046825,242484.58517207345,303772.73833659786,0.9865190339620912
4,2018-05-31,165000.0,0.2342995169082125,21.0,44.0,5000.0,87703.48761704598,154728.48639776226,264326.9195989869,77864.3897920042,75492.52292743351,147841.56142033264,243115.0603731627,304150.9854138302,0.9854052511668918
5,2018-06-30,195950.0,0.2358276643990929,34.0,42.0,5000.0,88378.79707271978,156313.0162608513,265417.92286078,78563.51363797991,75874.61576203983,148665.6804940642,243779.1966496844,304866.0504973367,0.9863438295371532
6,2018-07-31,174885.0,0.2424942263279445,42.0,40.0,5000.0,89016.24665005527,157614.72637952742,266539.13938633515,79075.23519025306,76373.6868269605,149521.67165745914,244706.64756459263,306006.9911226476,0.9843218369515054
7,2018-08-31,177450.0,0.2477064220183486,40.0,38.0,4950.5,89398.79653802673,158487.8513966448,267606.6848387984,78963.3386802128,76665.36056433558,150273.30588355972,245837.6610598121,307618.0132929136,0.9823433427454522
8,2018-09-30,175000.0,0.2304038004750593,44.0,34.0,5000.0,89714.72938954427,159010.03169470868,268564.51276429085,78798.16354107102,76829.49212388933,150936.94490369014,246861.4483616918,309392.32990750467,0.9795694020488642
9,2018-10-31,186280.0,0.2177215189873417,39.0,38.0,5000.0,90118.14211327738,159173.1296039703,269396.6680619197,78602.2329894561,77116.02032931474,151690.10257604552,247729.3602802457,310939.9041842202,0.9795692760118432
10,2018-11-30,161000.0,0.1761658031088082,67.0,41.0,5000.0,90577.25016271266,159107.08937626664,269908.3860899059,78445.39651962814,77490.68667363822,152396.072544496,248285.84575348708,312173.4788154424,0.9780497594059948
11,2018-12-31,172500.0,0.1413043478260869,48.0,41.0,4000.0,91177.26098776916,159374.14762856244,270424.3876276237,78618.47994303575,78112.0516641971,153132.43968080333,249049.77923218088,313214.0714415686,0.976273295121986
12,2019-01-31,159900.0,0.2071823204419889,75.0,40.0,2300.0,91518.0641543088,158191.55093292228,270933.76952479774,78912.65533315703,78300.00858254828,153574.66125574012,249746.6417437756,313903.7679413995,0.9760850837931384
13,2019-02-28,180000.0,0.2285714285714285,35.0,47.0,2000.0,92028.16492242416,158416.8368310308,272040.147961902,79530.82871170569,78491.93395844573,154123.02033414438,251013.3809826018,315085.234207462,0.9774794015220928
14,2019-03-31,174500.0,0.2292817679558011,25.0,48.0,5000.0,92800.45216618267,160172.0455985824,273559.1179137153,80336.36958570038,78916.4644562833,154733.09614327532,252519.90797638465,316662.0713463656,0.9848571083788036
15,2019-04-30,195000.0,0.2158469945355191,25.0,53.0,5000.0,93778.72636493288,162059.2911876202,275204.3647179467,80975.82531153965,79657.83321055191,155660.74216367694,253999.1348397967,318332.2020269372,0.9822805315065912
