,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,138967.0,0.1631799163179916,47.0,41.0,7000.0,81106.32248989462,147902.97840851903,259150.2010866192,62609.76819849449,73993.43533087533,141588.07580355287,251516.01498655253,338321.271461186,0.9733426349931972
1,2018-02-28,172474.0,0.1720881427072403,34.0,42.0,6500.0,81532.27843482092,147666.89792152608,260591.4990413796,62553.58733304273,74364.81167502132,142670.68516884706,253050.2508342389,339584.24095319136,0.978543049027122
2,2018-03-31,174000.0,0.1362763915547025,25.0,46.0,6000.0,82158.86221787328,149876.0234798655,262121.2759480521,62575.67426623276,74852.03671229082,143865.0280700792,254420.11144764023,340650.8078134888,0.9839980130151168
3,2018-04-30,176900.0,0.178988326848249,17.0,49.0,9000.0,82776.57371664802,151355.8916248702,263329.8840244154,62869.51781824983,75342.53782243979,144785.81269389103,255332.79051473923,341382.66196866543,0.9865190339620912
4,2018-05-31,178652.0,0.1769157994323557,20.0,49.0,9675.0,83639.31721624912,153703.63852936318,264809.2543735895,63455.30148627054,76020.41939281607,145879.80431311092,256397.1674490512,342734.79003196134,0.9854052511668918
5,2018-06-30,188750.0,0.2038161318300086,20.0,45.0,8000.0,84333.43606061855,155689.54668068542,266007.79116029176,64025.25056113119,76614.47606302425,146804.46315554436,257339.2879704656,344343.62053725595,0.9863438295371532
6,2018-07-31,185000.0,0.2328308207705192,41.0,42.0,8000.0,85164.5819558464,157652.5189680092,267588.0936055375,64509.097105313616,77297.849455391,147875.64323700132,258847.3660972024,346768.9750010696,0.9843218369515054
7,2018-08-31,180000.0,0.2460191082802547,37.0,42.0,7900.0,85823.34722166612,158366.62153826063,269020.9876548596,64908.02972790143,77970.89670887036,148734.08286916628,260337.77913790653,349030.992950411,0.9823433427454522
8,2018-09-30,179950.0,0.2096774193548387,32.0,41.0,5100.0,86569.23173194034,159189.4828072553,270451.9143515962,65186.61897417344,78640.59663916864,149604.63768890826,261820.1476759661,351312.85333693674,0.9795694020488642
9,2018-10-31,183750.0,0.2309074573225516,29.0,43.0,6050.0,87051.94679184245,158957.5163162709,271375.5158807907,65259.97399279088,79052.4701400659,150345.53446184468,262824.1383306037,353221.7463993531,0.9795692760118432
10,2018-11-30,170000.0,0.1710646041856233,35.0,42.0,8500.5,87671.36938441469,159129.33640330972,272228.1037351899,65298.0394079366,79456.23267164822,151151.59795507838,263562.2560758442,354970.94657667284,0.9780497594059948
11,2018-12-31,164950.0,0.124750499001996,47.0,46.0,5100.0,88180.37438974423,158906.2381894844,272869.97607925656,65339.412833858056,79789.09911409627,151814.19984426632,264200.0470193825,356214.0776643039,0.976273295121986
12,2019-01-31,179750.0,0.174757281553398,48.0,49.0,9500.0,88851.66941713127,158693.2526835625,273779.4380327374,65786.30980918153,80286.08053377474,152599.25106104268,264924.0517315728,357080.21384870686,0.9760850837931384
13,2019-02-28,166750.0,0.1551891367604267,24.0,52.0,5400.0,89445.66644534201,159030.24192881625,274905.59190911223,66301.3184220313,80687.42317579109,153476.27445763847,266007.3950624856,358015.60067684343,0.9774794015220928
14,2019-03-31,171986.0,0.1763636363636363,24.0,53.0,6500.0,90109.59290603676,160548.86779710374,276217.88543954486,66925.34954731684,81224.8887487716,154447.23560003252,267204.21984813694,359056.643862073,0.9848571083788036
15,2019-04-30,180000.0,0.2003454231433506,14.0,53.0,7500.0,90816.81337725266,162443.20102151416,277557.4361421145,67432.23060733896,81877.64770862293,155422.2850559808,268419.73141443345,360195.61350209947,0.9822805315065912
16,2019-05-31,184372.0,0.2040104620749782,15.0,51.0,8500.0,91768.39977567404,164676.8750839636,278798.89501841745,68055.01072294363,82872.35408753486,156389.153796424,269382.4478518318,360950.28679658304,0.9850046317389652
17,2019-06-30,199500.0,0.215670436187399,14.0,46.0,7000.0,92668.34041438652,166612.06810660713,280001.52112628095,68593.70026981806,83824.25394382892,157391.2474149737,270234.1751073787,361385.7938767857,0.9837791684479714
18,2019-07-31,184900.0,0.2762836185819071,19.0,45.0,6000.0,93369.23050895584,167801.1679126138,280900.47077288403,68906.69111281105,84604.14358456097,158200.1583661778,270896.0325208415,361680.22009228094,0.9841930554370084
19,2019-08-31,199000.0,0.2932203389830508,29.0,43.0,6999.5,93586.91809892013,168254.37968183195,281636.5029451854,68945.24768400547,84850.45034591347,158743.56832197562,271580.68356154906,362014.93322854233,0.9815931402809466
20,2019-09-30,187000.0,0.2450558899398108,32.0,45.0,5900.0,93685.49312166918,168506.12819198202,282389.5981743358,68998.42864186376,84986.71221223389,159140.09417849992,272336.1167849903,362706.1913831786,0.98242402909528
21,2019-10-31,197000.0,0.2397137745974955,23.0,46.0,5295.0,93959.02132324562,168881.29844190425,283644.3156866411,69289.19510749237,85204.53221510068,159757.12658647695,273559.8076284185,364060.14786130266,0.9781202688915588
22,2019-11-30,185450.0,0.1824259789875835,32.0,45.0,5900.0,94442.14791194838,168721.99498379527,285001.64644175186,69784.98704409419,85696.72734044728,160496.15818576363,274770.9221034598,365624.4890629975,0.981165585119377
23,2019-12-31,177000.0,0.1707798617966436,40.0,44.0,5100.0,94929.39660625094,168876.92088417264,286347.8865294195,70278.51979902084,86214.11348606745,161391.23391664805,276011.20542479487,367208.4161687752,0.981366314496152
24,2020-01-31,184000.0,0.2011385199240986,39.0,46.0,7000.0,95503.53468764508,169242.717890271,287665.057436221,70687.34968461843,86877.08568606587,162424.5018106761,277133.94528886623,368799.0666349079,0.9763314715539836
25,2020-02-29,185000.0,0.2556179775280899,24.0,48.0,7900.0,96279.93076549796,169916.2334349754,289231.28502212034,71073.23879808978,87669.5533996296,163683.190400999,278507.15979532927,370826.4238127039,0.9770995907904444
26,2020-03-31,190500.0,0.2030276046304541,19.0,49.0,6098.5,97326.65756486378,171826.2343960261,291119.35721212864,71605.09501200305,88667.80307920744,165008.618188236,280042.1419602683,372920.5942968822,0.9849714050187698
27,2020-04-30,183500.0,0.1606822262118492,16.0,53.0,5500.0,98353.16129458396,173247.51056518918,292616.33685224195,72232.66676250986,89609.2093892583,165996.0587942379,281280.75526728184,374462.6135691993,0.986718921002108
28,2020-05-31,210500.0,0.1906816220880069,17.0,55.0,5750.0,99213.78263155192,174890.79573090488,293528.1272995456,72944.53926291638,90411.83906294164,166696.6093106338,281947.0423805916,375041.6030239182,0.985630545786048
29,2020-06-30,218000.0,0.1926345609065155,14.0,54.0,6900.0,99855.62669029587,177012.4837247379,294169.6385737104,73515.54943327,91003.85116922442,167357.9229641674,282509.19010589994,375400.8031741615,0.9876110542012276
30,2020-07-31,207433.0,0.2163416898792943,13.0,56.0,7500.0,100731.00097624106,179974.8315747963,295659.3474679726,74267.18795005481,91775.02836416235,168511.4552795811,283811.7662282691,376905.6981991127,0.988213479130257
31,2020-08-31,213750.0,0.2085620197585071,13.0,57.0,8000.0,102224.18071563815,182736.40282897005,298394.0551991505,75260.4251881072,93101.21815747068,170227.79030283735,286201.8757332083,380177.592928242,0.9862083957927558
32,2020-09-30,210000.0,0.2098914354644149,12.0,60.0,6100.0,104494.30714342544,185681.31451552288,302212.08916200884,76850.51011561009,95155.09168547492,172485.299916829,289368.2514216588,384971.1507402976,0.9894959613693082
33,2020-10-31,229500.0,0.1979434447300771,15.0,61.0,7700.0,107153.26401376148,188370.89759570075,306542.25686734763,78771.20915779231,97654.5795872234,175188.98667124627,293063.3057670318,390603.19314943807,0.9881305251641882
34,2020-11-30,211166.0,0.180349932705249,13.0,62.0,7800.0,109755.05161222692,190530.95125548745,311190.16048276937,80899.35671958949,100171.61612719588,178184.21563936447,297136.63241270377,396778.701016037,0.986735841676162
35,2020-12-31,213450.0,0.1536144578313253,14.0,67.0,7500.0,111949.99790383333,191528.3211348141,315347.39101936616,82872.06450579724,102290.21890323696,180905.0935756324,300965.40987957665,402527.0864699298,0.9873983037837888
36,2021-01-31,212500.0,0.1644832605531295,14.0,74.0,10000.0,113633.12424940863,192332.49204733115,318807.5037887958,84319.46784210409,103889.16058509448,183213.3701846644,304281.88822048466,407260.904660835,0.9859453026741822
37,2021-02-28,220750.0,0.1008695652173913,9.0,79.0,10000.0,115406.9772012205,194892.28977365303,322397.8823908807,85602.04076672222,105529.55090446664,185571.50055858423,307829.9246296184,412325.6861956687,0.9887149274532272
38,2021-03-31,220000.0,0.1117734724292101,5.0,79.0,10000.0,117416.14273557636,198561.388356907,326443.2991484725,87070.4374488175,107493.43888775865,188284.664425859,311876.1083038615,417626.4072642278,0.995012266182366
39,2021-04-30,235000.0,0.1056661562021439,5.0,81.0,10950.0,119865.41560720526,203393.9574234596,331842.81045170064,88962.54481086218,109967.37789492376,191511.43265053048,317095.949358734,424687.4880362562,1.0018030347914015
40,2021-05-31,237500.0,0.1033519553072625,5.0,78.0,10100.0,122231.24702483304,209422.88073932868,338176.6447881527,90986.49040285924,112410.6421213611,195156.0102751375,323175.25588907395,432418.78755017073,1.0051974513649682
41,2021-06-30,250000.0,0.1360799001248439,5.0,70.0,10000.0,124886.29353847164,216346.5495701584,345874.8199558657,93091.94458933231,115065.65578653551,199598.59406840545,330490.5407171028,441864.2285601071,1.0063787730263147
