,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,126200.0,0.1469489414694894,55.0,39.0,5000.0,79558.87597662218,141438.97914570165,228917.6731886045,52210.1606255229,62402.034053658,122209.70218665135,203125.35609681407,276099.94428925053,0.9782322033815484
1,2018-02-28,125000.0,0.1048593350383631,41.0,40.0,5000.0,80015.37154954363,141443.1833810345,229763.5250143977,52189.61810981217,63033.01549794859,122759.97038917308,203932.43730889747,276785.1656947638,0.9755416319736998
2,2018-03-31,129000.0,0.1189376443418013,18.0,42.0,5000.0,80488.35420160221,142491.28376320263,230553.9077962973,51857.49528435464,63529.20255451591,123282.90593806148,204622.77727641453,277677.8203973585,0.9790919991942908
3,2018-04-30,132000.0,0.1326412918108419,13.0,43.0,5000.0,81044.56948547713,144143.51479229858,231321.66593599235,51809.61130831432,64008.31539844267,123827.12907116472,205230.52898214496,278563.3388570078,0.9783872683123992
4,2018-05-31,135000.0,0.1631455399061032,17.0,45.0,5000.0,81654.45858077414,145675.85685259095,232083.1077801165,51961.10296280959,64476.61588631311,124450.64390030304,205784.176090837,279479.7459143938,0.9816143545260936
5,2018-06-30,140500.0,0.1557465091299677,16.0,44.0,5100.0,82120.0881483029,146489.08475909615,232692.7817196427,52038.945290333264,64886.49960647089,124962.6768964504,206270.0789088405,279989.673756807,0.9828013026344984
6,2018-07-31,140400.0,0.1789137380191693,22.0,46.0,5000.0,82643.71494869729,147851.62412205752,233444.5177249209,52061.64206839927,65344.93071420541,125501.80093903636,206945.54247578667,280444.52808654937,0.9803680353991628
7,2018-08-31,135500.0,0.1670403587443946,19.0,47.0,5000.0,83168.35292574765,148003.3244204718,234145.07307655123,52080.23976392819,65858.47018387883,125981.96687245338,207614.51247336683,280923.2347930478,0.9814030723460996
8,2018-09-30,150000.0,0.1731207289293849,27.0,46.0,5000.0,83897.89537417456,149085.51620860517,235183.9981555432,52336.892427168605,66456.3629428832,126795.3454806916,208566.5248605048,281942.7181914747,0.9811825403011492
9,2018-10-31,142500.0,0.1647465437788018,26.0,44.0,5000.0,84377.4549488181,148839.8132796966,235875.30308398727,52454.231937887445,66794.50096880324,127456.11152323266,209257.8138111941,283040.105446921,0.980209426204632
10,2018-11-30,144700.0,0.1355311355311355,34.0,43.0,5400.0,84962.96281027117,149119.56760319913,236664.915628452,52633.89274172476,67106.2013046621,128252.88954663294,210017.01564633223,284179.6178021259,0.9781873603002316
11,2018-12-31,139900.0,0.1304985337243401,47.0,46.0,5000.0,85589.75376442116,149712.3918128916,237401.14240643973,52995.39461553155,67501.24574257618,129023.9820034495,210705.3763175624,285008.1943191456,0.9817452235717342
12,2019-01-31,136000.0,0.1524966261808367,29.0,49.0,5000.0,86568.6576258056,149960.670189268,238395.367034028,53955.64560589272,68439.27567204369,129875.89956634773,211465.8442818077,285481.54340569355,0.9756772665327
13,2019-02-28,143650.0,0.1530201342281879,13.0,53.0,5000.0,87660.28492645088,150855.26649736127,239492.69466181973,54965.58414976268,69712.49437922957,130724.80573781344,212255.44066243083,285603.449994653,0.9797043185381932
14,2019-03-31,139750.0,0.12453300124533,11.0,50.0,5000.0,89022.77234803962,152258.90807760274,240507.81454532605,56195.43396587821,71491.20786503871,131407.21942928398,212927.0789141379,285537.6417305526,0.9785152809190948
15,2019-04-30,147900.0,0.1457831325301204,19.0,50.0,5000.0,90110.62628268912,152929.43716942827,241144.3072990532,56701.14078316756,72950.38803611038,131817.9844128075,213404.4850007606,285418.4300418492,0.9825124970695516
16,2019-05-31,149250.0,0.162514827995255,15.0,49.0,5000.0,90921.33943114716,154030.8771221655,241499.58064212336,56565.54716499565,73963.30377556139,131969.4697828149,213742.152317006,285371.78553342377,0.9845702538242518
17,2019-06-30,153000.0,0.1455847255369928,13.0,52.0,5000.0,91310.66900765248,155376.59571204378,241829.57323034643,55870.343845744304,74357.58841844213,132073.8346172653,214089.3240638024,285530.8003635644,0.9845831909515396
18,2019-07-31,150000.0,0.1818181818181818,20.0,51.0,5000.0,91545.96569972605,155992.29845051814,242318.2914760413,55076.72318255712,74559.60774018506,132324.61156485518,214544.367418453,285752.01076091366,0.985288232602626
19,2019-08-31,149000.0,0.1636141636141636,21.0,51.0,5000.0,91732.36292117328,156554.92841587655,242934.7187804985,54750.18123264529,74742.83072186944,132794.10465997455,215138.8834326864,286155.4213383388,0.9832942996568176
20,2019-09-30,148500.0,0.1844783715012722,20.0,49.0,5000.0,91882.05168405783,156833.87564289063,243371.5799432108,54578.13448476974,74878.47186882595,133218.5254275799,215636.02637793272,286494.9403432606,0.9837952185383696
21,2019-10-31,139900.0,0.1672816728167281,20.0,46.0,5000.0,92205.10070247397,156990.9648606994,244140.26718125632,54795.52782454778,75119.91771134957,133763.01380475276,216466.7146766313,287576.90826691914,0.9786889755578706
22,2019-11-30,149950.0,0.1599479843953186,26.0,46.0,5000.0,92659.0202954744,157352.8013821459,245074.15527594704,54675.13206855819,75414.51414417142,134345.9459066024,217416.2307988605,288881.97251185443,0.979377771949064
23,2019-12-31,146800.0,0.0915492957746478,21.0,48.0,5000.0,93225.42258443788,157401.40214820098,246129.6995489825,54216.68571271596,75756.05099390661,135015.8963232828,218433.3067007597,290210.543023182,0.980713706749802
24,2020-01-31,139450.0,0.1476683937823834,32.0,52.0,5000.0,93716.09590647565,157530.31441407138,247178.60265374053,53300.78168079915,75845.75574532253,135816.41988047867,219463.9827510705,291346.9902816669,0.982639598385836
25,2020-02-29,139900.0,0.1841397849462365,18.0,53.0,5000.0,94275.7880239939,158394.03836562514,248340.5525798773,52801.81683947956,76032.19599615394,136737.73353908927,220558.4994632677,292736.4945979712,0.980483623204353
