,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,355000.0,0.138821811647105,51.0,56.0,10000.0,263288.4974445474,408441.6739281242,687262.51722417,279297.6062538748,297083.78120891005,358843.38086000824,498835.05142527184,657798.9960795105,0.9826543638919242
1,2018-02-28,363250.0,0.1279711265790152,33.0,54.0,10000.0,264466.0126638138,408349.6929028112,689714.8694165252,280002.8861201043,298209.5764677582,360578.8077191964,500719.24586256646,660064.0335506261,0.9871413903746672
2,2018-03-31,377500.0,0.1408217783996947,27.0,56.0,10000.0,265681.2155588616,411522.03260377096,692029.9771223663,280811.97562359547,299318.13242296205,362211.0763925564,502552.3830167959,662046.4858773475,0.9889360915399458
3,2018-04-30,395900.0,0.1454412837345003,20.0,56.0,10000.0,266669.27622419497,414272.6429782297,693729.7930675355,281371.42992854986,300090.131708502,363303.405371506,503841.4513192922,663371.3262444799,0.9900907201531984
4,2018-05-31,403000.0,0.2108512492736781,26.0,56.0,10000.0,267598.7766542768,418120.6112530905,695698.9456934201,281961.76163829694,300921.3303475837,364274.3273988003,505173.2993296853,664867.4023741927,0.9925214494530404
5,2018-06-30,405000.0,0.2372189841798501,16.0,56.0,10000.0,268068.0575938962,420660.2592289175,696636.1387949018,281961.5749274233,301278.4544645615,364657.414401596,505688.13830896746,665510.7660627416,0.9924920488555246
6,2018-07-31,398500.0,0.2489112227805695,16.0,56.0,10000.0,268932.90578367404,423954.1580803339,698248.2602185435,282472.950519573,302373.44477281533,365570.08417509217,506858.6466298153,667142.5603694551,0.9918963405229344
7,2018-08-31,390000.0,0.2626809259975089,21.0,55.0,10000.0,269803.25681548193,424016.6994694674,699733.7488264022,282694.5007747211,303524.4617518138,366561.02785268746,507974.1515300375,668796.236470028,0.9896758130250012
8,2018-09-30,370000.0,0.2562770562770562,20.0,54.0,10000.0,270922.9369766588,423401.8148309395,701421.4816965824,283237.06618844083,304956.3461775898,367881.5951230793,509361.5129040818,670715.7241978928,0.9864142456024833
9,2018-10-31,374000.0,0.2885460656726709,23.0,54.0,10000.0,271887.8718129993,421968.4069895083,702508.5322205877,283534.24624034145,306017.1039373386,368996.2613432857,510303.3210560547,671839.0692296152,0.9877667191150448
10,2018-11-30,375000.0,0.2152525105515936,30.0,56.0,10000.0,272857.1433574962,420508.5418558512,703763.0294252193,284226.2337531074,307212.7756384529,370183.9455162462,511359.39495459216,673270.4811101025,0.9872800981340832
11,2018-12-31,380000.0,0.1523879862136878,39.0,61.0,10000.0,273782.5744933773,419455.35613995616,705090.6091421982,285101.57407008176,308518.2184764464,371317.8982813287,512397.6490637722,674700.8986451854,0.9815255402072448
12,2019-01-31,360000.0,0.1808738557423878,33.0,66.0,10000.0,274678.7732867599,418744.5768629428,706673.1968081853,285978.1769205762,309771.58237297455,372257.3632325274,513362.6100716502,675970.9454674022,0.9790843142243468
13,2019-02-28,370000.0,0.1494453446341767,13.0,70.0,10000.0,275923.2119692143,420252.0536804598,708501.1719538476,286721.4959958052,311025.73265134805,373405.2579397043,514644.2626130439,677098.0805663993,0.9827528676091464
14,2019-03-31,385000.0,0.1659738260200154,10.0,69.0,10000.0,277529.916816296,423964.73534509086,711365.9154796669,287519.39455587073,312342.3246898204,374912.8303027572,516592.11034851527,678923.9134033081,0.9872703258521978
