,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,262500.0,0.1017699115044247,66.0,51.0,,210506.02866684544,303990.2722202144,501335.82517892745,208912.33293140272,248449.9228055041,322166.8604712069,397088.772892081,447605.6472223638,0.9914113182573936
1,2018-02-28,267250.0,0.0633484162895927,30.0,56.0,,212434.6405489416,305635.63683985604,504527.8594467955,210518.71596233224,250550.18413406087,324662.3595843098,399995.9107006856,451094.1165864868,0.9928822723022188
2,2018-03-31,277000.0,0.0885826771653543,14.0,64.0,,214944.2131490881,309139.67095400096,508224.3092159344,212392.86797255263,252839.1620867841,327306.42641667026,403064.0122785618,454956.65763620543,0.9989723567302642
3,2018-04-30,294700.0,0.0736,8.0,68.0,,217211.39257295209,312163.4881656843,511558.77145620063,213878.7666013651,254872.1491479743,329696.2991511352,405927.7080871454,458468.7741468613,0.9996307655750104
4,2018-05-31,285000.0,0.1162079510703364,13.0,68.0,,219271.13962407224,316750.25728541147,515169.8780830754,215301.43041109352,256907.4869221706,332183.5833076969,408955.0323484724,462203.945764044,1.0011216011946988
5,2018-06-30,341500.0,0.159379407616361,18.0,62.0,,220847.80048333496,320427.77705213765,518489.2223250836,216552.444798755,258669.70667144287,334216.4110259291,411560.2370575779,465394.73402264505,1.0005360137449302
6,2018-07-31,319323.0,0.1810918774966711,17.0,56.0,,223435.71971491285,327018.73536135204,523635.21346313786,218723.833830839,261155.45672574567,337096.7846842105,415385.1461645683,470143.4889018586,0.9985147856303622
7,2018-08-31,327900.0,0.2179656538969616,15.0,51.0,,225993.6419878804,330313.604181696,528696.0096447555,220696.67943685976,263726.14855749864,340165.3683527313,419361.1570353588,475103.301627587,0.9988881124332112
8,2018-09-30,321166.0,0.1881188118811881,32.0,47.0,,228722.2872761668,331703.4444534899,533534.7838606518,222757.1886306756,266223.4384100325,343232.0407909293,423343.2045495072,480076.8011360976,0.9964487426007574
9,2018-10-31,302500.0,0.1729651162790697,31.0,46.0,,230667.5348540024,332359.66638895136,536761.6549828677,224093.78985350905,268058.02635120536,345584.291553634,426282.0160650216,483710.291842775,0.994592357230634
10,2018-11-30,309000.0,0.1499148211243611,36.0,44.0,,232911.8971617868,332386.38357222296,539267.0526494951,225651.13290744927,269622.4775785583,347374.05203055404,428561.0167130718,486463.9426120109,0.9949264921185405
11,2018-12-31,318000.0,0.1004273504273504,46.0,47.0,,234781.2865287303,331785.0386676211,541349.7449798773,227450.38893201257,271235.62518932176,349118.76235823776,430623.1546300703,488980.5616794871,0.9929831064939286
12,2019-01-31,299000.0,0.1150442477876106,41.0,53.0,,236294.1086892128,331785.3423387429,543461.5369220529,229846.8292857703,273058.63185675006,351047.2541688077,432469.2797786119,490961.1385096535,0.9916025302602732
13,2019-02-28,295000.0,0.0909090909090909,24.0,61.0,,236921.23094750047,333361.5635707573,545529.3644292704,231798.72997707003,275098.7702940974,353585.6138107136,434579.9863199562,492785.6772316456,0.9925811160000698
14,2019-03-31,301500.0,0.1177777777777777,18.0,63.0,,238272.46019888367,337734.21021344734,548556.166258948,234038.58044117023,277882.95656047366,356969.328336228,437391.66801130335,495015.48378970224,0.9961050436782154
15,2019-04-30,315000.0,0.124282982791587,13.0,65.0,,239820.25578268923,342067.6836234518,551700.3639137963,236040.43387927,280955.3258058917,360524.94390072726,440604.0067150116,497754.61390647286,0.9969293098934962
16,2019-05-31,342500.0,0.1530139103554868,13.0,64.0,,241779.25139277344,347011.9030177251,555374.2667371789,238636.57059325973,284325.75585846446,363887.3571587175,443863.390753734,500901.1150241183,0.9988770606029008
17,2019-06-30,349000.0,0.1836158192090395,13.0,61.0,,242942.90779512373,351883.5928404973,558824.0905448729,240952.49636559337,287295.8679550973,366861.7270020302,446889.3705641369,504143.58026132034,0.9982134980047932
18,2019-07-31,349900.0,0.2275132275132275,21.0,58.0,,243679.9445311853,355908.77048541314,562260.8536096803,243253.0072861153,289739.6429748045,369417.165211904,449640.5813846767,507332.3378747309,0.9990231713845056
19,2019-08-31,355000.0,0.2217795484727755,26.0,57.0,,244537.1096546287,359081.8708975799,565632.1855240664,245156.34469753047,291837.9301028689,371959.244076008,452613.1682569109,510897.8150907744,0.9981708493138236
20,2019-09-30,364900.0,0.1659574468085106,25.0,56.0,,245767.9418045972,361502.8288727696,568757.6587240091,246738.15862183936,293855.7285909247,374400.3763695152,455555.31484783936,514395.2618819058,0.99715603591672
21,2019-10-31,352500.0,0.175,26.0,57.0,,248038.0901690501,364123.25112664566,572834.4668280717,248845.560628896,296522.5341716217,377433.6251626953,459218.0216581807,518652.90876565006,0.9962218064656204
22,2019-11-30,365400.0,0.1343283582089552,36.0,53.0,,250523.0233585381,365260.8760291914,576935.9274670713,251350.2597870493,299365.0593265958,380582.4913095759,462792.2237335266,522788.9541364319,0.9971116756128734
23,2019-12-31,337450.0,0.0791208791208791,48.0,55.0,,253404.02470916192,365773.4579834014,581238.6703802409,254231.8902910957,302141.929758744,383763.71266288153,466526.58224126446,527089.1128869642,0.9933552600979112
24,2020-01-31,320000.0,0.1077694235588972,52.0,60.0,,255312.94952947987,364841.6775231792,583852.6375466833,256218.88398069408,304067.0844787734,386149.9308057653,469149.802081795,530231.9443539395,0.993422391064416
25,2020-02-29,311250.0,0.1317204301075268,26.0,68.0,,256919.41338933448,365568.9360091229,586250.1461398004,258059.11476249155,305624.2899383057,387813.28562270105,471195.4248964272,533070.5711449746,0.9944013151221348
26,2020-03-31,365000.0,0.1216216216216216,8.0,72.0,,258825.883328357,370288.0358875893,589122.4998169964,260086.5686182844,307442.7120833146,389510.3822222137,473157.28632980987,535821.5352429678,1.0010362755780993
27,2020-04-30,339000.0,0.1852678571428571,19.0,78.0,,262033.7534681213,376642.21690403606,593553.9172770627,263071.95045624184,310553.7344033984,392365.3888496358,476191.0908902078,539751.1327177057,0.9998608803566338
28,2020-05-31,362500.0,0.1603053435114503,10.0,78.0,,265282.4456147776,379908.4307014397,597158.5633456783,266058.3160695489,313877.8471527288,395225.4244435595,478553.5416496582,542529.3092800761,0.9982164705246293
29,2020-06-30,355000.0,0.1533980582524272,16.0,83.0,,267189.50979863905,382530.0120121472,599153.5659324001,267862.54108323593,316290.6433420716,397300.84114086296,480013.2522443048,544347.8331169103,0.9998942479755506
30,2020-07-31,378400.0,0.1559454191033138,11.0,96.0,,268423.48736583703,387475.0720868167,600511.6169583974,269051.6196531259,317771.668710676,398493.7496769472,480975.0513165325,545632.7164460266,1.0007448407340092
31,2020-08-31,390000.0,0.1186440677966101,9.0,106.0,,270392.56470176374,392136.1101254567,604407.5443200583,270729.3258200008,319560.56041451107,400638.42367686005,483979.0053393805,549512.0503961779,1.0015839718938908
