,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,137000.0,0.1822358346094946,57.0,9.0,5000.0,66543.04036989868,129352.68101418142,232920.79721071955,44172.65164525026,71511.4212036315,128721.23816438232,188353.7656238392,271615.9862290616,
1,2018-02-28,140000.0,0.1524341580207502,42.0,-7.0,5000.0,66937.69983253618,129470.71403028406,233656.1086749858,44359.95341267481,71821.29942708176,129254.32948336758,189093.66554886228,272422.5282615648,
2,2018-03-31,138000.0,0.1727340267459138,23.0,108.0,5000.0,67453.70132586056,130638.64238604302,234540.1828851332,44488.30179332791,72261.02377890695,129767.37152526404,189783.8462723327,273472.80068557133,
3,2018-04-30,149900.0,0.1752353367125271,21.0,256.0,5000.0,67917.2464409469,131776.6843504963,235212.5240486972,44662.940672654695,72681.3616362248,130057.1416448604,190124.77729603296,274088.57826089225,
4,2018-05-31,155000.0,0.2126995142262318,19.0,299.0,5000.0,68230.77578380906,133419.1400163026,235691.1025762461,44750.59905512389,72938.89776604522,130328.41129595804,190367.5848651191,274406.48428004485,
5,2018-06-30,157073.0,0.220360824742268,16.0,189.0,5000.0,68373.92152213537,134469.96110414935,235933.2462705636,44690.0366205113,73050.88224979053,130581.662147718,190579.3105858554,274399.8317527513,
6,2018-07-31,154000.0,0.2403177755710029,23.0,120.0,5000.0,68549.30568080279,135937.73360543652,236571.28373610752,44665.57465096173,73215.66274370707,131141.6376775331,191338.25287224384,274882.48074012954,
7,2018-08-31,155000.0,0.2407950472466601,25.0,96.0,5000.0,68737.92558891288,136313.114704514,237307.35340453265,44614.97222087483,73432.229294796,131706.2493432573,192129.1079672157,275577.9756768432,
8,2018-09-30,154000.0,0.2098723975822699,22.0,70.0,5000.0,68990.64593200355,136469.45608177266,238149.73829829847,44597.65005947949,73659.4014383551,132317.46527189374,192945.4325188672,276300.0069473725,
9,2018-10-31,147789.0,0.2225891677675033,25.0,51.0,5000.0,69182.48349040833,136275.95628804606,238795.8806416775,44544.51428046301,73775.20001339134,132690.91435141777,193393.06942598225,276877.8901765077,
10,2018-11-30,148757.0,0.1826326671261199,30.0,40.0,5000.0,69528.47090660577,136011.07671151083,239596.14918123247,44737.91615922421,74006.40360176568,133125.462825264,193902.69113596168,277623.59820764326,
11,2018-12-31,155000.0,0.1302857142857142,40.0,39.0,5000.0,69857.46105383874,135319.86172362004,240214.0316194152,44981.36881600707,74236.70744195986,133473.91689201377,194378.0001571977,278301.66503685544,
12,2019-01-31,150376.0,0.1996168582375479,48.0,42.0,5000.0,70151.31482224145,134646.37778088645,240513.4023338313,45285.15663979973,74468.65368196514,133831.55452454506,194704.9444048365,278602.37846046564,
13,2019-02-28,147000.0,0.1399762752075919,41.0,51.0,5000.0,70355.12852741157,135015.54944624737,240669.31934097307,45391.48067389364,74639.66132685634,134247.6048395912,194957.3345195979,278750.3024926635,
14,2019-03-31,152500.0,0.1491588785046729,18.0,56.0,5000.0,70718.70495215997,136393.94415309493,241185.13824338795,45656.12670998732,75020.57042955687,134800.30127596503,195306.2034078144,279163.85672401235,
15,2019-04-30,150897.0,0.1781069364161849,13.0,53.0,5000.0,71151.87388327495,138310.85437081612,242024.42869696405,45878.55523429249,75480.48755082877,135531.06236233556,195878.29891727984,279777.6266979259,
16,2019-05-31,163900.0,0.1865835777126099,18.0,46.0,5100.0,71575.59686811121,140310.13461024544,242933.96280025985,46177.35828436864,75920.6906868195,136230.0513275504,196556.3590607162,280292.26065891125,
17,2019-06-30,170000.0,0.1896989481320275,14.0,45.0,5000.0,72028.41883019058,142397.48385101353,243987.24992038604,46366.47110717468,76384.74336291837,137063.6467940905,197360.94615113267,280753.0662781168,
18,2019-07-31,175116.0,0.2348659003831417,14.0,51.0,5000.0,72517.38928054272,143798.21578606678,245260.60970989685,46582.31191057936,76900.4735961951,137860.26308563925,198300.1811424488,281483.84703889786,
19,2019-08-31,161750.0,0.2184391736801836,15.0,52.0,5100.0,73066.65449377347,144730.70074709746,246782.5670492733,46789.63435203623,77525.73402149044,138730.8827057789,199403.0294016388,282630.35048581025,
20,2019-09-30,157246.0,0.2454873646209386,18.0,44.0,5000.0,73613.9091510393,145275.17169232477,248265.2350155525,47027.15936956634,78166.16421702078,139594.02275436564,200566.2315508384,284049.7448001956,
21,2019-10-31,159950.0,0.2376644736842105,24.0,41.0,5000.0,74097.59363070993,145593.44674811847,249931.92412641924,47234.76643424681,78724.94780589457,140551.5828172581,201938.3093688301,285879.82713803503,
22,2019-11-30,169900.0,0.1861213235294117,19.0,39.0,5000.0,74656.86922510904,145814.5518099614,251727.35610869084,47644.80450631917,79337.6461495893,141598.27847188618,203448.89826988164,287949.21554917085,
23,2019-12-31,165000.0,0.1489146895507319,26.0,43.0,5000.0,75166.93531751726,145751.56085623862,253602.5980436648,48161.93770018931,79834.43058277664,142560.64769946798,204905.4945529619,289984.4213550102,
24,2020-01-31,153000.0,0.181730304494925,26.0,45.0,5000.0,75716.54879182372,145887.76400751638,255364.2779883833,49136.33005859182,80518.70138333406,143499.81296570192,206156.8409917652,291614.55336605274,
25,2020-02-29,161148.0,0.2207920792079208,18.0,52.0,5000.0,76377.63938575568,147177.96088460312,257027.14221424272,50454.30757919818,81434.26443092785,144485.1412866162,207142.92414121787,292834.388016866,
26,2020-03-31,168490.0,0.1502369668246445,8.0,60.0,5000.0,77061.35368670819,149007.09148770315,258542.28498403044,52136.91766676118,82505.55395278057,145525.57454259848,208048.42536264565,293843.82584033255,
27,2020-04-30,175559.0,0.1440922190201729,10.0,70.0,5000.0,77855.24298114568,150879.0094172685,259624.33968290497,53911.94265774098,83603.00047309115,146452.5755509622,208656.015434444,294332.31729739,
28,2020-05-31,171750.0,0.1741007194244604,8.0,81.0,5000.0,78373.96784969,152414.95605170203,260148.27304557245,55390.71256801322,84326.33717628292,146951.0554299976,208912.3374897075,294274.00969038875,
29,2020-06-30,181443.0,0.161042944785276,6.0,85.0,,78769.26363835952,154348.86093583054,260718.06272284,56352.54084532329,84898.94064173427,147514.8397793086,209385.2771330208,294516.70145973115,
30,2020-07-31,188268.0,0.1833503575076608,6.0,84.0,,79329.03218852209,156980.0573167393,262006.57680592776,57160.464145594895,85610.15517268411,148498.27965586472,210629.4230730126,295737.94687243487,
31,2020-08-31,180886.0,0.2087912087912088,6.0,76.0,5100.0,80249.57169812404,158405.37019797848,264030.33647117583,57648.804720469634,86428.31707922573,149987.190777082,212789.73833252065,298252.04093721416,
32,2020-09-30,180779.0,0.2023871302542812,8.0,68.0,5000.0,81679.36022692242,160364.236909054,266771.69219041686,58302.13931952007,87484.80845864651,151800.6416886135,215537.3589242797,301628.1182060344,
33,2020-10-31,186608.0,0.2077348066298342,10.0,65.0,5000.0,83026.28690860742,160202.86878729978,268972.5057123802,58531.97699245336,88213.71690767932,153185.56823596242,217830.34534626943,304632.45312454685,
34,2020-11-30,183000.0,0.1875370919881305,9.0,63.0,5000.0,84342.82250870041,160044.37703841872,270963.1308255004,58910.34844246937,89016.7017246065,154391.11065477124,219871.5487096124,307347.035636626,
35,2020-12-31,182196.0,0.1555261416280609,15.0,65.0,5000.0,85344.87892579187,159508.1731977216,272134.6441614229,59161.99586615618,89580.01252539764,155078.30264710335,221108.7784063657,309051.82508763246,
36,2021-01-31,173444.0,0.1490218642117376,28.0,74.0,5000.0,86347.68443262162,159359.8628959126,273807.99466328166,59416.63517724581,90249.47005361348,155849.3990595157,222608.22029719004,311351.8601699537,
37,2021-02-28,175000.0,0.0932134096484055,6.0,91.0,5000.0,87217.11821856238,160086.56009705708,275700.1133110285,59583.126506065695,90865.14848754006,156711.31849043557,224200.70979147303,313922.31117837405,
38,2021-03-31,184900.0,0.1149341142020497,3.0,105.0,5100.0,88206.27899585867,162421.64155042416,277954.0680017583,59909.827739730616,91714.02119156015,158028.34377021447,226442.1100704904,317026.531360033,
39,2021-04-30,182241.0,0.1075409836065573,4.0,107.0,,89281.21196296148,165456.09808843557,280376.331445859,60459.69876314013,92767.80955425349,159741.19913016172,229016.4844035956,320206.474982766,
40,2021-05-31,197000.0,0.1190914671577655,4.0,95.0,,90561.97414301672,169453.9236088036,283593.89392376575,61284.2940006357,94098.78478397951,161887.81980717232,232224.50287233488,324175.4305767534,
41,2021-06-30,199994.0,0.16415313225058,4.0,81.0,,92088.86295703345,173387.7645812859,287348.59574914497,62270.10876050338,95829.34816171035,164383.83932933558,235768.10746921148,328634.5375923714,
42,2021-07-31,211041.0,0.197010144153764,5.0,74.0,,93298.61709077549,175336.9653207166,290738.36752696935,63247.71112931545,97323.28604702768,166563.42760672478,238977.1755529413,332704.2220492129,
43,2021-08-31,200956.0,0.2324175824175824,6.0,70.0,7000.0,94191.34377817328,176548.91680443156,293266.15573537565,64289.52751622754,98547.22970293788,168225.45375329955,241519.258804624,335849.7335053608,
44,2021-09-30,194900.0,0.2105561861520999,7.0,66.0,5450.0,94635.49454791295,177237.68852243718,295231.395591894,65292.994081173965,99194.62628864676,169203.06512480412,243475.5534252559,338506.2130154697,
