,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,127000.0,0.1391437308868501,,54.0,4950.0,52346.7913052103,97717.41712228808,182816.18480652213,36100.2095064038,50553.770678313456,100428.90622954637,172248.3888196466,242784.9114163697,0.9733426349931972
1,2018-02-28,113400.0,0.1186186186186186,,53.0,5050.0,52483.106715537375,97694.94274450364,183243.2693139535,36374.94059946464,50631.28313292561,100804.25155727782,172622.4508925084,243111.3203039331,0.978543049027122
2,2018-03-31,100000.0,0.1226158038147139,,56.0,5000.0,53042.05106913997,99471.3635102122,183979.6377410949,36949.506843496216,51079.83921960762,101497.43326812342,173239.36861715504,243894.06346605337,0.9839980130151168
3,2018-04-30,138713.0,0.1481994459833795,,56.0,5000.0,54044.842079942966,101709.27266306404,185081.5646572263,37890.36311641271,51971.73659842767,102453.74124348856,174130.06448535825,245073.0283942005,0.9865190339620912
4,2018-05-31,139795.0,0.1281045751633986,,58.0,5050.0,54956.50740008665,103381.28382247376,186521.28053382004,38505.583895080425,52742.49955635308,103462.8710691338,175416.69952021624,246799.2308311872,0.9854052511668918
5,2018-06-30,145000.0,0.1709844559585492,,57.0,5000.0,55640.88721191769,104711.41164945184,187843.45072223537,38858.90159527562,53369.8616152184,104271.1839559733,176647.12187206597,248487.24689888864,0.9863438295371532
6,2018-07-31,121514.0,0.1786632390745501,,56.0,5000.0,56206.939296311466,106112.20372710284,189242.895978382,39004.144974553456,53855.20321598049,104975.9395375796,178032.99504189682,250546.84452984817,0.9843218369515054
7,2018-08-31,122777.0,0.2090322580645161,,51.0,5000.0,56699.48632820369,106138.61049890723,190352.44755689663,39122.93808245539,54279.86293107735,105518.85659085478,179125.13253324563,252407.37482710424,0.9823433427454522
8,2018-09-30,122143.0,0.1655450874831763,,49.0,5000.0,57069.02963378391,106255.64132116004,191427.4928891966,39040.682001448185,54477.83307117268,105977.17144958202,180275.70520683177,253954.2255910957,0.9795694020488642
9,2018-10-31,124861.0,0.1872561768530559,,49.0,5100.0,57003.52547185289,105335.00646957554,191937.64118665585,38668.59485495769,54255.52680439234,106127.91723083222,180948.0030700903,254781.256213828,0.9795692760118432
10,2018-11-30,141250.0,0.138268156424581,,51.0,5000.0,56927.5267605242,105102.12564690554,192554.7167314523,38220.78094609245,54022.35724320482,106385.11752074066,181712.01260329995,255737.6895323953,0.9780497594059948
11,2018-12-31,117500.0,0.1190864600326264,,52.0,5100.0,56841.22950600571,104582.57025719542,192969.90420573924,38070.29597027355,53810.43356341865,106543.272204103,182135.317212556,256437.9061695776,0.976273295121986
12,2019-01-31,103385.0,0.1542372881355932,,55.0,7000.0,56801.92344137628,103093.5899890324,193375.74465545788,38174.638010024886,53697.72314980935,106546.54015851668,182588.827960506,256932.8317116043,0.9760850837931384
13,2019-02-28,134000.0,0.1421232876712329,,60.0,5000.0,56848.95401630059,103362.8862634423,193882.51652884568,38548.265848155614,53675.42035579909,106624.47016513394,183148.58899742784,257294.5051350277,0.9774794015220928
