,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,150000.0,0.1826411075612353,70.0,47.0,5000.0,118400.63506358836,179088.3488066321,276310.93894444074,99579.31321838671,131718.26068312916,170782.30653724377,248780.50372748607,225583.2341088293,0.981530447316614
1,2018-02-28,155000.0,0.156078860898138,72.0,47.0,5000.0,118977.8018333546,178297.44330086847,276933.0231385765,99981.5463539997,132170.13164188614,171333.53281740818,249433.58209168515,226778.03387345257,0.9741020677916822
2,2018-03-31,164700.0,0.1994535519125683,22.0,51.0,5095.0,119478.29267356488,179499.90678121333,277529.20776645845,100221.34207768444,132573.96160785668,171836.65028054817,249972.5484747286,227891.9120252418,0.9813194271803478
3,2018-04-30,162250.0,0.1421241662390969,9.0,54.0,5000.0,119733.43093783788,180499.48741820976,277794.58629432315,100396.39901658864,132792.25494900843,172076.57425787693,250176.0493725709,228510.89545834108,0.984818305944258
4,2018-05-31,168000.0,0.2556790720154664,34.0,55.0,5000.0,119861.08206268425,181914.6686104612,278147.1554077575,100643.89160237146,132957.51886562572,172326.49943082035,250449.6909359564,228737.9770296036,0.9853010487262944
5,2018-06-30,178000.0,0.2285298398835516,20.0,53.0,5000.0,119901.93049923165,183674.7001020979,278353.5298212728,100904.19846707024,133011.95947509215,172582.01514056625,250644.16576961183,228724.66935578515,0.9881762995542608
6,2018-07-31,171150.0,0.248441247002398,19.0,54.0,5100.0,120059.0423517268,185169.0808887358,278867.822655706,101277.33855772253,133186.75865460272,173036.0842776549,251144.76570294515,228958.20225010545,0.9844148443543592
7,2018-08-31,179000.0,0.2543728135932034,26.0,53.0,5000.0,120424.36450155792,185804.9537626211,279509.54165094293,101585.87112518965,133580.9254089344,173540.95687410628,251817.7670896397,229520.0488441673,0.983917240806102
8,2018-09-30,165000.0,0.2415232133541992,31.0,52.0,5000.0,120772.18194241468,185786.3147932668,279940.78545508895,101681.19211170945,133973.13022008314,173910.94048156138,252331.66581934635,229976.15943601367,0.9823396164299568
9,2018-10-31,159900.0,0.2784542085759661,33.0,50.0,5000.0,121121.5444242988,185489.35382442703,280192.95226518344,101608.78491509268,134391.57417704666,174205.5229267371,252750.6065037333,230379.09852699217,0.9791986429643132
10,2018-11-30,164900.0,0.2107322526551145,31.0,50.0,5000.0,121434.08421803742,184256.04304508664,280196.76693675393,101442.64746853976,134724.87977248974,174419.196718061,252949.0639340853,230714.0968983616,0.9797600096400564
11,2018-12-31,164950.0,0.1549652118912081,40.0,52.0,5000.0,121870.62339829764,183654.4162666869,280474.0063690269,101553.03930837195,135140.0163210571,174843.11456221264,253391.16099734788,231357.5390379461,0.9764419489206564
12,2019-01-31,160000.0,0.2197593413552881,62.0,54.0,5000.0,122504.13192437844,184011.15320040687,281185.0289094213,101815.32960961683,135677.3905726145,175597.3365530147,254182.0821611925,232432.6846053629,0.9725212845315282
13,2019-02-28,159900.0,0.1724137931034483,38.0,58.0,5000.0,123427.5413993061,184877.07221786905,282762.3700337516,102283.5254873619,136503.26795812693,176879.85045106988,255769.7903943636,234108.48139268425,0.9771432768899856
14,2019-03-31,165000.0,0.1799007444168734,17.0,59.0,5000.0,124316.38525345118,186696.60782519248,284641.32905426255,102760.88372690912,137303.26054250207,178249.2353131159,257584.7544468938,235891.7752824184,0.9802140409315288
15,2019-04-30,169000.0,0.1990767455279861,12.0,59.0,5000.0,124889.0563781351,188046.28029640685,286153.6669917444,102976.32741999504,137812.14451725487,179295.284507814,259069.3922248526,237130.1309343569,0.9854469586723632
16,2019-05-31,175000.0,0.2189249720044792,14.0,56.0,5000.0,125176.50551660972,190395.68298957072,287168.3580544308,103101.93647938468,138096.78553779153,180096.2299663166,260057.89289528845,237777.6119320329,0.985515061416298
17,2019-06-30,175000.0,0.2267316017316017,14.0,56.0,5000.0,125537.66392538132,192942.6885231833,288066.8951066432,103130.03361385498,138528.39456605856,180904.93611110657,260954.27426723728,238398.3147758796,0.9922885061479244
18,2019-07-31,179900.0,0.2541824069077172,15.0,57.0,5000.0,126010.80591790446,194492.3960486309,289085.6108566172,103408.4442954517,139138.56645118768,181752.88897248617,261898.5963049551,239177.6426372449,0.9882067911086104
