,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,91000.0,0.1017543859649122,94.0,18.0,,60508.72939895807,111998.92794121492,194605.90987201664,63476.28754505556,76980.95865967938,129818.32173755874,162488.4758823686,210195.3301808677,0.9665308593221844
1,2018-02-28,120200.0,0.1034482758620689,91.0,22.0,,60978.23549423509,110921.05464693609,195378.6272480264,63793.99106273279,77475.68567042044,130421.75143354973,163208.93564446745,211224.00623254955,0.9698279768439872
2,2018-03-31,110000.0,0.1496598639455782,35.0,26.0,,61315.40025874728,111512.88189213123,196003.578269966,63835.44916366568,77761.18647304075,130769.4044656701,163756.23444939207,212271.58878598097,0.97422958220035
3,2018-04-30,106500.0,0.1580756013745704,40.0,30.0,,61515.07649373134,112577.46446798166,196364.213797798,63745.24772982343,77879.64291871518,130857.38290391651,164044.19875231656,212982.9455660924,0.9740475714253508
4,2018-05-31,112400.0,0.1517857142857142,31.0,29.0,,61780.68378468371,114096.28450029684,196880.4632556261,63815.46237882238,78101.88150674861,131069.90185898384,164399.28751269935,213785.1629754144,0.9776911005264206
5,2018-06-30,98750.0,0.1866295264623955,38.0,33.0,,61876.546741195336,115571.62007077054,197445.0350160412,63805.971694103326,78251.43929197932,131270.36515963124,164755.81848791282,214531.27849388588,0.9811619297570257
6,2018-07-31,133000.0,0.1810344827586207,27.0,28.0,,62184.46756064129,117760.90654758304,198577.6511921154,64050.306565734696,78653.76349154935,131879.07049609392,165605.03263371935,215925.68566381952,0.9770818846594496
7,2018-08-31,110000.0,0.2361702127659574,40.0,23.0,,62491.37579539026,118955.5721783018,199815.5209638488,64204.36012530903,79156.29057288407,132691.86831282976,166671.0795392382,217555.1773556446,0.9765210681922782
8,2018-09-30,141500.0,0.1995614035087719,49.0,17.0,,62787.336527457024,119111.83693863668,200885.4910515043,64252.99415302174,79591.71525348016,133532.83896114267,167731.5904247817,219031.15072113555,0.9717245945722914
9,2018-10-31,120000.0,0.1982570806100217,72.0,17.0,,62889.332760618905,119030.0594294068,201587.1720684476,63960.14986667419,79739.2455980987,134128.9832490215,168514.1681799319,220058.9517813433,0.9749066900875714
10,2018-11-30,130000.0,0.1415313225058004,69.0,17.0,,63199.38360498609,119212.09430319992,202310.56296820423,63930.84044067328,80052.74691549456,134832.89227814777,169362.15460707934,220975.89291475108,0.9736286192143008
11,2018-12-31,137000.0,0.125,77.0,19.0,,63865.63007211642,119566.75772408016,203438.56890737623,64333.66996259934,80767.9720282713,135858.75745697314,170534.42539707277,222313.7246097118,0.9662527055158264
12,2019-01-31,125500.0,0.1229508196721311,76.0,27.0,,64632.31638140109,119230.99913040834,204783.49406471988,64891.94627296517,81649.92739526456,137127.4132978836,171979.2368767971,223726.952978175,0.9619329331940092
13,2019-02-28,123000.0,0.1163434903047091,47.0,35.0,,65249.22386334564,119896.902910076,206471.0882519649,65432.49743223234,82545.9855184782,138626.0426746782,173740.62100128343,225693.8286809889,0.9673226143028222
14,2019-03-31,119000.0,0.1451612903225806,67.0,37.0,,65766.27835144651,121391.54764574092,208249.6896526701,66113.34902038044,83466.00792055312,140100.61197345043,175590.23998434623,227969.8156832448,0.9725924984351464
15,2019-04-30,125000.0,0.1556728232189973,48.0,33.0,,66062.34177251066,122468.98453251076,209683.2694470556,66792.45858438153,84266.79883175022,141263.68083800445,176976.68482808673,229909.1853098854,0.9775259010768592
16,2019-05-31,127000.0,0.1699507389162561,39.0,30.0,,66342.06928929123,124125.5287480268,210528.42293067288,67388.73186865363,84821.70859898716,141917.2892936455,177707.49190433798,230859.58264309983,0.977880044252278
17,2019-06-30,113000.0,0.1783919597989949,48.0,34.0,,66435.2298182761,125677.1689714095,210889.3712245922,67524.25883866042,85018.75939898782,142245.26979974666,177924.83035764066,230891.6972825209,0.9828656257263564
18,2019-07-31,129900.0,0.1773049645390071,32.0,38.0,,66584.57795044384,126912.27797912322,211163.4069816044,67684.98656263186,85200.87166637035,142504.07819936864,178066.3640318189,230923.9889166453,0.977460954863622
19,2019-08-31,139900.0,0.18854415274463,38.0,35.0,,66687.52979267153,127493.15269366016,211393.7857919176,67749.50262834843,85363.46498210952,142705.41498419692,178186.4015346699,231088.76170628853,0.9775232020916134
20,2019-09-30,130000.0,0.2257281553398058,51.0,29.0,,66847.72486939725,127723.13007648896,211708.97928862425,67877.24298807651,85620.34400743552,142966.1644136946,178452.63537183995,231485.59249072385,0.9776094134530656
21,2019-10-31,118750.0,0.2086720867208672,49.0,25.0,,67209.17627115692,128242.17407223124,212462.5848833127,68069.50321529162,86038.04415541932,143559.89827865525,179210.81315446607,232316.2659625255,0.9739844779702768
22,2019-11-30,119950.0,0.1625,73.0,32.0,,67688.59879625119,128137.6091197178,213528.72877592733,68295.03496411041,86592.21667312794,144402.14175487522,180250.8067792172,233482.3448358909,0.968333011823158
23,2019-12-31,115000.0,0.1376811594202898,50.0,40.0,,68152.72031357138,127354.35602649055,214580.31873705745,68517.8758774301,87086.63746937808,145181.68831384968,181254.5066056063,234717.9197067865,0.9700364099863868
24,2020-01-31,125000.0,0.1631944444444444,57.0,50.0,,68396.95463232884,126226.4752809848,215505.4147200087,68936.90833706793,87450.03642976853,145687.11689375364,182022.4364354252,236266.4714174312,0.964472500615664
25,2020-02-29,117250.0,0.1756756756756756,37.0,57.0,,68795.07559851118,126386.08405809876,216487.41269847567,69510.88832975643,87901.59971371327,146307.15603850016,183010.9560564654,237961.18327456884,0.9689864648441014
26,2020-03-31,136000.0,0.1180555555555555,19.0,60.0,,69447.61743980667,127457.309566274,217543.46263644565,70309.86955137378,88535.3075083006,147082.00045116912,184271.05753625013,239854.67954793168,0.9799009678124742
27,2020-04-30,120000.0,0.0977443609022556,39.0,59.0,,70220.32135119324,128690.66747324295,218384.44615956605,70922.88451616712,89248.86268310435,147883.78099064072,185458.43713215785,241092.50312655148,0.9790052168726152
28,2020-05-31,138950.0,0.1136363636363636,20.0,63.0,,70693.63489333859,130636.1185188867,219044.3568254984,71293.4938146324,89738.39805978599,148505.61998567538,186323.2427529307,241864.10812814705,0.9786978485270182
29,2020-06-30,135000.0,0.1351351351351351,14.0,76.0,,70770.68125237666,132101.70450579692,219665.99063310688,71149.1563788086,89952.36630679177,148987.0126168192,186902.475796182,242373.2237177864,0.9899952074762582
30,2020-07-31,145000.0,0.1462450592885375,29.0,82.0,,71101.475997771,134962.70557004033,220955.31637214645,71098.03184692642,90416.67915641646,149967.41574029892,188015.0605356784,243510.56749762423,0.9911062837188144
31,2020-08-31,136000.0,0.1491935483870967,37.0,77.0,,71959.26824261183,137585.11661047474,223038.8676709416,71645.37187548111,91469.52752104522,151444.5749549256,189769.38195329823,245635.6525659891,0.9911889570959092
32,2020-09-30,139900.0,0.1219512195121951,15.0,62.0,,73535.29885883459,139763.6620098881,226116.6553621716,73180.04546903943,93198.87930913515,153582.460348038,192485.8307635422,249120.17013334009,0.9921364133308734
33,2020-10-31,146000.0,0.1522633744855967,17.0,54.0,,75427.63002749199,141997.93855538842,229884.67488297075,75017.99471139038,95147.09434020892,156110.1726844057,195940.24013285225,253778.7279319768,0.9913898848016196
34,2020-11-30,145500.0,0.1567796610169491,28.0,42.0,,77590.34770125053,144082.15278728015,233961.41523141143,77122.81211040226,97325.41523876152,159012.9543861067,199902.83197471136,259020.0688308448,0.9896187810971104
35,2020-12-31,135000.0,0.125,37.0,43.0,,79439.20633925195,144466.41380450074,237741.9476916856,78864.80244987282,99248.09277637048,161732.26419069615,203590.76228471808,264044.5726923985,0.9911565033312416
36,2021-01-31,114900.0,0.1885964912280701,41.0,54.0,,81112.95455829888,144429.74373773992,240763.21673914287,80310.59929874913,100967.85864614994,164037.86978913192,206526.2594471738,268096.44700475485,0.985685511115872
37,2021-02-28,137400.0,0.1142857142857142,19.0,89.0,,82536.23763448051,145000.62461471368,243417.7443190719,81393.45161680078,102419.01328416812,165847.4442258787,208784.0872090676,271567.9781583624,0.9863740062501828
38,2021-03-31,129000.0,0.1021897810218978,10.0,104.0,,84047.01583631405,147297.52252505947,246272.51779706,82613.98991854607,104078.2270535274,167868.8666640788,211138.613202006,274744.518568235,0.991444464603461
39,2021-04-30,139000.0,0.130718954248366,4.0,104.0,,85279.5860823167,150175.5185723098,249744.5059928017,83881.00113591399,105724.47691216848,170114.67116335,213846.5952489491,278124.16322659526,0.9950009327266373
