name,rating_info,review_text
Mary,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","I would definitely stay here again.
close to everything.
plenty of room for us."
Mary,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",The kids loved the play space in the backyard! Total 10 out of 10.
Joyce,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","What a great place for three adults to spend the night while we went to the casino and Amish Flea Market in Clare. It was very clean and comfortable and had all the kitchen necessities to cook dinner and breakfast. Had a great night’s sleep. The backyard is private and…..what a great place for kids with the playhouse, swings and sandbox! If staying in Mt. Pleasant again, I would definitely try to stay here."
Chandra,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Rolondo was so responsive and flexible. He was able to meet our specific needs throughout our stay there. The rooms were comfortable and the piano was an added bonus! We hope to stay again. It was lovely.
Jane,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Rolando was a good communicator. I felt very confident working with him.
Christy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Simple, clean, quiet. We were in town for graduation and it was not too far from campus!"
Bilawal,"Rating, 5 stars
,
·
May 2024
,
·
Group trip","Nice, clean and exactly as described"
Kathleen,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Loved this place. Very clean and spacious. Bonus…the piano!
Josh,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Can’t say enough nice things about the property or the fast responses from the host!! Second time we stayed here and it is spacious and a gorgeous house with everything u need !! We will be back
Sydney,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The host was very flexible and accommodating. This is a great location super close to the casino!
Aaron,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place
Jaret,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Fantastic home on a quiet street. Easy to get to everything - good central location. Great host! Will be back.
Jenni,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",The house was wonderful and super convenient for our event
Lauren,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Super clean, nice place. Definitely would recommend and would stay again! Kids loved the backyard space."
Beate,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Great cozy place. Highly recommend it!
Leland,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Nice quiet spot would definitely recommend
Dennis,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Enjoyable stay
Melanie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Great place! Very convenient, close to everything, very clean and comfortable. Would definitely stay here again!"
Debbie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Needed a place to stay while at a work convention location was great very nice place to stay. Would definitely stay there again.
Patricia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","We loved the house the minute we walked in. Rolando had lights throughout the house on so as not to come into a dark place. We had everything we needed and we were so pleased. When we come to family functions, we will definitely stay again."
Sarah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Clean, comfortable home away from home. Easy access to highway and to town and CMU. I highly recommend for parents doing college visits!"
Jordan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Rolando's house is wonderful and was perfect for our stay in Mount Pleasant
