name,rating_info,review_text
Jessi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Easy checkin
Joseph,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Amanda is great as always. We have stayed at this location a couple times and we have never had an issue.
Margarita,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Very clean , nice place , has everything you could need in the kitchen."
Joseph,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Everything was great. Look forward to future stays
Abigail,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Feels more like an apartment than townhome, but regardless, this place is a great find. I didn't have any issues with noise or neighbors, and Amanda left super clear instructions for getting in/out! Super convenient location to downtown or back out to the highway. Also, Momma Goldberg's Deli is walking distance if you need a quick bite!"
Christi,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week",Nice place! Amanda was very responsive with any questions we had.
Carter,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",No hassle rental at affordable rate
Joeval,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",great quiet place to stay.
Crystal,"Rating, 4 stars
,
·
January 2024
,
·
Stayed with kids",Would definitely stay again. Beautiful and peaceful.
Josh,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",Place was perfect. Amanda’s instructions for check in and check out were clear. Would definitely stay again!
Xavier,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",The place is convenient and quiet. Very nicely decorated and felt right at home. It is clean with a comfortable bed. I’ve stayed there a few times and really liked it.
Mike And Mariana,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",We arrived after 10 pm and found the air mattress punctured so our teenager had an uncomfortable night on the loveseat and chairs. Amanda responded though with a new air mattress for night two. Very thankful.
Xavier,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place. I’ve stayed there a few times and love the location. It is elegantly decorated and clean. Bed is very comfortable.
Xavier,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",The place is perfect and well decorated. The bed is extremely comfortable. Lots of space and feels like home.
Xavier,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Place was exquisitely decorated and very clean. It was easy to get to and instructions were very clear.
I would highly recommend."
Rebecca,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet",Loved staying here during my short stay at Auburn the host was so nice and helpful and callled me when I had any concerns or issues definitely recommend staying at one of her places!
