name,rating_info,review_text
Kaylee,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Dot’s condo was clean and had everything we needed during our stay. The condo was spacious and had plenty of room for 4 people to hang out. The location was nice and central to town.
Ted,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Such a beautiful apartment!
inside it's just amazing. You'll love it
Thanks Dot!"
Kaye,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great little apartment for a short stay in Bismarck. Would definitely stay again on a future trip. Dot was friendly, helpful and a great communicator."
Samuel,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Have stayed here before and really love it! An awesome place for just one person or if you're traveling with others.
Crystal,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Cute place and convenient location. Excellent communication from Dot made for an easy check in and out.
Jennifer,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Nice place to stay. Close to restaurants, shopping and the State Capitol. Very convenient access to I-94."
David,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week","Excellent home, peaceful and plenty of space to stretch out and feel as though you home!! My wife and I enjoyed our stay here and felt Dot was an outstanding host."
Kamaile,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Very easy to find and beautiful inside. Dot was very proactive and gave us great directions so the place was easy enough to find. Super clean and very welcoming. The only minor negative is that you can hear everything because the walls are quite thin. But, again, it is beautiful, well kept and very convenient to everything."
Eric,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",It was a great stay for the weekend!
Zachary,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",It was perfect for our needs! We really appreciate the cleanliness of this place. The host is really kind and responsive to all questions!
Noah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","This was my second time staying with Dot and will be booking again soon. Everything was extremely clean and just like the pictures, Dot is very responsive to questions, and check in could not have been easier. Great updated apartment that will make you feel at home!"
Marianne,"Rating, 4 stars
,
·
January 2024
,
·
Stayed a few nights",Dot was so heloful in getting us settled after our drive and other accommodations fell through. We were very appreciative of her quick response to our needs.
Lacino,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Dot is a great host enjoyed our stay
Anastasia,"Rating, 4 stars
,
·
January 2024
,
·
Stayed over a week","Dot was extremely responsive! Adorable home, super clear access instructions."
Christopher,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Beautiful home very clean n nice
Amani,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Definitely enjoyed my stay!! The place was so clean!!! We had everything we needed and the beds are comfy. I also looooove the decor!
Tori,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night","This was such a cute apartment. It was so clean, aesthetic, and easy to access. Dot was the best host! She was very accommodating and attentive. Will definitely be staying here again."
Amy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Cute place and great location for where we needed to be. Very quiet and comfortable.
Jesse,"Rating, 5 stars
,
·
November 2023
,
·
Stayed about a week",Wonderful place and great hosting very professional.
Sarah,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Quiet, clean and comfortable. I’m happy with my choice to stay here over a hotel for a few nights."
Mary,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Dot's place was amazing! It met our needs perfectly. We'd definitely stay there again!
Kelli,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Would recommend!! Very friendly host, beautifully decorated home! Kid-friendly, easy to check in/check out, very convenient location!"
Joseph,"Rating, 4 stars
,
·
October 2023
,
·
Stayed one night","It was clean, safe and centrally located. It was amazing that anything, and we had a ton of business to take care of, was within 15 mins of the condo"
Debra,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Definitely a gem! Highly recommend Dot’s place. It was squeaky clean and so comfortable, loved the decor too!"
Jan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We had a wonderful stay in this suite. Was very comfortable, clean and quiet. We would definitely stay again next time we return to Bismarck."
Chris,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Cozy place fun and fresh feeling. Host was great and sent good directions. The place was super quiet. Dot was friendly we would stay here again!
Kari,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Perfect for our trip, would definitely book again!"
Jill,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",This is my second time staying and it was just as great as the first time! No issues!
Rebecca,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Comfortable accommodation in a convenient location, walking distance to supermarket, restaurants, BSC Wellness Center. Easy communication with hostess, place is well stocked to meet all basic needs of a traveler."
Andres,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",Had an awesome time at this place and it’s in a great location
Stacey,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Lovely apartment! Decor was so cute and it was very comfortable. Dot was very responsive with any questions I had and super friendly!! There were extra linens, very nice shower and the kitchen had everything you might need for a comfortable stay!"
Noah,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Excellent condo with lots of room and was extremely clean. Host was very responsive and helpful. I will be staying here again in the future next time I'm in Bismarck.
Aimee,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Great place to stay!
Brooke,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","The condo is beautifully decorated! Very clean and inviting! Great communication with host, would stay again."
Sharon,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",It was so nice to have the space. Just like home. We had everything we needed. It was easy to find and close to all the stores and malls we wanted to check out. It was our first time to Bismarck. I felt very comfortable getting around this beautiful city. We would definitely stay here again. Lovely condo. And I will share the listing with my fellow Canadian’s .
Julie,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","Dot was friendly, helpful and responsive! The condo was very clean and had everything one could need. Linens were soft and extras available. It was walkable distance to the Cracker Barrel. This was a definite bonus as we had to leave our aunt with our son one day without a vehicle due to moving our daughter into the university. Our son who runs Crosscountry could access river trail to run another bonus! The condo was bright and a happy place to come home to which was just what I needed. Even the residents in the other condos were friendly and helpful as well. Thank you again for a great stay!"
