name,rating_info,review_text
Oneaka,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",As always a great stay there! I enjoyed myself so much the 1st I repeated my stay again…
Willem,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great place to stay 👌
Trent,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip","The stay here was peaceful, good neighbors and several things to do in this town."
Destini,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Fadwa's home was located a little over halfway on our drive back from vacation. We have a few toddlers and a baby and we wanted to give the kids a break from a long drive. Her home provided a needed break and was very accommodating for their age. She went out of her way to leave us toys and books as well as a pack and play and baby bath. Due to some very minor toilet issues (the tank was filling up slowly and we were worried something was wrong) we were able to meet her in person. She is incredibly sweet and came over immediately to check the toilet. The stay was peaceful and her home was decorated beautifully. We only stayed one night, so I cannot speak for a long duration of time or many local amenities, but we enjoyed it greatly."
William,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",It was a nice and very clean place to stay.
Andrew,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Good home base while visiting family, as described and as photos show. Fadwa was good host, responsive and helpful."
Robin,"Rating, 4 stars
,
·
February 2024
,
·
Stayed a few nights",We enjoyed our stay. Fadwa had everything ready!
Nicole,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Good stay!
Steven,"Rating, 5 stars
,
·
January 2024
,
·
Group trip",Fadwa was so sweet and accommodating. She went out of her way to make sure our stay was pleasant and comfortable. I would highly recommend her properties.
John,"Rating, 5 stars
,
·
December 2023
,
·
Group trip",Brookhaven is my hometown and I needed a place to stay for Christmas. I knew this was a great location close to my childhood home and centrally located. It was a great place to stay - affordable and the accommodations were as advertised. Would recommend to anyone.
Amy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","What a delightful home!
Everything was wonderful, and all of our needs were met!
I would love to stay here again. Next time we're here with our family in Mississippi, we will.
Thanks for the priceless, famous Southern hospitality!"
Brandi,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",This home was nice and clean. It would be nice to have a tv.
Isabel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Adorable place. My guys stayed in there because of work and loved how cozy it way
Oneaka,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights","The stay was great once you got past not having a television to watch 😂 . Only other issue that I had, I was unable to use the internet WiFi, to work the connection was very slow and poor. The funniest part about the stay was the neighborhood kids playing outside, other then that it was very peaceful and quiet. Even was able to sit on the porch, only if the mosquitoes could stop😂."
Laura Leigh,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",We were only here for one night but we enjoyed The Jungalow! Very convenient location so that we could visit family for the weekend!
Jennifer,"Rating, 5 stars
,
·
August 2023
,
·
Stayed over a week",I booked this home for my employees who are out there for work and they all agreed that this home was cozy and way better than a hotel stay. They truly enjoyed their time there and the host was very responsive to me and professional. We loved it so much we went ahead and re-booked! Thank you so much 🫶🏽
Stefanie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Great place will be back
Peggy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",She was the sweetest host I have ever had to deal with. It was four women and we could have used another bathroom but the stay and the host trumped that issue…
Greg,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Great place for our band to crash after our gig. Very comfortable and clean and easy to access!
Anderson,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","This Airbnb served its purpose. The attention to detail throughout was remarkable. There was a special touch within each room and spacious for our group. We were back in town for a family reunion and was in prime location to get everywhere. Fadwa was very helpful and responsive. My nephew complained about there being no TV, but that made it all the better. This special highlight allowed us all to be more engaging with each other and spend quality time together.
There was a lovely patio to soak up the beautiful surrounding and simply relax. I wholeheartedly recommend this AirBNB if you’re in Brookhaven."
June,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","Easy to find, cozy home and convenient to where we needed to be!"
James,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","Nice place, very clean and great space"
Christopher,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",What a perfect spot for visiting Brookhaven. Close to many things and convenient.
Christopher,"Rating, 5 stars
,
·
May 2023
,
·
Group trip",This is a perfect location and pleasant place in the middle of Brookhaven. Very good neighborhood.
Serenity,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",I had a lovely stay!
Brenda,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great overall. Perfect spot to stay and appreciated covered parking for motorcycle.
Tracy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Fadwa was an excellent host! The Nook was exactly as described!
Brianna,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","fadwa is an amazing host! always responsive and helpful, was a great stay as always!"
Melissa,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Was in town working at the mill and this place was close and clean. Good place to lay your head at night and close to restaurants.
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","The Nook is a sweet little place with everything you need. And, Fadwa is an excellently friendly host."
Tyranni,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I loved it. Very quick with response, loved the fact I could sit outside, inside was very clean."
Jenni,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Very small place, but exactly as it looks online. It was clean and perfect for one person. It is a little difficult to find at night, but easy to see during the day. It is in a residential neighborhood, so there are some dogs barking. Overall, I really enjoyed my stay and would stay here again."
Remo,"Rating, 4 stars
,
·
March 2024
,
·
Stayed one night","I really enjoyed staying in The Nook. All in all, I think it's a bit too expensive. But everything works really well and is inventive. There were some dogs barking, but fortunately this didn't happen at night. You did hear the train honking by. But this did give extra cachet."
John,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Just what a solo traveler needs, and nothing more. All the amenities worked well."
Jessica,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great stay! Would be glad to rebook again.
Brianna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",another great stay!
Brianna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","wonderful! really enjoyed my stay, would definitely recommend!"
John,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","The Nook is true to the advertisement; a no frills, single person tiny dwelling that was just right for me. All the appliances and fixtures were new and modern. I had a great time here."
Victoria,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Another wonderful stay at the nook! If you're looking for somewhere simple to stay this is the place!
Ronald,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",such a nice lady
Jennifer,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","The Nook was perfect for what I needed! It was clean, comfortable, and had everything I needed for the night. I highly recommend the Nook, and will definitely stay there again if the opportunity arises."
Shaynia,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Nice.
Sandra,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week",The Nook was the cutest place. Enjoyed my stay
Quincy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Clean, convenient. The basics all there."
Ethel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Fadwa is a great host. She provided a comfortable, clean and peaceful place to stay."
