name,rating_info,review_text
Ronnie,"Rating, 5 stars
,
·
Today
,
·
Stayed one night","Excellent location, and host. Very communicative, and helpful with suggestions"
Scotty,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights",Multiple stays and will definitely stay again.
Zachary,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Ethan was a fantastic host. He described everything well and was available at a moment’s notice if I ever reached out to him
Scotty,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Very responsive host and great place to stay. Will definitely stay again.
Sarunya,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",very cute and charming. perfect for a short little getaway. downtown Clarksville is super cute and has lots of little shops and restaurants. Ethan was great and very easy to get in touch with.
Jordan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","The spot was very well done! The building is very old, but as soon as you get into the room you can't tell at all! The arena was probably 1 minute walking distance, and there were a bunch of restaurants near by. Perfect little spot for a couple trying to get out and spend some alone time together! Ethan was very helpful and very responsive, and made it his goal to make sure we had an amazing time there!"
Glenda,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed one night","Everything about Ethan’s lift was great and well-appointed. Bed was more comfy than expected and linens were crisp & fresh. The shower was a challenge, I couldn’t reach the head and it aimed at the wall. Other than that, perfect description equaled perfect place in this listing."
Alesa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",The CUTEST little get away! I was in town on work and I absolutely adored the place! And it was within my extremely low range per diem! It’s the sweetest touch of Paris and made me want to come straight home and build a loft similar! I have been looking for reasons to travel back to Clarksville just to stay again! 17/10 would recommend.
Mike,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Wonderful experience. Great location. So much to do nearby. Awesome host! Ethan went way above and beyond to make sure that my experience was flawless. What a great place and better host!
Chenoa,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights","We will definitely come back and stay at this same place! It was so clean. Loved that it had everything you needed and walking distance to some great restaurants. Ethan is the best host, stayed on top of everything to make your stay great! Thank you Ethan!"
Tamara,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",I must say this place and stay was amazing. It’s perfectly located within a close driving distance to everything. Definitely love the area great for walking or a commute on a transit bus. And the bonus is there are many great restaurants in walking distance and a very good ice cream shop within a quick 1 minute walk and yes 1 minute walk.
Cecelia,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Cute place!
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Ethan was a gracious host who earned our respect immediately. He over compensated to make our stay perfect! Ethan provided extra amenities that he didn’t have to…and out of kindness…offered extras that we were not entitled to and assisted where he could. We visit Clarksville, TN often and will return to Ethan’s same adorable loft that is well-maintained…clean and in a perfect downtown setting. A quaint city and many shops and restaurants within walking distance. Ethan’s loft apartment offered more than we ever needed! Thumbs way up to a wonderful and giving host! We appreciate Ethan and the great time we had this past weekend!"
John,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights",Ethan was fantastic to work with. The space is small and could use a few more outlets here and there but we enjoyed it.
Courtney,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night","Loved this loft and the location, especially since we were going to an event at F&M Bank Arena. Only a block away!
The only downfall to our stay was the upstairs neighbors decided to start moving furniture or something very loud from 6am until around 9am. 🙃
Other than that we loved this loft and the location!
Thanks Ethan for being a wonderful host!"
Gabriele,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We had a wonderful time and would absolutely recommend. Ethan was very informative and helpful! The place was extremely clean and makes you feel right at home. Location is great and a very short walking distance to several restaurants. We hope to stay again next time we are in the area!
Mary Grace,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Ethan’s place is a great spot to explore downtown Clarksville and the surrounding area. We really enjoyed the historic building and the cute and clean space!
Strickland,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The place is charming . Small and cozy and a very comfortable bed . We enjoyed our stay and the host was 100 great in communicating
Danuelle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Absolutely beautiful and cozy apartment! Smack dabbed in the middle of downtown. So much to do and a great apartment awaited us when we came back from all the attractions. Highly recommend and will be back!
