name,rating_info,review_text
Brooke,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed one night","I absolutely loved my stay here, and might be one of my favorite Airbnb's! The decorations are so great, and everything is thoughtfully placed. very very original artwork and decor, and everything is spotlessly clean. The bed is super comfortable, and the kitchen had all the amenities you needed! looking forward to staying again in the future."
Melissa,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed one night","Stylish with every need thought of at this spot! Stunning art mixed with conveniences such as lots of outlets to charge devices and a well stocked kitchen and bathroom. Easy to access, great communication and safety! Plenty of good restaurants nearby and overall in a great area!"
Jessica,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed one night","We stayed one night but would absolutely stay again! The space perfectly matches the pictures/description. Super Clean. My only ""complaint"" is that the bathroom mirror is high. Would have loved there to be a lower or full length mirror as well."
Lorelei,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night",My husband and I loved our stay!
Sofia,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great communicative host and easy instructions for check in and check out. Downtown cleveland is not the safest however the building had full time security and secured fob entries.
Sydney,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Dani was a great host and very helpful! The space was beautiful and had a great view. We were able to walk to near by stores and restaurants!
Catherine,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Wonderful view, clean place, quiet. Friends and I loved comfy beds! There were extra blankets, pillows and towels. Just was very communicative making check in and check out easy. Would stay here again for another night in Cleveland!"
John,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Nice place close to everything. Very secure and peaceful. Parking is easy and right across the street so I don’t know why anyone had a problem with parking.
Eric,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Dani is great. Always quick response.
Charles,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great space and a great host. Rare to find hosts that actively communicate as much to make sure everything is good. Only negative is the parking garage that’s nearest is not attached, it’s in bad shape, and expensive. The overnight rate for my days was 27/night. Obviously not the hosts fault and simply some of the issues with being downtown in any city.
At the end of the day, I’d stay here again given how convenient the location. Walking distance to ballpark, Cavs arena, many bars and restaurants. All said, great space with a great host!"
Jordyn,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","I loved the apartment! Great atmosphere, view and very clean and modern. Apartment was very clean and we had no issues besides parking which was horrible!!"
Brianna,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Very clean and comfortable loved it definitely enjoyed my stay. Host was excellent and very helpful thank you for having me.
Dominic,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great place!!
Valerie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Soft Comfy beds.
Great place. Great host!"
Arsenii,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","The best apartments in Cleveland, will comeback! The great owner!"
Thomas,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Anthony provided clear instructions to his beautiful apartment. The floor to ceiling windows over looking Lake Michigan were stunning. Perfect place to walk along the river and grab food and drinks. Highly recommend staying with Anthony.
Kyle,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Was very nice would most definitely come here again .
Jomorri,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Very helpful very professional
Quentin,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Excellent location excellent host with an excellent view will be staying again lots of eateries clubs, and bars right next to the river"
Travis,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Very nice place super close to everything in the flats, super clean and an awesome view definitely would recommend!"
Ashley,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",The air bnb was better than expected and matched exactly what was described. Very clean and accurate.
Jeffrey,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",Amazing place. Very responsive and accommodating host. I didn’t realize the parking was nearly 2 blocks away but it was free and I was able to unload at the front door then park my car. Worth every penny that I paid.
