name,rating_info,review_text
Michael,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Beautifully renovated home, clean, peaceful environment. Fenced yard was a treasure for our dog! Very nice coffee setup - but bring your own cream and sugar."
Amber,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Overall a decent place to stay, Thoroughly enjoyed making use of the updated kitchen. Cozy, inviting atmosphere. Private street in a nice neighborhood."
Megan,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","Ryan’s place is absolutely amazing!! As someone who used to live in Bettendorf, it was so nice having a “home away from home” in an area I love. I highly recommend staying at Ryan’s place!! The yard was fabulous for my mini weens and the neighbors were very friendly!"
Cynthia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We enjoyed our stay! Anything and everything we needed was provided. The neighborhood is peaceful and we enjoyed sitting outside on the back deck. We also appreciated the two car garage. The house is roomy, clean, and very comfortable. Highly recommend renting this home from Ryan!"
Juanita,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Ryan's place was a beautiful find! It's in a quiet neighborhood, a short drive from several stores and restaurants. The kitchen and front room view were OUTSTANDING! Ryan provided a bbq grill for our Iowa pork chop craving. The front sidewalk stairs are not handicap accessible. There is a back alley that leads to a large garage that came in handy when loading the car. We will definitely stay there again for our next visit."
Wanees,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week","Place is very peaceful and in a gorgeous neighborhood, close to everything. Everything was clean and there were enough towels, toiletries, and kitchen items. Owner was courteous and friendly."
Nathan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Ryan’s place is a gem in Iowa, beautiful home and town with plenty to do and countless options for food/entertainment, it felt like home and didn’t want to leave, we’ll definitely be back in July!"
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","We had a great stay! Came in for family activities over a long weekend. Ryan was proactive and helped us ensure a pack-n-play was available for the toddler in our group. The house was in a great location and was well-kept. There was one bathroom upstairs and one in the basement, so just note that in case you have multiple couples staying. Would definitely recommend!"
Shannon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","We LOVED Ryan’s place! My friend & I constantly raved about the area (nice, private, beautiful neighborhood) and how cute the house was. It was absolutely perfect for our needs — two gals and two dogs. We had a couple of hiccups with the fence being broken, but Ryan was super responsive and helpful…and we made a little make-shift blockade since the fence couldn’t be fixed while we were there (the fenced yard was really a huge draw for our 2 pups, so we needed it!). Everything was clean and tidy. We had everything we needed. We’d love to come back sometime when the weather is warmer to enjoy the backyard/yard furniture a bit more! But we walked the neighborhood trails a bunch, headed to Moline for a concert one evening, and totally vegged out our last night…and the house accommodated all of those things perfectly. Would definitely recommend!"
Stephanie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",It was a beautiful house. Perfect size for 2 couples or a family with kids. Lots of space and the garage was amazing to not have to worry about street parking. It was a very clean house as well.
