name,rating_info,review_text
A. Mercedes,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","The community is quiet and peaceful as you pull up to a beautiful Airbnb. Check-in was simple and the house was cllean, well decorated, and spacious. It was perfect for our weekend trip. Julie checked in before during and after our trip which was very thoughtful. Shops were just around the corner and it's only 30 mins to Huntsville for more attractions. The kitchen was stocked with everything we needed to cook. Check out instructions were simple. We would definitely come back."
Bailie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",This was a great place- visited for work and will be back!
Rodney,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip","If you’re looking for a place to feel at home then look no further! The house is fantastic! Clean, comfortable, and well appointed. Julie was an excellent host, attentive and responsive to our needs. This was our very best Air BNB experience yet. We will definitely stay here again when we’re back in town."
Leslie,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with kids",Nice and cozy home!
Krista,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",We enjoyed our night here. The house was very clean and quiet!
Todd,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Very nice place. Clean and quite.
Penelope,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",I stayed here for a second time and it was just as lovely as before! Very clean and great location!
Alex,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Clean and cute area
Kayla,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","Seriously loved our stay here. Clean, comfy, great location, amazing host & loved how homey it felt. If we are ever in the area we must def will be staying here."
Anna,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","This is a wonderful house. I love the way it is decorated-so lovely.
It had an everything you need. The kitchen was very well equipped.
It was walking distance to town. We enjoyed the coffee shop there most morning.
The beds were very comfortable.
I would highly recommend this place."
Pam,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Had a great long weekend in Hartselle. What a cute town to walk to from the house. The house was the perfect size for my husband and I (and our two dogs). Nicely decorated and very clean.
Kristin,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This place was great! I would definitely stay here again.
Greg,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Had a wonderful weekend stay. Beautiful home very comfortable. Will definitly stay here again. Thank you Mandy for hosting.
Bobby N Brandi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Awesome little place to put out of town guests. Cute, comfortable, and very clean. Also has an awesome host."
Tristan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Booked this for my family that was in town. It was a great place, Mandy was ready at a moments notice. Will put family up here again."
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Absolutely fell in love with this place! So adorable, comfortable, and the host is fantastic. Can't wait to stay here again!"
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Our second time staying here was as great as the first! Lovely home in a very cool town. Lots of neat little shops around as well. Beautiful decor and it’s so clean!
Brian,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",A nice place to stay. Very clean. Beds were comfortable. Safe and private location. Definitely stay there again in the future when in the area!
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Mandy has a very nice house and it was perfect for our one night stay. Everything was very clean and described perfectly. We appreciated being able to bring our dog on her first vacation.
Jessica,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",This place was so clean! We loved the modern vibes the house has. Beds were comfortable and the kitchen had everything we needed. Would stay again!
Jared,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thanks for another great stay!
Mike & Emily,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Stayed here for one night while moving from Florida to Michigan. Home is exactly as described. Very cute, clean, and suited our needs!"
Jared,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great place! Clean, neat and well kept! I will be staying again!"
Stephen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Beautiful inside. Beds were comfortable.
Nice backyard for walking the dogs.
Loved the coffee bar/area . Area was very quiet."
Marlon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","I loved the location, and very neat place. I would definetely stay again if i am around the area!"
DeeAnn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This little house is very clean and up to date. Mandy is a great host.
Shelby,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Great, quiet place. Easy to get to local places."
Hanna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Couldn’t have asked for better! When we showed up the house was spotless and had every necessity. Very convenient location. Mandy was very responsive with any questions I had. I will definitely be booking again :)
Rich,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Local to plenty of options yet far enough away to be quiet. Clean, nice setup, and comfortable space."
Chris,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",very nice place very nice !! well worth the stay will be back in a few weeks hopefully it's ava
Bobby N Brandi,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great little house. You could walk to the quaint little downtown area of Hartselle.
Asreale,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",It was super clean and I felt like I was at home. I would love to book it again in the future
Shelby,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","I really enjoyed my stay! Cute little place and was very clean. Mandy answered a few questions I had, before I booked, very quickly and efficiently and she was on her game wishing me safe travels and providing me the entry code before check in so I didn't have to wait for a response. My best friend and I had a very peaceful and pleasant girls night out and the house was sufficiently furnished with extra throw blankets and all kitchen supplies needed to make our own dinner instead of having to go out. I would definitely recommend this house and host and will possibly be booking again in the future!"
Debra,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","We stayed when our son’s wedding was in Somerville. House was clean & convenient, just what we needed!"
Sandy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","This house is very nice. It is well decorated, not overstuffed with furniture so it had a very nice spacious feel. It is very clean and well appointed. Everything you might need is available. We only stayed one night, but would definitely stay again. Hartselle appeared to be a really nice town and we're sorry we weren't there long enough to explore."
Cynhyde,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Mandy's property is super charming, and it was perfect for what I was looking for in a stay. She did a great job of decorating, providing all the essentials (plus more....), and creating a cozy home for road warriors, like me! The bed was comfortable, had plenty of streaming options, and was close to downtown Hartselle, which is a gem. I would recommend Mandy's place to anyone looking for a great stay."
Joseph,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",Had an awesome stay! 5/5 ⭐️. Would love to stay here again!
Paula,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great clean place!
Curtis,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",Very lovely home
Krysta,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",We enjoyed our stay! Loved that it was close to downtown.
Patty,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","Super sweet spot - close to downtown, on a very quiet street. House was very basic, easy to keep up with kid toys, etc., comfortable beds, great kitchen."
LuWanda Lavender,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Great place to stay in Hartselle! Close to everything.
Travis,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Mandy's place is so very welcoming. This was our second stay here and it was well worth it. Location, the cleanliness and accomodations are the reason why we return."
