name,rating_info,review_text
Guadalupe,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","We had an amazing weekend experience here, we were in town for a wedding and we felt very relaxed in the middle of the wedding rush. Coming to the house each evenings after the events to relax in a beautiful decluttered home was the best!"
Ashley,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",This is our second time staying at Kaylie’s beautiful home. It is always so clean and smells amazing. Beds are cozy and you feel right at home. We truly appreciate Kaylie letting us stay again.
Leland,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",it was great and really nice place to relax. ther was some hair in the tubs and towels. Overall it was a really nice location with a outside patio. it has a really nice carport.
Stefanie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","This house could not have been more perfect for us. My kids and I adored it. Such a welcoming, clean, open, fun space."
Andrew,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Beautiful home with great amenities! Spacious with a very comfortable bed!
Stephanie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Great stay, highly recommend!"
Twila,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",We had a wonderful stay at Kaylies place! It was very inviting and very well stocked! Kaylie was a very responsive host. We would love to stay there again!!
Bobby,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Super comfortable and clean house - we felt right at home . Close to restaurants and only about 12 minutes from Fairview . Would definitely stay again . Kaylie is responsive to messages and flexible she’s a great host
Ashley,"Rating, 5 stars
,
·
December 2022
,
·
Stayed with kids",We had a wonderful stay at Kaylie’s house. The home was very clean and very spacious. The master bed was very comfy and the master bathroom absolutely stunning. We highly recommend Kaylie’s home. She was very helpful and responsive.
Stephen,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights",Stayed here for a week and I loved it. Felt like home. The house was amazing and super nice. Zero complaints.
Paige,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with kids","If we are ever in the area again we would stay here! Perfect pit stop for us, we have two kids and they loved running around the huge back yard, the kitchen and living room were nice and open so we could all hang out together. We ended up getting to the house very late and they were great about communication. Highly recommend!"
Marlin,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with kids",We were impressed with everything about our stay! The pictures don’t do justice to how nice the property is… also we got there late but they had a nicely lit car port that made us feel right at home!!! Definitely recommend
Michelle,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with kids",Perfect getaway!
Christina,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet","The home was cozy and welcoming for us as well as our dog, Big Boy. David made us feel like we were visiting an old friend 🧡. The home was immaculate, organized and had all the comforts any traveler would want and more. We will happily recommend this place to other Dublin travelers!"
Afeefa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","We feel so grateful to have found what felt like a sanctuary in the trees. The hosts are lovely people, and their guesthouse is pristine. Everything was beyond what was described. We cannot recommend enough."
Kimberly,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",David's place was truly amazing! His property is like the real life version of a character's cottage in a book. We were visiting family in Dublin and our stay here added to the great weekend.!! I just wish we could've stayed longer. If you are traveling and need a place to stay in the area I'd highly recommend staying here. I wish I could've stayed and had more time to stay and chat with David. Truly exceptional!!!
Paul,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",It was very peaceful. Great surroundings. The house was very clean and I had a great rest. I will definitely be back for three weekends.
Leah,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","David was an awesome host. The guest house was exactly as described, if not better."
James,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","The reason I choose David's place is because it was off the beaten path but don't let that fool anyone, it is a diamond in rural GA. Very nice decor, comfy bed and quiet. It has all you need to cook and enjoy yourself away from the city/town. We even showed up two hours earlier than expected but that was fine. You can only image how difficult it is to travel on Mother's Day and if I had known how well appointed it was, I would have gone to the store and cooked my wife dinner. But Longhorn was only 16 min away and they cooked a great dinner and we took it to our place and ate there. No cheap paper plates here. Like I said earlier, had all of the necessities. I would gladly stay here again! Thanks David."
Amanda,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",This beautiful apartment was perfect! The surroundings were breathtaking & the home was beautiful. David was incredibly kind and friendly. We had everything we needed for a quick weekend stay. We will definitely stay again! Highly recommend!!
