name,rating_info,review_text
Karina,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed with a pet","We absolutely loved our stay here! Kati was a wonderful host, very kind and responsive. Our trip had some last minute changes and she was flexible and understanding in our check in/out times - we appreciated it so much!
The airbnb itself was so sweet and cozy, us and our dog loved the peaceful, quiet property and watching the chickens and deer! Definitely coming back to this lovely spot next time I'm in town :)"
Jamie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Kati was wonderful and it was the perfect stay for me and my fur baby on our way to Santa Fe.
Martin,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed one night",Thoroughly enjoyed our first experience of glamping! The Flower Hut was charming and quirky and it was lovely to see three elk resting in the garden on our arrival and to be woken by the sound of the cock crowing.
Margaret,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Kati is very sweet. The place was peaceful and quiet.
Isaiah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Beautiful location
Dalila,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",This place is so adorable. It was great. It was clean and just perfect for someone on a budget. This was our first Airbnb and Kati made it a great experience. We had trouble with hot water for the shower and she immediately came to help us out. The hut doesn’t have ac but it has plenty of windows for air circulation and she even gave us a fan to use. We also got to see two does which was nice. The wifi was great and the portable bathroom was clean as well. Only cons are the outside shower could use a bit more privacy since it felt like the neighbors could see you. Also the little wall way was bit narrow. Sink inside the hut only had cold water.The parking spot she originally wanted us to park was to narrow for rav4. Even with this conns they felt like you could work around it. Kati really did make our stay great and honestly would love to come back. Plus the bed was amazing to sleep in. Kati is also extremely responsive and did an amazing job accommodating us! Definitely recommend it.
Jordan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Clean and unique
Paul,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This was a great airbnb! I had to go to Durango, Colorado for a 2 day work trip & this was the perfect place for me to stay. Kati is very kind, helpful, & responsive. The flower hut was very cute & perfect for a lonely traveler like myself. Would definitely stay here again if work brings me back to the area."
Virginia,"Rating, 3 stars
,
·
July 2023
,
·
Stayed one night","If you want to be away from the hustle & bustle from busy, hectic life...then Kati's place is ideal. Living on a farm myself, I felt right at home with her friendly chickens, and beautiful calm quiet surroundings.
advice: when you pull up, your beautifully decorated, lovely art work filled private little hide-away is located FRONT OF the PROPERTY, to the LEFT. Not the building or house right up front or the home in the far back. Just stay L- not hard to find. Thanks Kati for the clean porta-potty!
note: folks, if your wanting hotel-style extras, close to shopping & restaurants, look elsewhere. But if you crave-peace, nature, back to basics...then I HIGHLY RECOMMEND THIS HIDDEN LIL GEM‼️"
Raviteja,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Very cozy relaxing space to stay in. Great value for money.
Levi,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Great spot!
David,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Wonderful place to stay. Very peaceful, relaxed and close to Durango. I will stay again next time I'm in the area. Love the outdoor shower."
Kathleen,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Katie was quickly responsive and thoughtful. The room was just as described. Nice selection of coffee and teas.
The outside shower is fun and kind of edgy, early in the morning. The chickens are entertaining. The rooster is noisy like all roosters. That is his job. And I grew up on a farm, so it didn’t bother me!"
Teresa,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Be prepared for the porta-loo, and know that the outdoor shower requires a little ingenuity, and is not for the highly modest. The room is charming and comfortable, and we enjoyed being wakened by the rooster. This truly is glamping, and so much more fun than a generic room somewhere."
Amanda,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Great stay! Cute place and the chickens are lovely to wake up to!
Cheyenne,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",kati was a wonderful host. the chickens were a nice change from my city life and just awesome to hang out with. an amazing glamping experience for sure! the moon was full so it was hard to stargaze but it was truly beautiful being in the countryside like that! everything was a short drive away.
Jeryl,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Super cute!
Divya,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Kati’s place was beautifully done! It was a fantastic glamping experience - nice and comfortable. She was communicative and friendly.
Claire,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Great communicator and very accommodating. Cute and cozy 1 bedroom.
Nick,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","Super cozy, there are a ton of friendly chickens in the yard as well!"
Will,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",super cute place super comfortable very much enjoyed our stay Katie is great!
Courtney,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Kati was awesome! We ended up arriving with soaked clothing from Red Rocks the night before. She was gracious enough to allow us to use her washer & dryer so we were able to travel on with clean clothes. Thanks Kati & Rupert!
Hayley,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","The flower hut is a place I will definitely be returning to if I am ever in the area again. The small space is cozy and very welcoming. The host, Kati, is also very sweet, responsive and proactive. I highly recommend!!"
Lee,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Place was perfect for a quick stay and close enough to Durango city.
Tyler,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Awesome place highly recommend!
Lynne M.,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","Cute getaway, would definitely recommend for warmer summer months. If you go in winter/fall/early spring be sure to bring extra blankets!"
Katherine,"Rating, 5 stars
,
·
September 2022
,
·
Stayed about a week",great little place was quite and cute...loved taking a shower outside...stayed for a week price was very reasonable...we enjoyed our honeymoon there...she even put chocolate covered strawberries a bottle of sparkling cider and a bouquet of roses for our celebration on her...thank you
Elijah,"Rating, 5 stars
,
·
September 2022
,
·
Stayed one night","A cute stay close to Durango. We had a great night and nice morning. Clean, nice inviting, and just the essentials. Would recommend for ""glamping"" near Durango"
Miles,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights",the stay was great!
Katelynn,"Rating, 5 stars
,
·
September 2022
,
·
Stayed one night",We had such a wonderful stay at Kati’s! Such a cute little home filled so much love and art. Perfect for our stop on the way to Santa Fe :)
Jack,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night","This was such a cozy and comfortable stay! Wish i could have stayed longer and will definitely be back! And Kati is a super wonderful host , as well!"
Melissa,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",Beautiful little getaway conveniently located
Alexandra,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",Very nice and quiet place. The hut was lovely decorated and the outdoor restroom was very clean (which is an important point). We appreciate our stay.
Kris,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",Very relaxing; great grounds and outdoor shower! Excellent value for the money and thank you for accomodating last minute!
Susanna,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",A perfect nights rest. Thoughtful touches and delightful atmosphere.
Terri M,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",Perfect little spot for a weekend in Durango. Cute and comfy.
Rachel,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",Such a perfect little space! Perfect for a couple getaway. It has everything you need for a simple night away.
Jaimie,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night","what can i say? charming? delightful? thoughtfully appointed? cozy? i adored staying in this sweet, sweet spot!!!"
Ellie,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night","super cute cabin, very cozy and easy to find!"
Caity,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",This place was so cozy and comfortable. Will definitely stay here again!
Sarah,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",Great stay. Very friendly and communicative. Would recommend and stay again!
Courtney,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Lovely place to stay! Unique and comfy, great outdoor space and privacy. We went into town and back with no issues and hosts family was gracious as ever. Would recommend!"
Bobby,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night",Great find! Cozy little spot just outside of Durango. Would stay here again.
Justine,"Rating, 5 stars
,
·
August 2022
,
·
Stayed one night","Wonderful! Cute little hippy place, exactly as the description says it is. Wish I could have stayed longer!"
Cynthia,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night","Kati is a great host - once you book her place you will know why she’s a super star. I did not have the pleasure to meet her in person unfortunately, but I definitely enjoyed the stay and hope to stay again. The place is exactly as described. Funky and cozy. Comforter is so soft and she even left tea and goodies for the guests - so sweet! One thing I would like to note is that you do have to walk through a dirt path to the flower hub and the port-a potty is a bit of a walk too. Not a big deal unless it’s raining - just something to keep in mind."
Genevieve,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",A great stay in Durango! Definitely suggest to anyone
Leena,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",Everything was great! Wonderful location just outside of town. Kati had great recommendations and was easy to get in touch with. Definitely would stay again if I'm in the area.
Joanne,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night",It was perfect for what we needed - a good night sleep before our camping trip.
Thaddeus,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night",Adorable place. I look forward to a return visit.
MacKenzie,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights","The Flower Hut was perfect for our needs while visiting Durango, and everything was exactly as described in the listing. Definitely recommend for those looking for a low-maintenance stay!"
Lydia,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids",This was a nice and cosy stay. You are right behind the main house but it feels private and comfortable .
Todd,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night","It was a good location, country setting but close to town. Very quiet & peaceful, clean, it has what you need if you're not too picky as you do have to use a porta potty & shower outside but the path is lit to the porta potty & the shower is on back side of house & has curtains up for privacy it gets the job done for the price."
Ben,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night",Nice quiet place to stay outside Durango with everything you need. Would stay again.
Ann,"Rating, 5 stars
,
·
July 2022
,
·
Stayed one night","This is a cute place, very accurate pictures. The bathroom is about 50 yards or less from the bunch house but it’s well lit. The hospitality was superior."
Alice,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights",Excellent! Highly recommend staying here.
Danielle,"Rating, 5 stars
,
·
June 2022
,
·
Stayed one night","We had a great stay! The studio was really cute, homey and clean. A quiet place out of the business of town, but still close to Durango to enjoy eveything nearby."
Brian,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Lovely apartment with comfortable beds and lots of space. Only negative for us is that there is a separate rental above, and it was very easy to hear and hard to sleep through."
Katie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",Very cute! Private- perfect spot if you want to be on the north end of town.
Jennifer,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",we enjoyed our stay great location to what we were trying to get to Megan was helpful and responsive when needed. I recommend and wel be staying again.
Hanna,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights","Meghan's place was awesome!! A quick and easy drive to downtown Durango, this spot provided just the right amount of seclusion from the bustle of town. A wonderful studio layout with such comfy furniture that was perfect for crashing after a long day. Would highly recommend!"
Jason,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","Meghan’s basement apartment had all of the essentials and firm yet comfortable beds. If you’re looking for a no fuss, easy to access place to stay on a road trip, I would recommend giving it a try. Everything was clean and as described."
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Location was perfect and the sauna a plus!
Nick,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Great location and easy to walk everywhere with plenty of great food around!
Eric,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",Amazing location and property. Perfect spot to enjoy Durango.
Greg,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",We only stayed one night but very comfortable and beautiful place
Engracia,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",This house was perfect for my family of four. There was plenty of space to spread out. The kitchen was fantastic and we enjoyed comfy living room at the end of the day to watch a movie on the smart tv. The location was the best part. Just steps from the Main Street of downtown but far enough to be quiet at night. We were there for a long weekend and always found free parking in the lot across the street. Would definitely stay here again the next time we’re in Durango!
Carrie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","We had a fantastic stay. The home was beautiful, beds were very comfortable and the location was phenomenal."
