name,rating_info,review_text
Miceala,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed with a pet",Kristie went above and beyond- we only stayed for one night and wish we could have spent more time here. Down to every little detail she made the home feel so cozy and welcoming. When we come back to eureka this will always be where we go.
Christine,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","The house is very cozy with a truly livable feel. it is a perfect balance of historic old house with modern amenities with fun art everywhere.
Before visiting I wasn’t keen on the shower/bathtub setup but the shower was fabulous and if you like a deep
Bath you’ll certainly love the tub.
The recommendations for things to do in Eureka made me wish we were staying longer!"
Xiaojia,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","What a gem! Kristie’s place is exactly as described and I would say, even better than the pictures. Very roomy. Everything is spotless clean and fully of arts!"
Monica,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","My husband and I along with our 2 dogs stayed for a few nights during my husband's 50th birthday road trip. The house had anything you could wish for! My husband loved making himself some coffee and he spent a lot of time on the back deck. In the evenings, I generally sat inside and worked on my cross stitches. The neighborhood is quiet with some older run down houses but we enjoyed walking around and taking note of the kept up houses and the architecture they provide. The house is across the street from a community center but the entrance is on the opposite street so you dont get that activity. We would definitely stay again!"
Maddy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Kristie’s home has by far been the best bnb I’ve ever stayed at! She was not only incredibly kind and responsive, her home is so cute! It’s not just a bnb! It’s curated, thoughtful and clean!
We were there to run a marathon and there was nothing better than coming home to this beautiful space.
Thank you and hope to stay again next year!!!"
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Loved our stay! Felt right at home here 😁 Would love to stay again
Marissa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Lovely home stocked with everything! It was a great size and I loved the back deck. The space was clean and nice. Great shower pressure and cool light switches
Joshua,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Cute little house. Perfect check in and check out.
Lorin,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",What an adorable place! Lots of attention to detail. We had everything we needed here. Great rest stop on our multi state trip and our dog liked it too!
Candace,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",This rental is clean and had everything we needed. The home has so many great touches. We enjoyed our short stay!
Brianna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Kristie's place was just what we needed. Very clean and comfortable, beautiful and spacious. We loved our stay!"
Adrienne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Kristie's place was more than we
had hoped for! She even let us know the house was available for early check-in. Once there, we felt welcomed and at home. The amenities were all as stated in the description, but the kitchen amenities were above and beyond. The bed and pillows were super comfy. We loved the bathroom (the shower in the clawfoot tub rocks)!
I think the best word describing the home is ""charming"". It was the perfect getaway for my husband and I. We even drove out to Ferndale, had a wonderful lunch, and enjoyed a walk through town enjoying the shops and architecture.
We both agree it was the nicest place we've had the pleasure to stay at! I am in Eureka a few times a year and hope to be able to stay at Kristie's again."
