name,rating_info,review_text
Lena,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed over a week",Not bad not bad
Michael,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",Excellent home away from home. So quiet and peaceful and about a 5 min drive to all the stores/restaurants you will need. Highly recommend this home.
Lawrence,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Felt right at home as soon as we entered. Everything was as described. Full instructions for all appliances and electronics. Also great information about things to do in the at. Will definitely stay here again when back in the area.
Kathy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We loved our stay here. The recliner loveseat was very comfortable. The kitchen was nicely furnished. The bed was comfortable. It met our needs well. We look forward to staying here again.
Phil,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Bonnie's place was perfect! Quaint, and exactly as described, as well as comfortable and amenity full. I was particularly impressed with the TV in the bedroom that I actually used as an additional computer monitor while I was there. Excellent space for anyone coming to the area!"
Driston,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great stay
Sherri,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Bonnie is very thoughtful about setting up the place, providing the right amenities and keeping the apartment clean and uncluttered. It was the perfect place to spend the night before hunting for the best location to watch the eclipse."
Tristan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great bang for your buck!
Danille,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",amazing helped us through a tough situation and was there for everything that was needed
Megan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Elliott was responsive and the house was perfect for our needs. Access to the house was super easy and it was located close to the highway for a quick commute to our destination.
Ken,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great host. very clean accomodations.
Liz,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","This was the perfect home for our quick girls trip. The house is so cute, the beds were comfy and the couch was great for relaxing. A quick drive to downtown. I would stay here again. Elliot was quick to respond to any questions and was helpful with local recommendations."
Laura,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","House was nice, just as described and looked like photos.
Kitchen well equipped.
Listing does say pets allowed, but sign in kitchen listing house rules states NO pets. Very confusing not to mention if you booked thinking you’re bringing Fido then get there and see sign, what do you do?"
Adam,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week","Clean, comfortable, quiet area and close to restaurants and other activities."
Kenneth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place to stay, it worked perfectly for what we needed!!"
Darcy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We really enjoyed our stay! Thank you!
Maeve,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",It was a very nice stay with easy check in and good location.
Steve,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Very clean home, accurate description."
Nathan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Quiet and exactly what we needed while we were in town. The host was very responsive.
Kim,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Thank you for providing a quaint & relaxing place to stay while visiting family. There’s lots to eat nearby and plenty of room to stretch out and lounge at the house.
Tanya,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Such a nice a cozy place to have family for dinner while we were in town definitely will stay again
Libby,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great hosts that respond to messages fast. Very accomodating.
Stephanie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Great for a quick getaway. Very clean and cozy. Elliott was very helpful and responsive. We would love to stay here again!
Beth,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",My daughter and I stayed here for an overnight work trip. It was perfect!
Clara,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great place to stay for a quick trip!
Henry,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",The house was in a lovely neighborhood. The surroundings were peaceful. We enjoyed our stay and hope to stay in this location again soon. Thank you for being great hosts!
Alan,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Gracious host... worked with us to split stays at 2 locations.
Walter,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",I great comfortable space. Nice and quiet and the couch was so comfortable
Amanda,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Very nice! Perfect for our needs.
Korey,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",A really nice place to stay at!
Troy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Was in town for a local swim tournament. The stay was better than a hotel. Look forward to staying again next year
Ruthie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","I love this house! I come the Findlay at least once or twice a year, and this is definitely one of the better places I’ve stayed. It’s a very nice, clean and cozy old house. I felt right at home and the neighbor hood felt stay and tucked out of the way. I was competing at the college in an equestrian event, it was less than 10 mins away from everywhere I needed to be, restaurants included."
Braydon,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",The home was lovely and very home feeling!
Chris,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Great weekend spot, was exact what we needed."
Jeffery,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Enjoyed our visit. So much so we extended our stay. Thanks
Eduardo J,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Everything was great
Kaleigh,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",The house was cozy. Very welcoming atmosphere!
Scott,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","A very nice quiet location just south of downtown Findlay. The place was perfectly clean and well maintained. He's a fantastic host who took care of the one very minor issue that was beyond his control and fixed it super promptly. The kitchen is very well equipped.
I'd recommend this place without hesitation!"
Savannah,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",This place was great - the host let us check in a bit early to get ready for a wedding. Location is close (walkable) to the cute Main St drag - highly recommend!
Sarah,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Great hosts and great find!
Mackenzie,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great stay!
Michele,"Rating, 5 stars
,
·
September 2023
,
·
Stayed over a week",It was a home away from home for an extended stay to help with my grandchildren after my daughter's surgery. I would highly recommend!
Philip,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week",Nice place to stay in Findlay. Super responsive and helpful host
Sharon,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Definitely a super host place! Elliott was very helpful and we loved the place and the area! Would definitely stay here again!!
Michael,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",I would definitely recommend if your staying in Findlay and this is available grab it beautiful home and the host is very responsive.
Joshua,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","This was a wonderful home. I would love to stay here again for more than one night. Next summer we might stay here two nights as we found out that there is a very nice neighborhood grassy lawn/park out in front of the house where our daughter would love to play.
The rooms and beds were great."
Maurice,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Would not hesitate to stay here again when I am back in the area. Great host, very responsive and communicates with you.
Quiet neighborhood and nice setting."
Trevor,"Rating, 4 stars
,
·
July 2023
,
·
Stayed a few nights",👍
Anna,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","We had a great stay!! Elliott was very responsive to questions and needs. The location is great! The house is on a cute, quiet street and an easy drive to UF campus as well as walkable to restaurants and shops. Thanks for a great trip!"
Kelly,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",As always Douglas Place is a wonderful place for us to hang our hats for a few nights! Love staying I the same place when we travel to Findlay!
Debbie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Adorable little home! Would stay again for sure. Thanks
Olivia,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",We’ve stayed here a few times and it’s always a great stay!
Logan,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Great spot. Would definitely stay there again
Mandi,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",cute house in an even cuter neighborhood that is close to downtown and shopping. we would definitely stay here again if in the area. Elliott is very responsive!
