name,rating_info,review_text
Stacie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Everything was very nice. The home is clean and the beds we’re comfortable. The host reached out prior to our arrival and wanted to ensure that we would have adequate parking for our truck and trailer. We will definitely recommend this home to others and be back if we are in need of a place to stay while playing at the Beaver Dunes!
Lindsay,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet","Despite having to come to town for a funeral, the house/stay was great! The co-host was great at communicating, and checked in to ensure everything was as it should be. The place looks exactly like the pictures. It was very inviting, and felt like home! This was definitely a great find in such a small town! Will definitely stay here again when back visiting family!"
Dale,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Great stay. comfy bed, great water pressure. Exactly what we needed for a night away. Loved how much was within walking distance and felt safe in the neighborhood. had everything we needed!"
Matthew,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Was a great little house! We just stayed one night but it was clean, and easy to get in. The host was super helpful and responsive!"
Donna,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","The house was very clean and nice, and Drew was very responsive. It was so nice to have a comfortable place to stay and relax rather than a hotel. We will definitely stay again when in town!"
The Tarvers,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with a pet",We had the most wonderful experience! The home was beautiful and so welcoming while Craig and his wife were the most amazing hosts. Anything we needed or had issues with they were immediately responsive and happy to help. I would definitely book here every time we come out. Thank you so much for you kindness love and hospitality.
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",It was a great stay! So nice to have this place so close to the dunes! We can’t wait to visit again :)
George,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Cozy!
Clean!
Comfortable!"
Kimberly,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","The home was easy to find. Craig was extremely proactive to ensure we had groceries and food since everything closes early. It was so kind to reach out and have concern for us. Home was easy to find, and looks just like the pictures. Kitchen was nice sized, everything was spotless, TV worked great and bed was comfy. We’d definitely stay again. It was nice to be able to bring our doggo."
Steven,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Drew was extremely helpful and responsive right from the get go. He sent me instructions on how to find the place immediately, and after reading them, it was super easy to find. Nicer place to stay, good communication!"
Paloma,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","A small, beautiful and homey place. Everything is according to the description, we had a pleasant stay 🙂"
Levi,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Very nice place to stay, especially for the price!"
Stefanie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","Really big place with lots of space and a nice big kitchen and living room area as well as a gigantic walk-in closet in the master bedroom. We were only there for a quick overnight stop, so it was much more than we needed, but still very nice. If you're in Beaver, this is a great place to stay."
Diana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","My family of 4 stayed at Drew's place for my father's funeral. The house was simply adorable. The beds were so comfy, and there was more space than we expected. The entire house was very clean, and they had everything we needed. The host was very friendly and showed real concern when I was unable to get into my Airbnb account to respond to his messages. My father had been missing for some time, so the town was aware of his passing. The host was so kind and thoughtful to leave a single rose on the kitchen counter in my father's memory. I will definitely stay at Drew's place again when we return to Beaver to visit in the future. Thank you for everything."
Jonattan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Great place for families. Thanks for hosting us.
Molly,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","This was a lovely stay to take a break from the hustle and bustle traveling of the holidays. Plenty of amenities to feel at home with our dogs. Drew was welcoming with our same day booking, very responsive to communications, offered local tips, and friendly. The decor in this place was well thought out and made the place cozy - it’s obvious they take care of the property and are thoughtful. Beds were super comfortable and the grill was a fantastic surprise. Would definitely stay again if we come back through the area. Thanks so much - it was the holiday we needed!!!"
Micah,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Really nice people easy to work with will stay here every time
Deana,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",There's not a lot of options in Beaver so I'm so glad we found this. Perfect for our little family. Clean. Easy check-in. We didn't have any issues but the host did check in (thru messaging app) to see if we needed anything. Will be staying again
Micah,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Place it nice clean and well kept
Definitely worth the price would stay again
One thing to know if you have a large vehicle it is kinda tight to get in an out"
Gary,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",This was my second stay and the place is consistently very clean and stocked with all the necessities. The host always checks in with me and makes certain everything is ok. Love this place and hope it’s available for my next trip!
Kyle,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place to stay. Clean and comfortable!
Anna,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Drew’s place was so cozy and comfortable. The children enjoyed playing in the yard and we felt right at home! 😊
Christian,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","very nice, quite home. highly recommend"
Todd,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Place was clean great communication
Tyler,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Clean and cozy place!
Terri,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights","Nice and clean. Bed was comfortable. Wifi and TV good. washer, dryer, dishwasher, cofee pot and fridge available. Place is a little small but fit two of us fine. Parking was a little tight for bigger pickup. Overall nice place to stay. Only negative was I felt the final price was a little overpriced for the location in such a small town once the fees and taxes were added. Would recommend as a good clean place to stay though."
Russell,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay in Beaver.
Daniel,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Everything went perfect. Very comfortable beds and just felt like home.
Bradley,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This place is always clean, comfortable, and very peaceful. Always look forward to the stay here."
Catharina,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",A really well equipped and clean house. We really enjoyed our stay!!
Brian,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","For our quick stop over, Drew’s place was perfect. Comfortable beds and private carport was great. Definitely recommend staying here if in the Beaver area"
Tawni,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","This was a nice, clean, and great place to stay! I would recommend staying if you are in or near the area. The place had the essential items for the stay. We will stay here again if we are back in the area!! Good communication as well!"
Donald,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Drew made the process so quick and easy. What an amazing place he has created that makes his guest feel right at home! I will return knowing my trip will be hassle free, clean, and safe."
Hayley,"Rating, 4 stars
,
·
July 2023
,
·
Stayed with a pet",Uncle Drewa place was perfect! it was clean and spacious just like he described. We arrived very late due to a broken down vehicle and we had a little trouble finding the place but he respondedright away a d gave us the help we needed. The only thing i was disappointed in was that there no toiletries in the bathroom. No body wash/soap or shampoos so make sure to bring your own. But I would stay again!
Rory,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Very good
Edye,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet",Awesome find in the middle of nowhere! Cozy beds and beautifully decorated!! Drew was great!!!!
David,"Rating, 5 stars
,
·
May 2023
,
·
Stayed over a week",Great quiet place clean neat simple yet welcoming decor dishes pots pans provided. Great stay was disappointed I had to leave.
Alexander,"Rating, 5 stars
,
·
March 2023
,
·
Stayed over a week",Staying at Drews Airbnb was amazing. My coworker and I felt at home while traveling out of state for work. Definitely recommend and hope it’s open for anytime I’m around Beaver County again whether for work or vacation. Thanks again for having us!
Jamika,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Enjoyed our stay, wish it was under different circumstances, but was a nice peaceful place to relax after the funeral. Was nice and clean and able to enjoy our time with family. It was also nice to see Beaver again and everyone there :)"
Roya,"Rating, 5 stars
,
·
February 2023
,
·
Stayed with a pet",Very nice and spacious place. I was very comfortable during my stay. The bed was soft and the linens and towels smelled fresh. There is no streaming on the TV but there are basic channels and wifi. easily would be good for a long term stay. Drew is friendly and very accommodating. Definitely recommend.
Justin,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Thank you for a great stay while we were in Beaver visiting.
Great set up and priced right."
