name,rating_info,review_text
Thomas,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip","When we arrived, everything was as described and worked great. The hosts left us a great personal welcome, I can only report the best, everyone was enthusiastic about the house, we'd love to come back! Thomas"
Casie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Nathan and Ali were great hosts for our visit to Hickory. It was a rainy weekend, but the home was lovely and spacious. Unfortunately, a few days before our visit, a tree had fallen on the back yard fence. Nathan let me know and was able to makeshift a repair before our visit. It was greatly appreciated, as we thoroughly enjoyed the back yard. We would definitely visit again."
Richard,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The Bear’s Den was as advertised! Clean and great overall experience and would definitely stay again! Thanks again Nathan for a great experience.
Avery,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Loved our stay here!
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","We had a wonderful stay! The home was clean, and spacious. The backyard was our favorite place to hang out. Nathan was extremely responsive and a wonderful host. We enjoyed it very much and will stay there again in the future."
Cindy,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",The Bear Den was as described and more! The host's attention to details and the amenities provided were more than enough for my stay. They made this house felt like home!
Jesse,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",We stayed for a week in the Hickory area with our two toddlers to visit the area and visit family. This home was such a pleasure to stay at. The most efficent Airbnb home I have ever been too. They took great attention to detail by labeling things to remove any guess work on where to find things. We were very impressed with the organization and cleanliness of the home. Nathan and Ali were very responsive and went above and beyond to make sure we enjoyed our stay. This is an older home but updated in all the right areas which gives such a charming character to the home with nice decorative touches. The outdoor entertaining area with firepit was awesome! The fenced back yard and the pull out trundle bed made this a great place if you have little ones. This place if full of all the essentials and even extra things to make the stay very comfortable. This home is Airbnb done right. We would highly recommend staying here and will do so again in the future. Thank you Nathan and Ali!
Miles,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great little house! Nice responsive hosts!Clean,cabinets full of all the essentials, traveled with family of 4 plenty of room so everyone had their own space and able to do laundry at home while on vacation. The back deck and backyard was awesome with fire pit for the evening fires wish we were there longer for more relaxing evening. It is on college campus basically but was not a problem at all fairly quiet even with baseball games across the street! Would definitely book again!!!"
Tiffanie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Beautiful home to stay in. I was wowed by the touches of comfort and beauty! I will definitely be reserving this home for future trips!
Amy,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","Nathan and Ali put so much thought into this home from the amenities and decor, to the details in each room. They gave us such a warm welcome and it was so heartwarming to see the personal touches that were added. Even though we didn’t bring our dog, everything you need for yours is there in case you forget! The back deck is great for warm nights and sunny days. The house is also conveniently located within walking distance to LR and a quick 3 minute drive to grocery stores and restaurants! Nathan and Ali are great hosts. Can’t wait to come back!"
Audra,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed about a week","Lovely home with a full kitchen and laundry space that worked out very well for my stay as I was traveling across the country. The hosts put a lot of thought in trying to make sure that the space is comfortable and also included items like some K cups and water bottles and snacks. I would only recommend this for one person as it is small and there isn’t a lot of storage space but it was perfect for my needs. Bring drinking water with you and be prepared for road noise during the day, but overall, this was a very comfortable space, and I’m grateful to have gotten to stay!"
Stephanie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Cute little house. I felt right at home. The hosts had nice little touches that made it feel like home. There was access to a huge front porch that was perfect for sitting and just relaxing. The location was in older neighborhood of beautiful homes. Supermarkets, shopping and dining were all easily accessible by car within anywhere from a 10 minute drive or further. There were other tenants in the home but they were very quiet.
I would definitely stay here again."
Rachel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Space was just as pictured and described. Quiet, peaceful street. Would certainly stay again."
Katrina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",It was a very great stay.
Rachel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place! Cozy and spacious!! Exactly what I was looking for when I booked it!!
Quinn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Fred and Erin are always great host... They do the most to make sure the stay is comfortable. If you're ever in Hickory and need a place to rest or relax. This is the place for you
Guillermina,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Was a nice place to stay clean house!
Lewis,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",will be coming back again!!
Devin,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Very nice host and easy to communicate with.
Quinn,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Fred and Erin are wonderful host! The stay was amazing and the communication was also outstanding would 100% book again
Zandie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week","Very clean, well equipped, easy check in, very nice interior and peaceful neighborhood, highly recommend."
Jeremy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",loved it!!!
Katie,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","We had a great stay here! The house is so cute and tastefully decorated. It is easy to hear the neighbor on the other side of the wall, and the shower head is a bit short (even for the average height). We enjoyed saying hi to the cat neighbors and, overall, would stay here again!"
Erica,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","such a cute place, great to stay for the weekend"
Katie,"Rating, 4 stars
,
·
November 2023
,
·
Stayed a few nights","Came for a quick visit from Florida with my girlfriend. This airbnb was super cute and quaint. We had some issues getting inside but it was quickly resolved and everything else was perfect. Everything was clean and organized and cute. Our only complaints were that there was no closet, and I thought the description said fully stocked kitchen but there was only salt and pepper and a minimal amount of other dishes. But overall we loved this place, it was nearly perfect for our quick stay!"
Zoe,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Cute, spacious, clean."
Steve,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Great place to use if your in the area. More than enough space. Excellent value.
Sherry,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Very nice, clean, kitchen cute and clean. Didn’t do any cooking but it looked as though you had everything you would need. Bed slept good. Would recommend for a couple to stay there."
Jason,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I really enjoyed my stay at the tiny Villa. The host was very accommodating. Came to the rescue when I realized I forgot my toothbrush! Also included in the stay Were some snacks and candy that I enjoyed. I really liked the location. It was quiet and I was able to get a good nights rest. Check in and check out was extremely easy. Definitely recommend this place!
Fredy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Love this place I will be back again nice and clean
Katelyn,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",If your looking for a cute small quaint cottage this is the one for you! The host is very friendly and flexible and keeps everything pristine and clean!
Alan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I really enjoyed staying at your place Arlie and when I back in the area I will certainly check to see if it is available.
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We enjoyed our stay at the Villa! Perfect location. Close to several restaurants. Very comfortable bed! Great communication! We will definitely stay again!
Annette,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Awesome stay!
Kelly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",This little house was completely lovely! Hosts were thorough and precise and we had all of the amenities and information we needed and more. Kitchen is well appointed and everything is extremely comfortable. Thank you!!
Annette,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Very comfortable, cozy, quiet, well maintained home. We enjoyed our stay immensely. Will definitely stay there again when in the area. Hosts we're very accommodating, pleasant and welcoming."
Kieran,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","I had the pleasure of staying at Tiny Villa Oasis during my time in Hickory. The hosts were extremely helpful and proactive, and checking in was a breeze. They were kind and courteous, responsive and thoughtful. The instructions were spot on! Although I didn’t get to spend much time there, I think it was the best nights sleep I’ve had in a long time after travelling the last week - the place was clean and comfortable and I wish I could have spent longer. Next time I’m in Hickory for work or pleasure, I’ll definitely be checking to see if the place is free."
Emma,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",10/10 recommend. Quite and cute little villa. Perfect for the two of us that stayed there. Everything was clean and well cared for. Great location and owners had great recommendations! Always responded to any questions. Had everything we needed for our stay. We will definitely be staying again!♥️
Freddy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Loved the place and how very well cleaned it was. Love the aesthetics!
Patrick,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","It was really nice, easy check in it was a great stay."
Michelle,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Adorable Villa! Very clean and secure. The location was perfect as it was 5 minutes to family and shopping.Villa is cute,modern and comfortable"
Clinton,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Carlos was awesome, instantly responding to every message I sent. The house far exceeded our expectations and was incredible. I look forward to renting this place again. It was a 5 out of 5 for me and my fiancé."
Mindy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","We loved our stay at this airbnb! So many nice touches for us to feel right at home! Great space for me, my husband, and our 2 year old! Even though jt was a one bedroom, we still had plenty of room to put our two year old in the reading nook. Everything was very clean as well! The bed was one of the most comfortable beds ever! Carlos was also very responsive and accommodating!"
Ethan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Was very nice
Joseph,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We truly enjoyed our stay at the Villa. The place was clean and just as advertised. The only issue was that I’m 6’1 and had to crouch somewhat in the shower because the shower head was a little low. Tall people beware but everything else was perfect for us! We would still stay here again if we come back to Hickory! Great communication with hosts and they gave us lots of recommendations for the area.
Arielle,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great stay!
Jaylin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Amazing place would recommend to any couple for a little getaway it is the perfect house and the hosts were very helpful and super nice
Janelle,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","we couldn't recommend this little villa enough. I also rarely give reviews but had to say how great this house was. it was perfect for just my husband and I. The hosts truly thought of every detail. we loved the motion lights at night for when you get up not knowing the place and your surroundings. The small snacks, the little labels on the lights so you know what its for, the greeting...no detail spared. Oh, and the bed was probably the best I've stayed in. Well done and thank you, top notch!"
Kathryn,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","We were SO impressed with our stay at this house. You can tell that the owners really put a lot of thought into the overall experience for guests. From the moment you book with them, the owners were quick to communicate and make themselves available. They ensured that instructions and directions were clear throughout the stay, even going above and beyond to provide instructional cards and labels throughout the house to help you know how to use things best. Check-in and check-out were super easy and we were amazed at the personalization that they provided…I won’t spill all the secrets that they have up their sleeve, but they really provide all they can to make sure you have a great stay. The house was stocked with everything you could want and more in the kitchen, bathroom, and even living spaces. We enjoyed a quiet night on the back porch and loved reading in the quaint reading nook too. Overall we are so grateful for all of the effort the owners out in to help make our stay great!"
Fredy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Very nice place I will be back again 🙏🙏
Sherry,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","The Villa is a must stay place in Hickory! Beautiful home that exceeded our expectations in every area. Quiet, peaceful, wonderful home that we greatly enjoyed. A welcome sign with a goody basket of treats; how sweet! Loved the back open porch area & rocking chairs for early morning coffee. We are hoping to return soon. Thank you for sharing this wonderful home❤️"
Hayden,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Well worth the stay! Super clean and beautiful. The backyard was absolutely stunning. Hosts were very understanding and friendly. Greeted with complimentary snacks as we arrived. Would love to come back on our next trip to NC!
Isabela,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",This was a lovely place to stay in hickory!
Fredy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",I love this place is my second time in this house. ⭐️⭐️⭐️⭐️⭐️
Jim,"Rating, 5 stars
,
·
September 2023
,
·
Stayed over a week","great place, great hosts, would recommend to anyone"
James,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Carissa was super responsive and more than accommodating with snacks, water, candy and even a personalized welcome sign. I would definitely stay here again and highly recommend!"
James,"Rating, 4 stars
,
·
August 2023
,
·
Stayed with kids","Carlos place is exactly as described, clean, quaint, and modern. Carols was very responsive and accommodating. Only drawback is there was no kitchen/dinning room table. They have a small kitchen island with three stools; however that doesn’t work for a family of 4 or more."
Tessa,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Carlos was great at communicating with me prior to my arrival. When I landed in Charlotte, the airline had lost my luggage. I messaged Carlos asking if the Airbnb had any necessities that I could possibly use before spending a lot of money at Target. He told me what he had at the Airbnb for me to use and also allowed me to use the washer and dryer for my few clothes to wear. I was forever grateful and felt so well taken care of! God is good and God made sure I came here to be taken care of.
Thank you again! 🙏"
Tyler,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",The place was super clean and cute! Great stay for the night.
Fredy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",I will recommend this place peacefully and clean
Julie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Cute little place. The bed was very comfortable. It felt like a foam mattress. It was squishy but still had some firmness. Very happy with that. One minor issue was that we could not find any silverware. Not a big deal and we didn't ask if it was stored somewhere we couldn't find, but you may need to know that. The value is great. Much nicer than a hotel room. The back porch and fire pit area are a nice amenity as well. Highly recommend staying here."
