name,rating_info,review_text
Rishma,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","This is one of the first Airbnbs I have stayed in that was actually better than the pictures! The space was beautiful. Everything was squeaky clean and the bed was so cozy.
The neighborhood was very walkable and the apartment was close to a ton of cafes, restaurants, and stores. There was ample street parking nearby.
Overall, staying here was a very zen, clean, and cozy experience."
Colleen,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",This Airbnb is perfect. It’s in a central location in Hudson and all of the main shops and restaurants are a short walk away. The Airbnb was spotless and very comfortable. Would definitely stay here again!
LuAnn,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Beautiful, spotless, perfect location! Highly recommend!"
Kerry,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","The apartment was in a great location, very clean and spacious! Would definitely return again"
Lindsay,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","This was a great spot! Clean, nicely furnished and in a beautiful building. The street was quiet but right next to everything you needed. Very charming."
Catherine,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great location, beautiful space, very clean and comfortable. Will be back for sure!"
Ryan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Everything was great! I would definitely recommend. We would stay here again for sure!
Matt,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Andrew’s home was amazing, clean and in a perfect location for a quick weekend getaway in Hudson, highly recommend for couples! Andrew was additionally very responsive, helpful and understanding, letting us check out late to align with our transport out. Overall an amazing stay!"
Maxwell,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Another great experience at Andrew's place! looking forward to my next visit to Hudson.
Michael,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","We have stayed at Andrew's place a number of times when in Hudson. We plan to come back again - a great, comfortable place to stay!"
Troy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Truly a fantastic experience. I hope to try to stay at this home whenever I’m next in Hudson.
Myles,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Andrew’s home in Hudson is very cozy, right in the prime location of town, and the perfect for a weekend getaway. The bed and sofa were also very comfortable. Andrew was very responsive whenever I reached out and we even able to accommodate for a later check out. I would come back and stay here again."
Rohan,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Good well maintained unit
Kelly,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","We had a great stay, beautiful place and very clean"
Layla,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Really wonderful and convenient! Had absolutely everything we needed. Hoping to stay every time we are in the Hudson area!
Abraham,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Second time here. Beautiful, clean and perfectly located. We are sure to come back again!"
Ricky,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great location! Andrew was helpful and flexibility with some last second changes. Beautiful home.
Matt,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Great place. Clean and simple! They had everything we needed for a quiet get away!
William,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night","Andrew’s place is well situated, well appointed and clean. We would definitely stay there again."
Kayla,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","The place was very nice and clean. The location was perfect, in a great spot close to everything in Hudson!"
Margarette Ruth,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Great place in a stellar location - within walking distance to so many great shops and restaurants. Clean and comfortable spot!
Chris,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",beautiful place. walking distance to many restaurants and shops. loved it.
Emily,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Andrew's apartment was roomy and worked great for our group of four. The pull-out bed was comfortable and easy to use. If a group of four was planning on eating a meal at the dining table it might be a little tight but otherwise it was perfect. We loved the large kitchen and dishwasher. Thanks Andrew!
Abraham,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Pristine, comfortable, and beautifully updated. Short walking distance to great food and shopping. Definitely would stay here again!"
Sarah,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Andrew’s place was great - a perfect location within easy walking distance to all shops/restaurants in downtown Hudson. The apartment itself was sparkling clean and beautifully renovated. Overall, we highly recommend!"
Nadine,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Very nice and clean apartment, looked exactly as pictured.
Great location with many restaurants and cafés nearby.
Andrew was easy to communicate with and replied super fast.
I had an excellent stay!"
Natalie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Wonderful stay at Andrew’s. Very walkable location - lots of shops and restaurants nearby. The place was cute, comfortable, and clean. We would definitely stay there again."
Elizabeth,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great stay - everything clean and comfortable. Would stay there again
Rick,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Andrew’s place was spacious, clean, well equipped and close to everything. Andrew was a pleasure to deal with at all times. Highly recommend."
Tim,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Place was very nice and spacious. We spent very little time in the Airbnb as we were in town for only a day for a wedding but it had everything we needed.
Maclain,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Great location (walking distance to great restaurants), and the apartment itself was super clean and fostered a friendly environment. Really enjoyed our stay here. The 2 bathrooms were ideal as well!"
Kate,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great stay in Hudson! This apartment is very walkable and perfectly located for everything on Warren Street. On-street parking was easy with Andrew’s instructions. I would stay here again.
Denise,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","We had a wonderful stay in Hudson!
Andrew’s place was somehow even better than the photos and description. Felt comfortable and right at home. Great location, just couple minute walk into the beautiful town. Near tons of shops and restaurants!"
Eamon,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",My girlfriend and I go up to Hudson every year and we had another great visit. The Apt is so close to the Main Street and great restaurants. The instructions were clear and the Apt was spotless - very happy!
Ruth,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Very clean, and comfy. Right around the corner from all the great restaurants, beautiful antique shops, and all the things people come to do on Warren Street, Hudson’s main thoroughfare."
Kat,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Perfect place to stay during a quick trip to Hudson!
Peter,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Perfect apartment and location! Would love to stay here again next time we’re in the area.
Tara,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","The place was awesome- looked just like the photos, fully stocked with everything you’d need for a little getaway. Tons of extra towels and linens which is always appreciated. The location was fantastic- walking distance to everything in Hudson! Such a cute town. One thing to note- the place sleeps 3 people, not 4 like it lists. There is a bed (sleeps 2) and a couch (sleeps 1- does not pull out) so keep in mind when booking. Additionally, there was zero flexibility in terms of early check in/late check out. We stayed one night and were hoping the place could accommodate our bags while we walked around/before we caught our Amtrak back to the city. Since they would not do it, we ended up paying $25/hour for the convenience. I’ve never heard of anything like this and was honestly pretty annoyed they wouldn’t work with us without charging us extra. All in all it was a nice experience and a good place- just keep in mind when booking!"
Gene,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Andrew's place was fantastic! Clean, pristine and just like the pictures. I would gladly stay here again and highly recommend to others!"
Jonathan,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Andrew's place was perfect for a quick overnight in Hudson. It's just as advertised, super clean, and walkable to a bunch of restaurants and shops."
Maxwell,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Another great experience at Andrew's listing. This is my go-to when visiting the Hudson area. The apartment is just as described and feels like a home away from home. Andrew is also very responsive and friendly. I enjoy staying here.
Grace,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Beautiful place and the host was very helpful. Would definitely stay here again
Nate,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Super clean and nice apartment with plenty of space and great location! Check in was easy. Definitely recommend this place!
Karen,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","The apartment was beautifully decorated, spotlessly clean, extremely comfortable, and in a fantastic location within walking distance of everything we needed. Would definitely stay here again if we return to Hudson."
Paul,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Great, clean place in Hudson! Super convenient and walkable to all points downtown. Would definitely recommend if you are in the area and need a place to crash."
Chris,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",We had a very nice stay. The home was as represented. The location was very convenient to dining spots and shops.
Kieran,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Andrew's place is great: perfect location for exploring Hudson, tastefully furnished (including a very comfortable bed), well equipped, very clean and quiet."
Charles,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Spacious apartment steps away from the main drag. Easy parking, comfortable stay, perfect for a weekend in Hudson!"
Cayla,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Great AirBnB that was well decorated, comfortable, and super clean, and incredibly convenient to the downtown stretch of restaurants and stores. We would love to stay here again."
Diane,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Andrew’s place in Hudson was a dream! Super clean and spacious, beautifully renovated and decorated, and just steps from restaurants and shops on the main Warren St. Would definitely stay here again!"
Aaron,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","Immaculate condition, great location, would highly recommend"
Li,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",The apartment is spotless! We had a really warm stay and the houe is well equipped! Totally recommend this apartment for all! :)
Donna,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Andrew’s place was so adorable and clean! So close to everything in Hudson! Highly recommend!!
Harrison,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","Andrew’s place was perfectly located, clean and very well decorated."
Delaveau,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Lovely modern apartment with everything we need and great location to the shops and restaurants. Just around the corner!!
S&A&S,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great apartment - just as in the listing - in a very convenient and pleasant neighbourhood. Well equipped and comfortable.
Michael,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","Great stay, easy to get in and very clean"
Casey,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","This was the cleanest Airbnb we’ve ever stayed in. No detail was spared in making guests feel at home. On top of being beautiful and clean, great restaurants and shops were only a two minute walk away. Perfect location, perfect stay. We’ll be back again soon!"
Mike,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","A perfect little gem in Hudson! Great location- short walk to the main drag, spotlessly cleaned, and great coffee. Even better than the pictures : )"
Emily,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","Really enjoyed my stay at Andrew’s place! It was exactly as described, very clean and comfortable, and walkable to stores on Warren St and to the train station, which was great. He was also very responsive and helpful whenever we had any questions. Thanks Andrew!"
Lindsay,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","This was the perfect place to stay, right in the center of town. Andrew was a great communicator and the apartment was pristine. We will definitely stay at Andrew's on our next trip up to Hudson!"
Emily,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Andrew was quick to communicate if we needed something. The apartment is great and in an awesome location right off the Main Street. Can’t wait to come back again!
Maxwell,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","The place was awesome and in a perfect location. Andrew's notes made check-in and everything else super smooth. I really enjoyed my stay, and I'll look to book here again for my next visit to Hudson."
Erin,"Rating, 5 stars
,
·
March 2023
,
·
Stayed one night",Great place to stay for a nice peaceful getaway to Hudson. The location is perfect and right off Warren St. We walked everywhere. Place is exactly what you see in the photos!
Nicole,"Rating, 4 stars
,
·
March 2023
,
·
Stayed one night","Beautiful apartment, a block off Warren Street. There was a small ant problem in the bedroom and en-suite but the host was very responsive. Since we were only there one night there wasn’t too much time to remedy the situation but he did offer us a credit which was much appreciated. Otherwise the apartment was very clean with nice linens, fresh towels and robes. He was sending for ant traps so I’m sure that issue will be taken care of. I would stay here again despite the ant hiccup."
Youssef,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Great appartement close to Warren street !
Robin,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","Stayed at Andrew's with a friend for 2 nights. The place is beautiful , has a light and spacious feel to it and is tastefully decorated. It was absolutely spotless, had enough towels (and a bathrobe), the kitchen had everything we needed including coffee and some basics (oil, salt, pepper, sugar) the bed in the main room and the pull out couch were very comfy and we really appreciated each having out own bathroom. The location is very central, walk to Warren Street and all of the antiques stores and restaurants. A great stay-would definitely recommend..."
Danielle,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Andrew's listing was perfect! The apartment was bigger than expected and very clean. The location was ideal! Within walking distance to eateries, coffee shops and different activities. Andrew was also quick to respond and pleasant during each of our interactions. Would definitely stay here again!"
Suzanne,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night",This is a pristine space with amazing energy! We would definitely return!
Alex,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night",Andrew’s place was great. Very clean (felt like new) and far more spacious than expected. Not to mention it’s perfectly situated for a walkable weekend in Hudson.
Lusitania,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night","What an amazing place! Location is perfect! Also, the place is so beautiful and clean and feels like home. They think of everything. Thank you Andrew! Definitely not the last time booking this place…until next time!😊"
Kevin,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",We had a fantastic stay at Andrew’s place. The location is perfect for walking down to Warren Street. The apartment itself is gorgeous and modern. Very clean layout with great coffee and even some delicious snacks! Plus super comfy robes! Would love to return.
Brenda,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night","Andrew was a great and responsive host! He let us check out a bit later as no guests were staying after us. The place was clean, comfortable, bigger than expected, and convenient walking distance to the main area. Thank you for making the stay enjoyable :)"
Cody,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",Andrew’s place is in a great location. Walkable to anything on Warren Street. Would definitely recommend anyone to stay here.
Regena,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Andrew’s place is beautiful, well decorated and very clean. Lots of nice little touches to make you feel at home from snacks, coffee and water. He was responsive and accommodating. Will stay back here again whenever I come back!"
Nick,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night","We stayed at Andrew’s place for one night as part of a weekend getaway. We were able to check in early, the place was super clean and tidy, and there were lots restaurants, cafes, and shops just around the corner. We really enjoyed our time!"
Kate,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",Great space and location!
William,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night",A great stay! Cozy and sparkling clean.
Christine,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night",Great place to stay! Would book again.
Erica,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night","We had a great time at Andrew’s place downtown. It was a spacious apartment and everything was perfectly clean upon arrival. His directions of where to park, how to find it, accessing the apartment, were all very clear."
Emma,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night","A lovely stay - huge living room in the apartment, kitchen had everything you need, and very clean."
Michael,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night","Andrew’s place was nicer than described. Lovely apartment, very comfortablevery clean and well appointed. Very convenient to walk around town. We would definitely stay there again!"
Gianni,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with kids","really awesome place, right next to the main street - fast & clear communication with everything provided that we needed. Had a great stay!"
Jay,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night","An awesome place!!! Well and thoughtfully appointed, beautifully decorated/ furnished and immaculately clean. Pictures don’t do it justice"
Natalie,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night",Very clean and perfect location to Warren street!
