name,rating_info,review_text
Leili,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","My husband and I love staying at Jenny's place while we are in town to visit family! Really enjoy the kitchen to cook some meals while we travel, and its proximity to everything."
Kaleb,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","This place was perfect! I was working for a job for a week down here in Jackson, Ohio. It was a very relaxing and clean/peaceful apartment. Very spacey for a 1 bedroom/ 1 bathroom as well. Amenities were all there. Plus it was above a coffee shop which you can walk down the stairs and around the corner to get to! Would recommend for anyone staying in Jackson for a couple days to weeks for."
Joshua,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Thanks again!
Randal,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Well appointed apartment in a great location. We thoroughly enjoyed our stay and look forward to returning.
Joshua,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Thank you!
Amy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I love this place! It’s clean, comfortable, and cozy. Kitchen is well equipped for 2. We feel right at home! 10/10."
Joshua,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Beautiful apartment. Very tastefully done. Thank you so much for hosting. Will be using more often!
Graham,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Always enjoy our stays at the Spot above. We checked out the new Sixth Sense Kitchen and Taproom for dinner and breakfast at the Spot. Both excellent!
David,"Rating, 4 stars
,
·
December 2023
,
·
Stayed a few nights",Nice place! Fulfilled all expectations. We’ll be back.
Chong,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Would definitely stay again!
Gail,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","It was very pretty and posh looking, right out of a magazine. Everything was very clean and the city sounds and lights outside of the window added to the uptown feel of the place. There was some noise from the restaurant below but not terrible just occasional hustle and bustle of a coffee shop below. We weren’t expecting the stairs leading up to the door way but to be fair I didn’t read the description throughly so perhaps I missed it. It is a very beautiful place though and offers a posh city atmosphere. It was a fun get-away for me and my husband, who normally are surrounded by the woods."
Kayla,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Perfect place. We will rebook very soon!
Keith,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Really nice place. Didn't really get to enjoy it much as we were only there to sleep one night then go to Bob Evan's Festival but the place was VERY nice. Highly recommend!!!
Brenda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",This is my third stay. Great coffee shop/restaurant downstairs and on Main Street. Jenny is a great host.
Elisabeth,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights","Nice spot, but the walls and floors are thin which makes it hard to sleep in the morning. When the Spot on Main opens for the day (7am) you can very clearly hear the music and chatter from the coffee shop below."
Rosanne,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","As usual Jenny’s place was perfect! 3rd time staying here, wouldn’t book anywhere else when in Jackson"
Emma,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Had a great trip staying at Jenny’s Airbnb. Everything was cozy and felt so comfortable.
Matt,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Place was exactly as described . Great location in Downtown Jackson .
Amanda,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Another enjoyable stay!
Richard,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",This the second time I’ve stay at this location. It’s comfortable convenient and very clean. When I’m back in the area for work I intend to stay here again.
Amanda,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","I always feel right at home in this apartment. Great place, great stay!"
Suzy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",This was our second stay. The apartment is well decorated and very comfortable. We like having the coffee shop below too. It’s a nice stop on our way home from VA. We will definitely be staying again.
Amanda,"Rating, 5 stars
,
·
July 2023
,
·
Stayed over a week","As always, a great place to stay when I am in the area! Jenny gave me the heads-up on coffee shops hours and a special evening event over the week of the 4th."
Chip,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","This place is a hidden gem, so I'm hesitant to tell people about how great it is haha! Love this place :)"
Claire,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Jenny’s place was the perfect alternative to a hotel! It was clean and homey, I could have stayed a whole week!"
Amanda,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Great place! Will be returning soon.
Jami,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Every aspect of my experience, from the booking process to the checkout, exceeded my expectations. The communication with the host was exceptional. They were prompt, friendly, and accommodating, making sure that all my questions and concerns were addressed before and during my stay. Their dedication to providing outstanding hospitality was evident throughout my entire experience. The property itself was an absolute delight. It was immaculately clean, tastefully decorated, and equipped with all the amenities one could possibly need. The attention to detail was remarkable, with thoughtful touches like complimentary toiletries, coffee, and bottled water. It truly felt like a home away from home! The location of the Airbnb was also fantastic. It is situated in a charming downtown and located above a delightful coffee shop. We had an amazing breakfast and coffee within a few feet of the property (The Spot on Main). You could walk to restaurants, stores, and a local ice cream shop!"
Amanda,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","As always, great accommodations. You can't go wrong staying at this apartment when in the Jackson area. The coffee shop below is phenomenal."
Laura,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Lovely
Sandy,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great place to stay and within walking distance to local places. Being above a coffee shop was a huge plus for me!
Amanda,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Wonderful place to stay while I am in town. The full kitchen allows me flexibility for cooking my own meals. Being directly above the coffee shop is definitely a perk I take full advantage of.
Harry,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Jenny’s place was beautiful and immaculate. Everything was tip-top, comfortable bed, everything you could possibly need. We had a great stay here and will most definitely be back again!
Thanks Jenny!"
Amanda,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","As always, Jenny's place is amazing and provides a relaxing atmosphere to un-wind from the day!"
Tiffanie,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Amazing stay as always!! Will be back in a month
Morgan,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Stunning place with beautiful interior design. A pleasure to stay there.
Hisham,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Perfect spot to stay. Better and cleaner than any of the local hotels. Felt I was at home. Comfortable bed and pillows. Jenny was very communicative and friendly. Highly recommended
Rosanne,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",This is my second time staying here and it was immaculate. Met all of our expectations.
Suzy,"Rating, 5 stars
,
·
March 2023
,
·
Stayed one night",The apartment was well decorated and the bed was divine. We enjoyed the space and would definitely come back. Missed out on the coffee shop below but hoping next time it will be open.
Matt,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","Had great stay. Clean, modern, peaceful!!!"
Rosanne,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",This apartment was beautiful! Great location and Jenny was a great host. Will definitely be staying here again when coming to town!
Amanda,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Great place! Will be a returning guest when I am in the area!
Tiffanie,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",Love staying here!!
Amanda,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Outstanding place that feels modern while at the same time cozy and relaxing.
Jenny is an amazing host with great communication skills. I will not hesitate to book and stay when when I am in the area!"
Graham,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights",Enjoyed our stay as usual at the Spot Above.
Tiffanie,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night",Absolutely love this place!! Will be back for sure
Cody,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights",Would love to stay again.
Noah,"Rating, 4 stars
,
·
November 2022
,
·
Stayed a few nights",Jenny’s place was just as described! Conveniently located within walking distance of all downtown Jackson Ohio attractions. The interior was beautifully designed and decorated. I had everything I needed for my stay.
Shawn,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Perfect place to stay.
Alisha,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","We genuinely enjoyed our stay. It was an easy check in and check out process! Beautiful apartment and wonderful location. If we ever come back to visit this area of Ohio again, we will for sure be staying here another time! 🥰"
Howard,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Same
Gloria,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Best place to stay in Jackson. Absolutely fabulous. Great communication, convenient check in and check out, great location. Beautifully decorated, very clean with every convenience. I loved it."
Brianna,"Rating, 5 stars
,
·
October 2022
,
·
Stayed about a week",This place was so cute and quaint! Equipped with everything I needed! The coffee shop downstairs is a major PLUS! Very comfortable and modern space! I loved it! Wish I could have stayed longer!
Gabriella,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","Beautiful apartment, conveniently above a really tasty coffee shop, and right on the main street! Jenny is a fantastic host with speedy communication! Thank you!"
Omar,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Amazing place! Absolutely beautiful, very clean and comfortable. Love the interior layout and furnishing of the place."
Tiffanie,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",This place is absolutely wonderful! I really enjoyed my stay and will definitely be back. Jenny responded immediately to questions and her attention to detail is wonderful. Thank you!
Gretchen,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Place was absolutely beautiful! Came to Jackson for my birthday weekend to visit friends and family and couldn’t have picked a better place to stay! Checked in after the check in window and the host went out of her way to leave the outdoor light on for us, place had everything we needed, extremely convenient to restaurants, pharmacy and grocery store, and it was so comfortable and cozy! Great experience and felt like a home away from home!"
Richard,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",Wonderful place. Easy access (there are stairs on the outside of the building to access the apartment) and comfortable surroundings. Right in the heart of the historic district and close to restaurants and beverages. Best part is the coffee shop on the main level.
Amanda,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",Adorable place in Jackson! So clean and well decorated. Was in town visiting family and would stay here again! Easy check in and check out process.
Aaron,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",My second stay was just a great as the first!
Bryan-Erik,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights","The place is wonderful!
So convenient to many things in Jackson and one of the cleanest places I have ever stayed at.
The café down stairs has absolutely delicious food and great coffee."
Matthew,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights","The place is spotless, comfortable, fully stocked,and right in the heart of all that Jackson has to offer. We loved waking up, walking downstairs, and sitting outside at the coffee shop. One of the best Airbnbs that we have stayed in."
Denise,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights",Jenny's place is very nice!! We will definitely book again. Great location and very cozy and comfortable.
Roger,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights",This property is a jewel. Well appointed and spacious. Host Jenny was easy to work with. Ita good central location for exploring the community and county attractions. Had a Great time.
Renae,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights",This was a great place to stay. Very convenient being over a coffee shop. The place was clean and comfy. I would definitely stay there again.
