name,rating_info,review_text
Helena,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed a few nights",Great location outside of the tourist fray! Helpful recos for stellar hikes and places to eat. Would recommend!
Sabrina,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",We enjoyed our visit at Vitamin Sea. Th accommodations were just what was needed and our hosts were fabulous.
Pj,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Nice place. We enjoyed our stay.
Evangel,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","An amazing place to stay. We had a wonderful vacation. Everything was spotless, and the hosts were incredible to work with.
I highly recommend this place!"
Alysa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",This place was so comfy & Torrie was very informative! Would definitely stay again
Aaron,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",As always a great place to stay!
Ash,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Such an amazing spot. Clean, beautiful, amazing view, quiet and peaceful."
Joey,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",super comfy and homey kitchen was incredibly well stocked would stay again.
Rebecca,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",I really enjoyed staying at Torrie's place. It had everything I needed and felt right at home. the cute little touches of decorations were adorable! Would definitely stay here again!
Aaron,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Fantastic location to relax after a day of wot or vacation, this was my second time here and I always feel relaxed. Fantastic Host!"
Pj,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week","Torrie’s place was perfect, had everything I needed and I enjoyed my stay. Highly recommended."
Melissa,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Vitamin Seq was the perfect place for our stay! Close enough to so many great things to see. But far enough for a peaceful getaway! The view was just as shown on the post. All the little extras made us feel right at home! A spectacular place! I would highly recommend!!!
Cuff,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Lovely, peaceful, and comfortable!! We would definitely come stay again"
Nancy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week","Cute, comfortable, well-appointed Airbnb with everything we needed for our weeklong stay in Ketchikan. The hosts were very accommodating and provided extras items that really made them stand out! The view is lovely even on rainy days sitting by the electric fireplace. The bed was also very comfortable for two mature people (over 70) with back and hip pain. Will be back annually!"
Patrick,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Best AirBB we have stayed in. Would book again
Melissa,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Very homey, comfortable and clean."
Matthew,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",.
Jake,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Torrie and Theron accommodate one of the most beautiful Air BnBs on the island. Phenomenal place to stay, epic view looking out at the ocean, responsive hosts, private area and lots of ammendities in the BnB. Highly recommend."
Aaron,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This was incredible place to end my day! The host was fantastic, helpful and very responsive the best place I have stayed in Ketchikan!!"
George,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Tori was very responsive and a wonderful host nice place quiet good time
Beth,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Thank you for such a memorable holiday in paradise
Island Pharmacy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed about a week",We booked Vitamin Sea for one of our fill-in pharmacist's and her family to stay at while working at our business. They were able to feel right at home and had everything they needed for their week in town. Will definitely use this option again and recommend it to other businesses looking for a similar option for temporary employees!
Julie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Very cute, clean and well equipped!! Would definitely stay again!"
Karley,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Torrie and Theron have done an incredible job of making a cozy space for relaxation! The lodging was functional, comfortable, and filled with anything you might have forgotten in your packing! Very convenient, and truly shows the care towards their guests. I used this Airbnb for my wedding weekend, and Torrie was so thoughtful and even brought us 5 extra mirrors for my bridesmaids to use! Wonderful hosts all around."
Bob,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week","Torrie is a great host and her place was everything we hoped for. Clean, modern, comfortable and peaceful. Torrie is responsive and pleasant to deal with. We would definitely go back and stay again."
Trevor,"Rating, 5 stars
,
·
May 2023
,
·
Stayed about a week","We stayed for a week, great place to stay, very well stocked house and very responsive host."
Steve,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",I enjoyed my stay at Torrie’s place very much. She is an excellent host. The neighborhood is quiet. The space has all of the amenities and touches to make it feel like home. I would definitely stay here again.
Steve,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","The host thought of everything! Comfortable, very clean, and well stocked with many amenities."
Jesse,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Pleasure to stay at Vitamin Sea. Absolutely spotless. Easy check-in and thorough communication throughout checkin and checkout process.
Vonni,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","Ciao! My friends and I had such a relaxing weekend at Vitamin Sea. Very clean and spacious space with a bed made of my dreams! The pull out bed attached to the couch was just as comfortable! I feel rejuvenated and well rested! If you have back problems, or any kind of problems, really, book a stay at this oasis!"
Tad,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","The hostess has gone over and above in making sure everything a guest could need was on hand. throughout our stay, we echoed how well thought-out everything was.
If we are ever up this way again, this is the first place we will look"
