name,rating_info,review_text
Jeanette,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",N/A
Katie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","My husband and 6 year old son had a great father/son fishing trip. Carl’s place was as described and very accommodating for a typical fishing weekend. They spent a lot of time on the pier and also had a guide pick them up from the house. Overall, great trip and many wonderful memories were made!"
Nick,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This place is so awesome to enjoy and create memories. we caught speckled trout all night and woke up to the ocean right out our window. I cut my finger on the pier and Carls house had all the supplies I needed to bandage myself up. They also leave complementary items in the pantry. I won’t go to any other place in Baffin Bay after this experience. This place is awesome and I highly recommend it to anyone looking for a good time. I will definitely be back!
Jacob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","The home was very comfortable and Carl was very quick to respond and accommodating to any request we had. The fishing was just amazing, the speckled trout run right at the end of the dock. We did stick it out one night and fished til 1 am, we able to reel in 2 very nice black drum but with out a net the broke the line trying to pull up the line (using 20lb leader). Bring a net if you decide to come. My daughter had the time of her life reeling in trout after trout. My family made some great memories there and we can't thank Carl enough to opening up his home for the opportunity."
David,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great peaceful place
Thomas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Cool little house on the Salada. Fully stocked kitchen, good beds, plenty of parking and a very nice pier. Will be back."
Hunter,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed a few nights",It was a great stay and the instructions were awesome!
Blake,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Beautiful place inside and out. Clean and all the amenities you could need. Great backyard and porch to sit and relax. Highly recommend this place if you’re looking to get away. We will be coming back to stay.
Krystal,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I was a very cute house that was perfect for our stay while we had a competition. We all had to sing so the acoustics in the garage were great! Loved the amount of cups and appliances in the kitchen! It was a great stay!
Haiyong,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",We had a great stay with this house. Abbey has been really nice and accommodating. The house is super clean and well stocked with everything that I can think of. Great communications from the start to the end of our stay. Would recommend it to everyone who is interested visiting the area.
Joseph,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","My girlfriend and I along with 6 of our other friends just stayed here this past weekend as we were attending a friend’s wedding and noticed that this place was under 10 minutes away from it. This place is super spacious and has a very beautiful scenery surrounding it. The patio outside was the perfect place to hang out. It is walking distance from King’s Inn, which sits right on the bay. We had a great time staying here, and if we are ever in town, we will stay here again!"
Omar,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",Loved Abbey’s place felt right at home and loved the outdoor space! Will definitely stay here again!
Denise,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","We absolutely loved Abbey’s place! We were there for my mother in law’s funeral so having a homie place to come to and get ready was comforting! Beautiful scenery, very much peaceful and we had absolutely everything we needed plus more! Kitchen was well equipped , bedrooms had extra linens and pillows we just loved everything about it! The only thing was that we really didn’t get a chance to enjoy the backyard amenities but will for sure next time. We had no complaints whatsoever and we will for sure be staying here again if Abbey will have us.
Thank you Abbey for making us feel welcome and comfortable even though it was a difficult time for us.
May God bless you and your family"
Keaton,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","Great place to stay, has everything you need. Having a covered driveway and additional parking was nice. Coming as fishermen with boats the extra space and covered driveway was perfect. The place was clean, neat, and had very comfortable beds to sleep on. Wi-Fi and Internet worked great. Really cool outdoor covered porch area with tv, tables, chairs, smoker/grill. Awesome place all around! Will for sure be coming back again."
Mark,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","We (dog William and I) really enjoyed our stay at Baffin Breeze. The home was clean, well-stocked with toiletries/accoutrements and extremely comfortable. It is obvious the owners have put some serious effort into making the home both enjoyable and laid back. The backyard is HUGE, with a fantastic screened cabana, including grills, propane heater and big screen TV. Plus a dang nice dog kennel.
Both of the local convenience stores are within biking/walking distance, as is Kings Inn restaurant.
I’ve stayed at a few Airbnbs up and down the Tx coast and will deservedly say this is the nicest. Further, it is far and away the best pet friendly place I’ve ever rented. Get there, open the backyard gate and turn the pets and kids loose - both they and you will love it!!!
Oh, and the snowbird neighbors are simply precious ❤️"
