name,rating_info,review_text
Andria,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",House was fantastic. Tafara was a great host. Very thoughtful and everything exactly as posted.
Martha,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Tafara was the greatest. Had an emergency at home and she worked with and was great. Made it such and easy checkout and did everything she could to help us make this time easier for our family. We would definitely use her again. Thank you again Tafara. All is well at home now.
Nate,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","the place was spotless, and Tafara was an amazing and responsive host. It was very close to the fairgrounds, which was our destination."
Lisa & Jeff,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",This place was lovely. We were there for 4 days and really enjoyed our stay. Tafara was a great communicator! We would definitely stay here again!
Brian,"Rating, 5 stars
,
·
December 2023
,
·
Group trip",Beautiful house and very spacious. Enough room for the whole family. She went out of here way for our family. She was an awesome host. Everything was as described in the listing. Very responsive to all my questions. Thanks
Talaya,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Great stay
Wanda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",I Loved and Enjoyed my stay It is a BEAUTIFUL home
Wanda,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights",I truly enjoyed it
Wanda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed about a week",I loved the house.
Kristi,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights",House smelled nice with lots of sleeping room and couches. Even lots of separate living areas with doors that close.
Talaya,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet","Great place to stay when in town, Tafara’s place is beautifully decorated, very clean and smelled great in every room. Pets are allowed which was a plus and she even left treats for my fur baby. Tafara also was very responsive during our stay. Will definitely book this home again."
David,"Rating, 4 stars
,
·
July 2023
,
·
Stayed a few nights","Very good place to rent
It has a lot of space.
This is comfortable and has everything you need in the kitchen. It is a very quiet and safe place in the future. I would like to rent again
Thank you very much Tafara."
Beatriz,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","Tafaras place was just like the pictures, she has a pretty spacious space, and everything you need and more ! This host was so thoughtful ! Will definitely book her place again in the future! Our family felt right at home!"
Aaron,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",We had a great weekend at this house. Family loved all the amenities the house included. We are already planning our next trip to Kinston to stay again!
Kevin,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",Very good place to stay
