name,rating_info,review_text
Emmah,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with a pet",The house was perfect for our group of people. The backyard is truly amazing and made our vacation that much more special.
Ellie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip","My friends and I loved it so much we booked again, it’s a dream air bnb. We are so excited for next year!!"
Cameron,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Super awesome place, epic."
Berke,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Home was amazing we will stay again for sure.
Brandi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",This place was amazing! Plenty to do and plenty of space for a large group. We definitely cannot wait to come back!!
Seage,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",This property we will definitely be back.
Tony,"Rating, 4 stars
,
·
April 2024
,
·
Group trip",Absolutely amazing property with plenty of space for multiple families and great for entertaining. Had a few hiccups but Chris was responsive and we will definitely be visiting again in the future. Definitely the nicest home I have found and stayed at in Havasu.
Greg,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Expectations were high. Expectations were blown away when we arrived! We absolutely loved this house and all the amenities. From the layout of the lagoon to the huge wide open living space to the plentiful space to sleep! The lagoon was just awesome with the rope swing, hottub, waterslide, swim up bar!!! Endless entertainment for all 3 families. We had a couple of excursions (grand canyon only 2 hours away, and a boat day) but honestly didn’t really feel like we wanted to leave the house. Kamryn was an amazing host as well with help with a couple minor functional issues. Of note: We had 3 senior boys with us that the casita was perfect for including the pool table in there with them. Would defintely rent this again. 6 stars no doubt!"
Ian,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","This place was better than the pictures, everything you can think of is provided for your stay from numerous Bluetooth stereos, pool towels, games, condiments and spices. all you need is food and drinks and friends and family, and they even allow pets and have supplies for them also."
Trevor,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Chris and Kamryn are awesome hosts! We can’t think of a better spot for vacation. Amazing home! Basically a resort style pool and feel all to yourself!
Wynne,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","This house is absolutely lovely! It was just the right amount of room for 14 of us, and plenty of amazing entertainment! The pool and landscape are even more incredible in-person and we were enjoying the water everyday. The location is perfectly close to both bars and the beach. The house was equipped for everything we needed! Would definitely recommend booking a stay!"
Jon,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","From looking at the photos and descriptions alone, we already had high expectations. When we arrived at the property, our expectations were blown away. We stayed at this property with 12 guests, and it easily accommodated all of us. The kitchen was huge and had everything we could've needed, the living room was also very spacious and easily fit all of us. The outdoor and pool area were absolutely amazing. From booking our stay all the way to checkout, Kamryn was always responsive and worked with us the whole way, always being available for any questions or anything we may have needed. I would 100 percent stay here again and would recommend this place to anyone who is considering a stay out here. Thank you Chris and Kamryn!"
McKenzie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","We loved our stay at The Lagoon! The property is absolutely stunning and the views of the sunrise/sunset were beautiful. The pool and backyard were so fun for the whole family!
The property was clean and very comfortably fit our whole family. Kamryn was fantastic to work with, and answered any questions we had very quickly.
Thank you Chris & Kamryn! We couldn’t have asked for a better stay."
Ross,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Awesome place, awesome host! Would stay again!!"
Aric,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","We had the privilege of staying here for a family trip. It was absolutely beautiful! We were all blown away at how well it was set up to please! Seriously, they lacked nothing! If you are debating renting this place, do it!
We made so many memories! We worked with Chris’s daughter Kamryn and she was so nice and very responsive! Want to thank you so much!"
Jason,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","Wow, what an unparalleled property in Havasu! The house is gargantuan, with an enormous pool, huge kitchen, and bedrooms/bathrooms big enough to get lost in. We loved the super unique architecture, the wrap-around pool, and the very well-appointed space. We'll definitely be staying here again next time we're in Havasu with a big group!"
Ashley,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","We stayed at Lake Havasu Lagoon for our daughter’s 14th birthday. this home is absolutely gorgeous and the pool is out of this world! The pool boasts a hot tub, a bridge with a rope to swing on, and a very beautiful water feature with a waterslide. This property is extremely luxurious with amenities for everyone! The home was large enough to easily accommodate our family and several friends. This home comes with everything you could possibly need, including a fully stocked, gourmet kitchen, an outdoor kitchen perfect for entertaining, with a large black stone griddle, sink, stovetop, and large TV. The spacious living room has two large TVs perfect for football. above the outdoor kitchen is a large gazebo with plenty of seating for enjoying morning coffee and enjoying the amazing Havasu sunsets with an amazing backdrop of the mountains and lake!! Large spacious bedrooms and huge casita with game room. So many amazing features to this Home! Lake Havasu Lagoon is the perfect get away!!"
Rick,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","This home had it all. The main home is amazing, the pool is awesome, and the layout is very functional and open. We really didn't want to leave the house. We had numerous couples at the home and everyone had their own private area! The kitchen is huge and everything you need is there to cook at home. The teenagers (and adults) could not get out of the pool! The host was super amazing and responsive! I would give this place more than 5 stars if I could. Perfect experience. Perfect home. Perfect host!"
Derich,"Rating, 5 stars
,
·
Today
,
·
Group trip",I want to thank Alexis for a wonderful stay. This home was amazing and we highly recommend. We can't wait to book this home again.
Claudia,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",The house was absolutely beautiful. We had a great stay. Alexis was very friendly and respectful and she responded with every question we had quickly !
Susan,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Everything went great smoothly it was a good time
Othoniel,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids","Good space to spend vacations, it is comfortable and quiet, Alexis was attentive to our needs and good communication, we had a good time and she responded to our needs too.!!"
