name,rating_info,review_text
Karen,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights","Spotlessly clean, comfortable, cool, firm mattress (which we like), off-street parking, and stocked full kitchen--everything we were looking for in a bnb."
Anna,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","This cute little house had everything we needed. We didn't expect the train tracks to be so loud all night and the bed was pretty hard for us, but inspite of that, we would stay again."
Richard,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","It’s an older home but looks like it was recently remodeled. It was nice and clean, and exactly what we were looking for. Would definitely stay again."
Mitchell,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",I liked this spot. Wished I could’ve stayed longer
Abbey,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","John's place was clean, comfortable and had everything we needed after a long day on the road."
Ste,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The listing looked like the pictures and was even nicer in person. The place also was quiet and very private so that made the stay very relaxing. It also had the amenities listed and was very clean. The owner also was flexible when I needed to add a tool for a co-worker from work . Location was near highway so easy to get around town .
Patricia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",I stayed for a week and it worked out great for my visit to Las Cruces. The Casita is recently updated with charming touches and thoughtful amenities that made my stay very comfortable. The location is quiet and peaceful and yet just a few minutes away from the NMSU campus and many shops and restaurants in the surrounding area.
Scott,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Thoroughly enjoyed my stay. This home has great upgrades, accents and had been recently remodeled. Would absolutely stay there again!"
Kyle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This is a very nice place. Will be definitely be staying there again when I come to town if it’s available.
Susan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","John’s place was perfect, very clean and very well decorated with everything thoughtfully included for a comfortable, cozy stay. Great little place!"
Sam,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We had a very comfortable stay at John and Erika’s cozy space. The Airbnb was the perfect size for a couple, had everything we needed, and was very tidy. Great location!"
Thomas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","I was very pleased with my stay at John's place. It was very clean and warm upon arrival. The one bedroom house is cozy, beautifully decorated, and an overall great place to be in. I would be happy to stay again."
Phillip,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great place. Lots of character and super clean. Would definitely stay again. Private and peaceful! Thanks again John for the great service!
Jaclyn,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week","We loved our stay here and enjoyed our time in Las Cruces! The place was clean, cute and cozy. It looks even better in person! The place had cute decorations and details throughout. The internet speed is also great for working remotely."
Gloria,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Very comfortable stay and close to restaurants.
Isaac,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great place.
Ria,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week","Great property, exactly how the pictures look. Very comfortable and enjoyable"
Diana,"Rating, 4 stars
,
·
January 2024
,
·
Stayed a few nights","This casita is extremely close to Old Melilla, to NMSU, and convenient to interstates and the local hospital / clinic areas. It was the most sparkly clean place we’ve ever rented. It felt secure and was very reasonably priced. The manager was easy to reach and responded right away."
Lana,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great place to stay with every amenity you could think of.
Ann,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","It was super cozy and warm when I arrived, with the TV on holiday music and the fake fireplace going. Everything was clean and nicely appointed. Thank you for the coffee!"
Marcos,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Very clean comfortable place.
James,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",amazing little cottage!
James,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",nice little cottage
John,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Quiet, clean, & very comfortable bed. Will book again if available for my next work trip."
Chris,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","My girlfriend and I enjoyed John's place very much. it was our first Airbnb experience, and this amazing home really hit out the ballpark. Every basic thing you need was provided by John. Even with just a 2 nights stay, it made us feel at home. I will definitely reserve again!"
Adam,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",I had a lovely stay at this freshly remodeled location. The kitchen was well appointed with everything you might need to cook. The location was close to La Mesilla with excellent dining there. John had plenty of local recommendations. Close to some beautiful National Parks. It was a lovely stay.
Maria,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",I will recommend John to others that I trust for a great experience. Nice and quiet location with access to shopping entertainment food historic sites activities and more!!!
Arturo,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",I loved the space so comfy.
Mario,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Great pricing
Amazing little home
Really cozy"
Gemini,"Rating, 5 stars
,
·
5 days ago
,
·
Group trip","Enjoyed the stay, nice and clean. Friendly host and very responsive."
Marcus,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",The house was comfortable and beautiful. I enjoyed the area. Michael would respond very quick at any time. We enjoyed ourselves.
Naz,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","House was very clean and exactly like the pictures, The jacuzzi water was very clean and everything about the place was nice"
Diane,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","We loved staying here, a great location, wonderful home, clean and well put together. I am booking my next stay there as well."
Pablo,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","Nice place! there's also a cornhole game outside, there is everything you need to cook and jacuzzi works great."
Alex,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet",Michael’s home was beautiful and cozy with great amenities
Taylor,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Grill didn’t work and hot tub was lukewarm which was disappointing, but otherwise a great place for my dog and I! Super chill & comfy place with an awesome waterfall shower"
Royce,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","Michael’s home was perfect. It was clean, quiet, and easy to find. Michael was highly responsive. I highly recommend his home to anyone."
Kathy,"Rating, 4 stars
,
·
April 2024
,
·
Group trip","The neighborhood was quiet and safe. Close to the things we wanted to do. The jacuzzi water needed to be cleaned. The house needs a deep cleaning.
Overall our stay was good."
Lindsey,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week","This is a very beautiful home and worked well for me. The view from the back yard of the mountains was absolutely amazing!! There were a couple problems I had and addressed them with Michael and he had them fixed by the next day. He is a VERY responsive host and I would recommend him to anyone! My mother and sister flew in for the weekend and we had an AMAZING time together at the L.H McCombs winery and bistro and then later that night in the hot tub!! We unfortunately didn’t get a chance to use the fireplace, but hopefully next time. 😊"
Kelly,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Michales place was great! Exactly a pictured and very spacious . Grill and hot tub worked great too
Paul,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","Great stay. Would stay again!
Thank you!"
Valerie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",This home is beautiful in a safe neighborhood!
Deepak,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Good spot, clean new neighborhood. We stayed only for 12 hrs as we’re on our way back home but it was good"
James,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",great view of the mountains from the back yard
Lynn,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We really enjoyed our stay here. Thank you for everything and I hope future guests enjoy their day too!
