name,rating_info,review_text
Christina,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I would absolutely keep this space in mind to use again!
Jean,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Adorable place! Very comfortable. Beautiful kitchen and bath. Definitely recommend
Myles,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with kids","Las Vegas NM is full of hidden gems, and this home was one of them. Well located and lovely hosts."
Anne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This is a magical place. It is a perfect retreat for a few days on your own.
Linda,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This small house is very nicely decorated in a New Mexico style. The kitchen is big with lots of cooking utensils, and our host provided some fresh eggs from his chickens! The host lives just across the small yard from the house, so handy if you need anything. It was a little strange that one of the bedrooms did not have a door - just an archway into the living room. Otherwise, it was a nice place to rest after our days exploring."
Erica,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Excellent, cozy home for my family and me."
Prabhakar,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",Jim is a great host and made sure we have everything we need for our stay!
Jennifer,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This is a great little house with a lot of character. It is a cozy and comfortable home and I especially loved the details of the curated decor, rugs, and furnishings throughout. The well appointed kitchen allowed us the flexibility to cook (🥰 the gas range and retro fridge). Beds were comfortable and access to TV, WiFi, and an assortment of books was nice for winding down once we were in for the evening. Although they had recently gotten snow, I could imagine having coffee and reading a book on the stunning sun porch had we more time in our visit. Located in a quiet neighborhood and easily walkable to the nearby Plaza. I had the chance to meet both the hosts during our stay (one at their lovely Weave+Gather shop in town and the other stopped by as I was unpacking the car) as they live/work locally. Check in and check out was easy, price was fair given the quality of the home and amenities, and the host was timely and helpful in their communication. Would absolutely stay here again."
Cher,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Step into a home that feels like a hug from around the world. We had the best time simply embracing the casita~so much character and lovely decor. The hosts put a lot of love into the house, and you’ll feel it! Excellent location just off the Plaza! Rachel, Jim and their beautiful home are welcome additions to the heart of Las Vegas❤️"
April,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","This was a perfect spot, an easy walk to lots of shops and restaurants yet felt private and quiet. The house was very clean and cute and the beds were super comfy. The kitchen has everything you need to cook a full meal, lots of utensils and supplies and a good selection of spices. We loved the gas fireplace which kept the house cozy and the hosts were available and very nice. A really great place to stay!"
Shawna,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Jim's home was a wonderful place!! very warm and inviting, super comfortable!! Jim is such a nice guy, very helpful with all of my questions!! with as much as i travel to Las Vegas, I will definitely be checking to see if this home is available from now on!!! Thanks for being so awesome!!"
Jemuel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place had great stay
Marc,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Jim’s home was awesome and nice. Worked perfect for us with tons of great decor. All areas of the home was clean and stocked well. Felt like home. Thanks again.
Karen,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Vegas is a charming town and Jim's house was such a pleasure to stay in! A couple of blocks from the town green, close to everything yet completely quiet at night for the best sleep. Soft sheets and towels, bright kitchen and front sun room, just perfect. Loved it!"
Anneka,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Beautiful refurbished space with beautiful finishes and furnishings, in walking distance from the Las Vegas plaza. Great communication and flexibility were also a plus. Thank you Jim and Rachel!"
Sylvan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Such a lovely place to stay, great location, very walkable to plaza and restaurants nearby. Beautifully decorated, lovely feel in the home. Great kitchen, bathroom/shower, sleeping and seating areas. Would love to go back and stay again! It was a perfect place to stay whilst in Las Vegas, close to so many things, appreciated the walkability!"
Phil,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week","Highly recommended.
Jim was as friendly and accommodating a host as they come, and the home was both beautiful and immaculate. Location is perfect - walking distance to the historic plaza but tucked away off a side street down in a shady grove, plenty of peace and quiet.
We'll be back!"
Sergio,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Was exactly what we needed .
Dominique,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Jim & Rachel did a great job preparing this spot for my arrival! We had a torrential hail storm the day I arrived and the casita held up really well! Would love to visit again. Be sure to check out their shop!
Priscilla,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Jim & Rachel's Downtown Bungalow was a better than expected in LV delight. Historic bungalow is freshly renovated, the kitchen & bath are bright & beautifully appointed with all one could want. Lovely antiques, intriguing books & ethnic textiles throughout - learn more about by visiting their shop, Weave & Gather, on the Plaza, a treat of local & rare imported treasures. Appreciated energy conservative appliances & heat pumps that maintained VERY comfortable temp in near 100 weather. Rachel even gave me a compost bucket. Will recommend & return. Thank you for a great time!"
Ronald,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Enjoyed the stay! Close to everything but still private and quiet.
Michael,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",We had a great time. Perfect location and great feel to the home. Will stay there again.
Megan,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Beautiful historic casita just minutes from downtown. We enjoyed our stay and all the cozy amenities. The hosts were very welcoming and accommodating of our needs. We can’t wait to visit again soon!
Bailey,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet",This was a great place to stay! Comfortable space and very clean. The hosts were extremely friendly and responsive. The location is great! There are several shops and restaurants within walking distance. I would highly recommend staying here!
Edie,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","This bungalow is much nicer than the pictures show! The surroundings are lovely and the overall setting is peaceful and isolated, but a short walkable distance to the plaza. Jim was friendly and available when needed. My husband and I highly recommend this gem in Las Vegas."
Ann,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","Super sweet bungalow just steps off the central plaza in Las Vegas, yet feels like you're in the countryside. Jim and Rachel have thought of everything. Cozy couch in front of the fireplace, fully stocked kitchen, comfy beds, interesting books, and lovely artwork and plants. Highly recommended."
Christen,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","We loved our stay at the bungalow, Jim and Rachel were kind, thoughtful and very helpful hosts. The house was beautiful and easy to stay at, only one minute from the plaza for restaurants and plenty of things to do. We especially loved the kitchen which had every amenity we needed. The bathroom was beautiful and had our favorite local spa's shampoo and conditioner. The living areas had plenty of books, games and gorgeous art. It was so restful to stay there. We will definitely be staying here again! Thank you Jim and Rachel for making our trip so much easier, beautiful and peaceful."
