name,rating_info,review_text
Megan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","Already looking forward to another visit and won’t hesitate to book again. Beautiful space, tastefully decorated, comfy beds, quiet location, had just what we needed. I would highly recommend staying here if you are in the area."
Harvin,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip","the place looked amazing, exactly as shown in pictures. Easy access and beautiful living room."
Laura,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","I really enjoyed my stay at Mara's space. I was in town for work and it was the perfect spot to come ""home"" to every day. It was clean & comfortable, looks just like the pictures. You can't go wrong staying here!"
Brenda,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","We ended up running into Mara and she was so friendly! She was welcoming and responsive when I texted her, and the place was adorable! It had a modern vibe and was very spacious. We had a cooler full and she allowed us to check in a few hours early so we could put our food in the fridge. She had a make-up mirror in the bathroom--I've never seen one in an Airbnb before! It helped me see to put my contacts in! I love the extra little things that she had throughout the space that made it a great and comfortable place to stay. Two of our kids shared a queen bed and the other two kids used the sofas which flattened out into beds. We will stay here again if we come back to Lawrenceburg!"
Monica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great location! Safe! Beautiful just like pictures! 10 out of 10! Highly Recommend!!
Brenda,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","This location is the best that I have stayed in since I started using Arbnb for lodging.
We felt welcomed here and had total privacy. The loft was above and beyond in cleanliness, friendliness, and furnishings.
We adventured to experience the Amish way of life in Ethridge and we did but this place of lodging was icing on the cake.
Thank you Mara. People are already asking about it."
Alicia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","We thoroughly enjoyed our stay at Mara’s place. It was very clean, beautifully decorated and had everything we needed. We stayed for a week and used the kitchen frequently to prepare meals. I was impressed by how all of the utensils and things I forgot to bring were readily available. Thanks for a great stay!"
Lindsay,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Very cute and chic loft space. Really enjoyed our stay at Mara’s. It is an awesome space to relax after a long day exploring. We were in town for a family wedding and it was a great location to easily get between Pulaski, Columbia, and Lawrenceburg. We even did a day trip to Lynchburg easily. Mara was excellent with communication and expectations and had a nice welcome book with additional information. I will definitely stay here again the next time I’m in town!"
Peter,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very nice and clean. I highly recommend. A+
Ginny,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Wonderful place to hosts friends. The place was so clean and welcoming. Mara was an excellent communicator and very responsive to my requests. Thank you!
Wanda,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",We felt right at home. Mara was a great host and helped us with our needs. The apartment was super nice. The beds were comfortable and the apartment seemed much bigger than the photos showed. Everything was great. We will definitely recommend to our friends. We hope to come back and stay again. There is so much to do in Lawerenceburg. They have some great shops and restaurants.
Avery,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week",Great host!
Jacob,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Beautiful loft above a business. The space was amazing and thoughtful. The location was perfect for me, right in the middle of Lawrenceburg. The hosts were friendly and informative, southern hospitality at it's finest!"
Tammy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Could not have had a more perfect place. We came to the area to stay to welcome my newest grandson.
Thank you for everything!"
Juanita,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",I really enjoyed my stay host Mara was very responsive. Great place will stay again ever in her area.
Gigi,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Beautiful and chic place to stay! Host is awesome and very kind. TY for your hospitality ❤️
Mark,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",This rental was very clean and wonderfully decorated. Thank you for a good weekend.
Amanda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",This place was very nice and clean. It had everything we needed including a toothbrush which I forgot. There was a cute coffee shop right across the street that was delicious. Instructions for everything were easily found as well as local recommendations. The bed was very comfortable. I would highly recommend this place and would stay here again.
Shannyn,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","This spot is a gem! Of all the available rentals I saw in the area, this one stands out aesthetically and is very affordable. Mara went above and beyond to have thoughtful amenities and clear instructions throughout the condo, and she was very friendly and prompt in all her communication. If we come back to the area, I will definitely stay here again!"
Dana,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Great space. Accommodating host. Highly recommend.
Janin,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",The apartment is well decorated (my kids loved it.) We we’re only there for one night but it had everything we needed and was comfortable. I checked the price of their place against local hotels and their place was a much better rate for what you get.
Aleisha,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Loved our stay at Mara’s place ! Accommodating our requests made for the perfect spot for our family to rest and relax for a couple days . Thanks again .
Shana,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Host was extremely accommodating and responsive to last minute questions. Loft was very clean and spacious. It was a surprisingly quiet location. We will definitely be staying here on future trips out this way.
River,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","This beautiful loft had everything you could want to enjoy a getaway. It was decorated beautifully, the beds were so comfortable, having the washer and dryer was a great plus. The state park was a short distance away and very fun to explore. Can't say enough good things about it. If you need to stay in Lawrenceburg we highly recommend!"
Janelle,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Great home! Thanks for hosting us!
Steve,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Mara, your place was even more comfortable than the pictures showed! It was in immaculate condition, everything including kitchen and bathroom was spotless and up to date. We were kind of sad when we had to leave!"
Lacey,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Cleanest Airbnb we have stayed in to date! Brad went above and beyond to make our stay perfect. We would absolutely rent from him again!
