name,rating_info,review_text
Paul,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Judith and her husband were very accommodating.We had an issue with the house that was completely out of their control and they offered a very generous solution to compensate us.i would highly recommend this house.
Kristen,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",This was the perfect place to stay. everything looked exactly as pictured. we stayed here for a gymnastics meet my daughter had the next day. Only wish we had more time to fully enjoy the house. Very cute and clean. My daughter did take advantage of the soaker tub and loved it.
Gina,"Rating, 5 stars
,
·
May 2024
,
·
Group trip",Super clean and exactly as described. Would definitely rent again if in the area.
Nancy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Judith was a wonderful host -
Lots of attention to details was evident in the home . Beds were so comfy . The home was very clean and inviting
Thank you Judith"
Rebecca,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Home was clean. Host was responsive and flexible.
Ryan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Exactly as pictured! Just what I needed.
Heidi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We had a great stay at Judith’s cottage! Everything was clean and had plenty of room for my parents and our two little ones too. The kids loved the open living room as they had plenty of space to play. Would highly recommend booking this cottage! Will plan to stay here again in the future!
Mickaela,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","We had a great stay here! Everything was so clean, and Judith made the instructions very short and sweet! Everyone in our group loved it!"
Rachel,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","The home was lovely, spacious, and beautifully decorated. The huge soaker tub was a relaxing way to end the day.
Judith was a wonderful host, and we will definitely stay there again when visiting Lewistown."
Lauren,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week","I booked Judith’s place for 2 months. I was new to the area for work, and needed something to get me through the winter months. Judith’s place was fantastic!! It is exactly how I decorate my own spaces. It was cozy and comfortable. She was always responsive with any questions or concerns I had. 10/10 would recommend to anyone!"
Serena,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Judith’s home was perfect for our stay in our hometown visiting family. The location was very convenient. The house was clean and cozy.
Stephen,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","Great place, plenty of towels and linens for the 6 of us that stayed. Downstairs bedroom did not get warm w heater - so we had to leave door open. Overall nice experience!"
Dwayne,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Judith place was awesome and beautiful. I love the home I love the bathtub everything was clean and just what me and my family needed to create memories for this holiday.
Janet,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","We had a very brief stay, between a Friday evening PSU volleyball match and a Saturday noon PSU football game, but the house met all our family’s needs. We wish it were a little closer than the 45 minute drive to campus, but we felt the price fairly reflected the distance. We appreciated the cleanliness and all the special touches…a lovely home away from home!"
Kathy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Judith’s house was perfect! Very clean, all amenities provided including bottled water in the frig, beds comfortable. The house is about 40 minutes from Penn State. Would definite stay there again!"
Savannah,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Judith’s cozy cottage is hands down the best Airbnb we’ve ever stayed in. It didn’t just look clean - it was CLEAN. The bathroom downstairs has a shower to help start your day, while the upstairs soaking tub is the perfect way to relax in the evening. Beautiful decor, bedding, and overall cozy atmosphere."
Nancy,"Rating, 5 stars
,
·
October 2023
,
·
Group trip","Judith's house was perfect! We were there for three nights for a family wedding (me and my husband, and our three adult children). The house is welcoming with a terrific open layout which provided both togetherness & privacy. Kitchen had all we needed - we even cooked a family meal . The beds were comfortable and cozy with high end linens...and fluffy towels. There is plenty of natural light throughout the house which added to its homey feeling.
The house was so clean, from floor to ceiling and corner to corner. Topnotch appliances - including full size washer & dryer, in a laundry room ! From the second we unlocked the doo, our stay was easy, and it was ""home"". There is a Walmart - which has everything, including a huge grocery section - about a three minute drive from the house.
Lastly, Judith IS a SUPER Host! She was quick to respond with questions and suggestions . Do not hesitate to reserve this house, whether for a Penn State game, family occasion, or just a getaway."
Zhishan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",The place is great and we spent good time their with a cozy sofa！
Viviana,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",The house was absolutely beautiful. It was so clean and so peaceful. Judith was so helpful and so responsive. There was absolutely no problems and I enjoyed every second in this home. The house was super easy to find and it was in a perfect secluded area. This house was perfect for a little weekend getaway. We felt right at home. I would 100% stay here again :))
