name,rating_info,review_text
Angela,"Rating, 5 stars
,
·
1 day ago
,
·
Group trip","We appreciated Jennifer's place so much the first time, we returned for our second stay! Great location. Easy and flexible check-in. I greatly appreciated the ample vanity spaces, plus 2 1/2 baths for ease of our family getting ready at the same time, and easy check out! Quiet neighborhood; clean; and just what we needed for our stay! We will definitely be returning in the future!"
Curt,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",Jennifer is a wonderful host!
Damion,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Beautiful townhouse 5 min off campus. Neighbors extremely friendly. Jennifer is easy to work with. Book this stay almost a year in advance and she kept in contact with me the closer it got to the date. If my daughter wasn’t graduating I would stay here every time.
Richie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",This was a great spot. We wish we would’ve known about this place my daughters freshman year
Tom,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very nice. Definitely would definitely stay again. Highly recommend
Ted,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Exactly as described. Accurate pictures. Super clean.
Joan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Very nice place to stay. We only stayed one night, but it was great. We had a little trouble with the keyless entry, but that was probably on us and not the host."
Annie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","We loved staying with Jennifer! She was so friendly, communicative and responsive. She made us feel right at home with all the little extras - bottled water, snacks, menu book and even a coupon for the WIU bookstore. We thoroughly enjoyed our stay and would stay with Jennifer any time!"
Wayde,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Best AirBnB experience I’ve had. Property was clean, well appointed, and comfortable. Checkin and checkout were easy and property is conveniently located just outside Macomb. Will certainly stay here next time we are in Macomb!"
Michèle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",House was beautiful. Quiet and very clean. Perfect for what we needed for a relaxing night!
Robert,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","The host was amazing! We asked to stay an extra night, the property was available, and they immediately accommodated. We were so grateful and appreciative. We could not ask for better hosts!"
Diana,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Jennifer's place was just as pictured/described/envisioned. It was very cozy and cute and clean! I was in the area for some work with 2 other colleagues, and we really enjoyed staying here.
Jennifer was also incredibly understanding about some last minute changes that our party had to do - really grateful for her flexibility!"
Ryan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Townhome was extremely nice. Spacey with 3 floors. Good neighborhood. Close to WIU. Host leaves a folder of local recommendations and menus. Cool little things like the “Macomb-opoly” board game (Macomb has ties to creator of Monopoly) and leaving coupons for the Leathernecks game.
Definitely booking here for future trips to Forgottonia!"
Christine,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Clean and well stocked kitchen with snacks! Easy communication start to finish.
Anne,"Rating, 5 stars
,
·
December 2023
,
·
Group trip",Jennifer is a great host and very responsive to questions and requests. Really helped our family gathering out!!
Bev,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Jennifer was the most responsive host we’ve ever had. She let us in a little early and while we stepped out, she brought some snacks just in case we needed a little something. Good place to stay and very roomy."
Savannah,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","Fantastic stay, friendly host, thoughtful amenities, very clean. Will stay again next time we are in Macomb"
Francisco,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Jennifer was great! We had a small issue checking in, and she resolved it immediately. Excellent service. She made contacting her super easy and answered any questions we had immediately. Next time we are in town I will definitely try and stay here again. She was a great host!"
Michael,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Jennifer always answers calls and texts. She is proactive and gave fantastic restaurant recommendations! I’m about to book with her again soon …
Charles,"Rating, 4 stars
,
·
November 2023
,
·
Stayed about a week","Jennifer is a responsive and friendly host, and was flexible when our departure date changed. The home is clean and reasonably well stocked. The snacks were a nice touch. If you have a group, be aware that the beds in the rooms besides the master are pretty small for adults, so plan accordingly."
Angela,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","The space at Jennifer's place was ideal for our overnight stay in Macomb ~ easy to find, great location for us, clean, and exactly as pictured! Easy check in and simple check out, too!
In particular, I appreciated the vanity space, the number of bathrooms, the comfy beds, and the nice little touch of snacks she leaves for guests.
I would definitely stay here again. :)"
Drew,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Was just perfect and relaxing and felt like home!
Steve,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",The location was great for three of us. We were bow hunting 20 minutes from the house and it worked out great for us! Jennifer was phenomenal with immediate questions I had about the house and even restaurant recommendations! We would defiantly stay there again!
Michael,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Jennifer always answered the phone and texts. It was a perfect stay. I’ll be back if she will let me …
Brianna,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Made our stay in Macomb easy; private patio, great little kitchen and laundry all were very nice to have. Little, thoughtful items like great coffee, extra shampoo & even cookies made it a 5 star stay!"
