name,rating_info,review_text
Tom,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed a few nights",Great option for staying near family in Richwood!
Pat,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",Beautiful home
Ayana,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Stay was great!
Robbie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Very cute place, host was very nice and patient"
Lyndsey,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Very cute tiny house! Exactly like the description. Would love to stay here again.
Ayana,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Very nice place! Very peaceful and host Donald very responsive and answered all questions I asked
Taylor,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with a pet","We loved our time at Donald’s place! It was a perfect getaway. We brought a portable dog gate to block the stairs, and this was super helpful."
Daniel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Great place to stay in the area! The spiral staircase didnt work for our dog, but we anticipated that might be the case. Would recommend staying if in the area again."
Mark,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",Cozy and clean. Will stay again
Paula,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I have stayed with Donald multiple times. I love that it is tidy, well equipped and walkable to explore the small town."
Sue,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Staying at this charming tiny home was an absolute delight! Despite its compact size, the space was utilized efficiently and everything was impeccably clean. The cozy atmosphere made for a comfortable stay, and the reliable WiFi was a huge plus."
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Such a fabulous stay! house is perfectly described... clean, had everything we could want! so quiet, clean, loaded with essentials and extra comforts. Donald is a very kind man and he goes above and beyond to make sure we were comfortable. we just loved his little house ... the town is quaint and peaceful with good food, clean air and walkable too. close to the columbus suburbs and attractions. really a gem!"
Andriy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","It's a fantastic little house and Donald is a great host, very responsive, would recommend and will book in the future!"
Juanita,"Rating, 4 stars
,
·
March 2024
,
·
Stayed about a week",Loved the different look with the spiral staircase and bedroom in loft was a good size. Wish there was a tv downstairs rather than in the bedroom but enjoyed our stay and had no issues
Paula,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",A cute small space with all the necessary amenities for my stay.
Bradley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Perfect stay for me and my two dogs. Very comfortable atmosphere.
Mahnik,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet","My small family loved the tiny home, even the dog slept great. It was a beautiful home and a good close experience for everyone. Very clean and organized as well. We truly wanted to make this our permanent home from all its charm. Mr. Donald was very kind, understanding and helpful towards us. Thank you for inviting us in your home. We had a blast and felt safe."
Paula,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Tidy, adorable and well equipped"
Kevin,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet",N/A
Betsy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Comfortable place to stay while visiting family nearby that's in a good location and convenient to the shops/ restaurants in Richwood. So glad to find a place that we could bring our dog! Thank you!
Kyla,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","Donald’s tiny house was great, very clean, good parking, and had all the amenities we needed."
Kyree,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",The house is beautiful and a lot bigger than you would think.
Dustin,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",absolutely perfect place to stay
Carlos,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We enjoyed Donald's cozy and peaceful place. It fulfilled our expectations.
Dustin,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",my stay was absolutely wonderful the tiny house was perfect had everything we needed and was clean and it was a peaceful place to hangout
John,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Donald has a great small place here. it's clean, with a great kitchen, living room, bathroom, even a dog bed. it's a real gem, quiet and small town all the way. it was a little tough to find, it's in the alley behind the house. Rockwood is small, no grocery store, so bring your steak and eggs! That said the kitchen is well stocked, with spices and extras that was super nice to find. If this sounds like you already, go have a great weekend."
Lauren,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Don’s tiny house is more like a modern spacious loft. Husband and I visited with our dogs for a wedding in Delaware. The location was perfect for us, there were lots of places to take dogs on walks and we felt right at home. Don was very responsive and helped us when we had trouble finding the house. We got there late at night after a 10 hour drive and he was so kind and called us to help. The kitchen has everything you need and then some and the bedroom and bathroom upstairs are so cool! We loved our stay and if we are ever back in the area, we hope Don will host us again!"
Browyn,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay if you want to get away! Fun local restaurants around and feels peaceful. Just how described!
Adrienne,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet",Very cool space. Clean home. Perfect for our weekend stay! Love that it is dog friendly. Easy access to Marysville and Delaware. Would stay again!
Christi,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights",Small house with big house feel. The interior is beautiful and very clean. Host had a very well stocked kitchen with just about any utensil you could need during a stay. Upper deck was peaceful to sit on and enjoy an autumn evening.
Tom,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Great place, great host!"
Emily,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great and quiet town.
Lisa,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Donald's place was very clean and comfortable. It was in a great location and close to our family.
Amber,"Rating, 5 stars
,
·
August 2023
,
·
Stayed over a week",The tiny home was clean and easily accessible. I had no troubles during my 2 week stay. Donald was each to reach and made sure I had everything I needed.
Mat,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Donald's, tiny home is more of a loft apartment than a true tiny home which in my opinion makes it even better. It's basically, a garage converted to an ADU and well done at that. There was plenty of room to move about and a nice kitchen. The town is small, peaceful, and everyone we met was very kind and friendly. A great location in the heartland of Ohio."
Alex,"Rating, 4 stars
,
·
August 2023
,
·
Stayed over a week",Everything was good
Taylor,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",It was the perfrct getaway for us while visit faill nearby. Felt roomie for a tiny house and layout well. We enjoyed our stay.
Michael,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet","Great place to stay, can walk to restaurants. extremely clean and is just as pictures show. Recommend."
Alannah,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",amazing place! donald was friendly and helpful!
Kelly,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","I enjoyed staying here. There is a nice park less than half a mile away. The whole place was super clean, comfortable bed and nice amenities."
Pete,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Cute place just perfect for a weekend trip to Columbus. Loved the park within walking distance and Kelly’s Kitchen was delicious!! House was clean and had all essential amenities. Donald was responsive! Thank you for a great stay!!
Skye,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",We had a fantastic time in Richwood at Donald 's home. it was so comfy cozy. we had everything we needed and we enjoyed the local restaurants!
Andrew,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Great spot in Richwood. Walkable to great restaurants. Window units cool down rooms quickly.
Rachel,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet","Donald was very flexible as I had needed an extra night to recoup from me getting attacked by my pup's LEASH tangled around my leg, causing me to fall headfirst. The accommodations are excellent, fridge full of stuff one needs to recover from a long drive. I hope he didn't mind me replacing it w/ Michelob Ultras!!!! I would go back again, it has everything one needs. Thank you again, Donald!"
Luis,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","My second visit, and everything perfect as before. Don and Marcie his partner-in-crime have thought of every detail to make this tiny gem cozy and relaxing. Very friendly folks and outstanding value. My favorite AirBnB stay by far."
Alexandra,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with a pet","Us and our dogs had a great stay at the tiny house! Everything was as described, very clean and comfortable."
Derek,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","Cozy, comfortable, clean. Had a very pleasant stay for 2nd time!"
