name,rating_info,review_text
Nicholas,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",Great place to stay if you are in the area! Host was friendly & responsive. House was clean and had everything we needed. Very responsibly priced. Would definitely stay here again!
Letitia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place to stay!
Julia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We had a great stay at Colby’s. Nice and quiet area of town. It was fitted with all the amenities we needed to cook meals and we really enjoyed sitting out in the back porch taking in the beautiful Spring sunshine. If we come back to town we will definitely stay here again!
Sarah Kate,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Always worth the stay! ❤️
Caleb,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great place to stay
Micheal,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Owner very responsive. Would stay again!
Luis,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Excellent home and host highly recommend
Ryan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Always a great stay. Clean and comfortable.
Jorge,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week",10/10
Jade,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",I would 1000% suggest you stay here! The house was great and had everything you could ever need. The host replied very quickly and even helped me out with a sticky situation. Would rate my overall experience 10/5 if I could!!
Luis,"Rating, 5 stars
,
·
January 2024
,
·
Group trip",Great host I recommend
Ryan,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","Clean, simple, peaceful. Thanks again."
Victoria,"Rating, 5 stars
,
·
January 2024
,
·
Group trip",Colby hooked us up last minute and provided great service to me and my crew! 10/10 recommend
Amy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","House was clean and comfortable. Host left clear instructions for checking in/out and was helpful with any questions. Convenient location in a safe neighborhood - no complaints about this one, we enjoyed our stay!"
Matt,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week",Nice little house! Had everything we needed and was central to everything we needed in town.
Anthony,"Rating, 4 stars
,
·
November 2023
,
·
Stayed one night",Nice place to stay!
Mindy,"Rating, 4 stars
,
·
November 2023
,
·
Stayed with kids",It’s was a great stay. The floors had some dirt on them but other than that it’s was clean and cozy! Thank you for letting us stay!
Rd,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",the house and owner have been great to deal with. Will use again when we are staying in mcalister. thanks colby
Bryanne,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",The twin beds were extremely comfortable. That was a great surprise!
Emily,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Comfortable, clean place to stay! Very convenient location."
Letitia,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week","We enjoyed our stay at this Airbnb. Nice peaceful neighborhood. Instructions for getting in, using the appliances, wifi, and TV, and the checking out steps were well written and clear. Colby was responsive and pleasant when I texted him.
House is comfortable, nicely updated, very clean, and well maintained. A very nice home away from home!"
Mindy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",this place was a perfect docking point for us while we were in town for my husbands class reunion. Colby left clear instructions and the stay was great! enjoyed the back yard patio and could even see the stars after a busy day of activities. Hoping this same place is available the next time we come to town.
Ron,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Great place to stay in McAlester! Would love to come back!
Kelly,"Rating, 4 stars
,
·
August 2023
,
·
Group trip",This place was a great value for the price. The hosts are very friendly and responsive. The home is very clean and equipped with everything we needed including new washer and dryer.
Haley,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Great place to stay when visiting McAlester, OK. Clean, modern, and conveniently located, Colby’s place is must."
Jesse,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Everything was great at this place would definitely stay there again!
