name,rating_info,review_text
Janice,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",Pat & Tom are fabulous hosts. Every little detail in their home was well appointed and clearly done with great attention to detail. It was absolutely spotlessly clean and fresh. We enjoyed learning the history of the home as well. We already booked for a second visit and are certain this will be our home away from home when we visit our son and his family in Meadville.
Dustan,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed a few nights","Great place to rest up on our weekend getaway. The apartment was immaculate, secure, and comfortable. The country setting was nice, and the property was easy to get to. The host was extremely responsive to any questions we had. We'll plan on staying here again when in the area. Don't hesitate to book this one!"
Chris,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Great place in a serene setting. Shower water pressure was the only disappointment.
Allison,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","The best AirBnB hosts we've ever had. Patty and Tom are so nice, they even helped us unload our car! The place was clean and comfy. The area is beautiful. Highly recommend. 🙂"
Lynne,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",I have stayed here numerous times and can’t convey how wonderful the hosts and accommodations are . Highly recommended!!!
Lynne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Will stay here every time I come to Meadville. Fantastic hosts.
Lynne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",My favorite place to stay in Meadville!!!
Mary,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We had a perfect stay at Doc and Alice’s Place. The room was lovely. I did not realize it would have a kitchenette. We loved being able to have breakfast and coffee in our place.
The town of Meadville is a cute little town. I would recommend a walk along the Ernst Trail."
Lynne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Have stayed here many times and will continue to . Great hosts and perfect accommodations. Will always return !!
Cristy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",My husband and I stayed for quick visit to see our son that attends Allegheny College. It was a perfect for us. Good location and comfortable space. Host was proactive with communication. And the bed was extremely comfortable!
Lynne,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",One of the best places I have ever stayed . Hosts are fabulous and very easy to get a hold of . Place is perfect and the hosts even have snacks and coffee. Will always return !
Andrew,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Clean, Comfortable, Convenient"
Tracy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",A great place for my quick overnight stay. Clean as a whistle. Patty is a great communicator. I’d definitely stay again!
