name,rating_info,review_text
Thomas,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week","Incredible stay from start to finish. Will try to stay here whenever I am in town. Dede was friendly, helpful and always responsive. Made my stay feel like home away from home."
Jacob,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",Great lot! Very large!
Jamal,"Rating, 5 stars
,
·
August 2023
,
·
Stayed about a week",Jeff and Dede are amazing!!
Teric,"Rating, 5 stars
,
·
May 2023
,
·
Stayed about a week",was really fast to answer questions. the place was perfect for a short stay while waiting to close on my house. I would highly recommend people to stay here!
Tiffany,"Rating, 5 stars
,
·
August 2022
,
·
Stayed over a week",This apartment was great and spacious! It was what I needed after a long day at work. I felt safe and had privacy like I like to have. The parking was convenient and well lit. Great location for me to get to my job 5 minutes away.
Saad,"Rating, 5 stars
,
·
May 2022
,
·
Stayed over a week",Great place in Meridian everything’s around my apartment
Darrin,"Rating, 5 stars
,
·
March 2022
,
·
Stayed about a week",Great location. Only a couple blocks to downtown. We were able to walk to several close by restaurants. Very spacious! Wi-fi worked good and the kitchen was well equipped. Would stay here again.
Ursula,"Rating, 5 stars
,
·
January 2022
,
·
Stayed about a week",Very cozy away from home !!!
Jessie,"Rating, 5 stars
,
·
December 2021
,
·
Stayed about a week",Beautiful place. Quick response to any questions. Could not have asked for a better stay or host!
Karina,"Rating, 5 stars
,
·
September 2021
,
·
Stayed over a week","Great stay! Awesome part of town, clean and big! Jeff is so nice and always a text message away 👍🏻"
Wayne,"Rating, 5 stars
,
·
September 2021
,
·
Stayed over a week",Downtown is a kind of interesting place. However Jeff's place is a very welcoming and friendly little community. Very safe and secure. Clean linens and all sorts of little things to make you feel at home while away from home.
Brandon,"Rating, 5 stars
,
·
July 2021
,
·
Stayed over a week","Great Apartments/Lofts in downtown Meridian – metropolitan loft living at surprisingly budget friendly prices.
Jeff and Sonya are a genuine pleasure to deal with, both make checking in a breeze and are always there should an issue* or question arise. We have stayed at every hotel/motel in town from the Drury INN to the Baymont and Microtel suites across from the mall – Lofts were hands down winner everything considered. Beyond the clear price comparison, each of the furnished lofts includes basic utensils, cookware, household items, wifi, full kitchens w/dishwasher, in unit laundry...and even complimentary supplies of laundry soap, dryer sheets and the like.
We can only speak for ourselves, but have traveled extensively both in the US and abroad and the overall experience would be hard to beat anywhere. Talking strictly within the Meridian area, during our (so far 7mth) house hunting journey we’ve stayed at nearly all available accommodations and are beyond glad to have found our go-to place/people for our future needs!
*Note: The only issue we had turned out to be ‘user error,’ cleared up within minutes of reaching out for clarity. (Husband couldn’t figure out how to use the shower and thought it was broken)"
Michelle,"Rating, 5 stars
,
·
June 2021
,
·
Stayed about a week","Great location! Super cool, historic building. Loved having a full kitchen and washer and dryer. I will definitely stay here again."
Lee,"Rating, 5 stars
,
·
June 2021
,
·
Stayed over a week","Best deal in Meridian if you want full featured apartment with kitchen, washer/dryer. Very open and airy. Walk to the best restaurant in town, Weidmans. Also can walk to city hall, Dumont Plaza, Riley Center for any events happening there. Generally quiet. Friendly and very helpful staff."
Cindy,"Rating, 5 stars
,
·
December 2020
,
·
Stayed about a week",Great location! Very clean and spacious! Jeff and Sonya are both great to work with! They are friendly and quick to respond to any questions or concerns. I will definitely stay here again.
Kevin,"Rating, 5 stars
,
·
November 2020
,
·
Stayed over a week","This place was in a great location, all the stores and restaurants where less than 10 mins away. While still sitting in a quiet corner of the town.
It’s a huge apartment much more space than one person can need.
Jeff was very accommodating, he was even working with me to find housing for my coworkers"
Belinda,"Rating, 5 stars
,
·
May 2020
,
·
Stayed about a week",Loved our loft!! Have nothing put positive to say about this place. Jeff is the bomb.com!! Thanks for everything and we will be back!!
Tristian,"Rating, 5 stars
,
·
March 2020
,
·
Stayed over a week",Everything at my stay was amazing!!!! The entire place was squeaky clean!!!! Jeff made sure I was well taken care with everything I needed.
Sarah,"Rating, 5 stars
,
·
January 2020
,
·
Stayed over a week","My husband and I stayed at Jeff’s place while moving back across the country. Our stay was longer term than the usual but he graciously worked with us and our ever-changing timeline while we waited to close on our home.
The loft was very spacious and clean with a full kitchen and a W&D in the unit. There was even a little goodie basket to welcome us! These small touches became tremendous comforts that went a long way while living out of our suitcases.
His hospitality and local recommendations made our adjustment to the area so much easier. We were less stressed knowing we had a comfortable place to call “home,” even just temporarily. I would absolutely stay with Jeff again and highly recommend his place to my friends and family."
Timothy,"Rating, 5 stars
,
·
March 2019
,
·
Stayed over a week",What was amazing about this location is that they decorated it great taste. Especially liked the iguana placard on the kitchen wall. The washer and dryer came in very handy. With in walking distance of the Brickhaus (the best hamburgers in the U.S.) Really enjoyed staying there while working at the Navy Base for over a month.
Eric,"Rating, 5 stars
,
·
November 2018
,
·
Stayed over a week",Very nice place and tall ceilings. Though close to the train yard were never a bother. Awesome to be down town and close to restaurants.
Megan,"Rating, 5 stars
,
·
Today
,
·
Stayed with kids","Staying at Jim's place was very nice. I felt comfortable there and everything was just as he described it. Check-in was super easy and all of his directions were spot on. It is a historic home, full of charm, but it also has all of the modern comforts desired. The bed was super comfortable:) If I ever find myself needing a place to stay in Meridian again, I will definitely check here first."
Angela,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed one night","Nice little suite with sitting area and well equipped kitchen area. All was very clean and neat. Had a real back then feeling. Neighborhood and yard was somewhat unsettling, but neighbor was very helpful and inside made up for outside. Would stay again. Great deal for the price."
Anthony,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Very friendly and helpful host
Daniel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Beautiful old mansion within easy distance of downtown Meridian.
Amy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",satisfied
Kimberly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Easy self check in. Spacious, clean, adorable stay! One of my favorite air bnbs I’ve ever stayed at! :)"
Jen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",We really enjoyed spending a night in this historic home. We felt welcome and found everything we needed. Happily recommend.
Janie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","We needed a place to be close as our Mom is dying. Jim was extremely helpful with our request and the home was so beautiful it was a nice distraction to our situation. Our Mom would have loved the beautiful history and beauty of this home.
Beds were super comfortable, had everything we needed there and more. We will be back."
Scott,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Jim’s place is beautiful and historic… It was so convenient to the MSU, Riley center and downtown… I would definitely stay there again!"
Paul,"Rating, 4 stars
,
·
March 2024
,
·
Stayed one night",Jim has a cool old house. Brings back memories from long ago.
Megan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",We love this stay! This is the second time we’ve picked Jim’s place. It is clean and welcoming. Decorated with beautiful antique furniture. We love how comfortable the huge bed was! The kitchenette helps to make the room perfectly accommodating. The house is in the perfect location to be able to safely walk to downtown Meridian.
Venisha,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great host
Patience,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great location and beautiful accommodations! We will not look further when visiting Meridian again. This was the perfect stay for us. Thank you!
Hasani,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",Pictures are accurate. Bed is incredibly comfortable. Jim was very responsive
Paul,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Staying at Halford House was like stepping back in time for a visit to Grandmother’s house, except it has the modern conveniences we’ve come to expect.
Our stop was a quick overnight on the way to Texas, and we try to stay here again."
Hayley,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Jim was very accommodating for me! The home is unique and beautiful!!!
Sarah,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night","We appreciated the very comfortable bed, and enjoyed staying in an historic home."
Tabitha,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",As always we enjoyed our stay at the halford house 😊 We will be back next year !
