name,rating_info,review_text
Danielle,"Rating, 5 stars
,
·
May 2024
,
·
Stayed over a week","Wonderful place to stay, especially if you love the outdoors. Many wonderful animals on the property that are friendly to interact with. The house is clean and looks exactly like the photos. Situated in a peaceful rural area. The hosts are wonderful people and readily helped me out with anything I needed. They are also quick to respond. Overall great place."
Dania,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Thank you Mary and Chad for your gracious generosity & accommodations. Both you and your husband's kindness and hospitality altered the course of the visit and truly blessed us. God Bless you❤️
Jenna,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I would stay here again! The description is accurate, the wifi worked well and the hosts & animals are very friendly. The water pump (?) was loud when I turned on the water, which startled me the first time, but isn’t a big deal. Great place for the price point. Everything was cozy and felt safe for a solo female traveler"
Don,"Rating, 2 stars
,
·
December 2023
,
·
Stayed a few nights","Disappointed. My wife and I love to travel and visit off the grid and unusual places. But we expect two things from Airbnb locations. Clean and comfortable. This place was dusty and the bathroom was impossible to make it clean and sanitary. The ""compost toilet"" was a 5 gal plastic bucket under the seat of an old chair. The ""lid"" was a rough, unsealed board that could never be sanitized because of the nature of the wood. The lid would not stay up on it's own, you had to hold it or have it lean against your back. We've used compost toilet's in the past, but nothing like this. If the seat could be sanitized it would be different, but this could not be. This location would be great for the spring thru fall but is not suitable for the winter. The little window unit AC ran constantly trying to heat the room and was VERY noisy. It was not large enough to adequately heat the room. It was so loud it made sleeping very difficult. It ruined any of the expected ""peace and quiet."
Diana Marfleet,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Beautiful place in a beautiful area! It was so peaceful. Mary was a lovely host and described everything perfectly in the listing. There’s a great pyrenees named Salvador and he greeted us with a wagging tail and a huge smile. There was also a cat that wanted to be around us that snuck into the bnb and our car which was hilarious. The cat let us pick it up and plop it back out into its own domain. The only thing I wasn’t a fan of was the bed, I woke up with a tight and sore neck (it was super soft and I like a hard mattress but that’s just a personal preference) but other than that this place was absolutely perfect."
Joshua,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",great stay
Melissa,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","My son and I needed to get away for a few days and enjoy some peaceful time, Mary's place was perfect for us. The Bo hotel is decorated so perfectly! We loved the vintage stove and fridge! Everything was perfect!"
Mindy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","Mary explained their place perfectly! We enjoyed the remote location, waking up to the roosters crowing, cats a stirring and the woods carried so many birds and other life. Mary, Chad and the kids are living a life so many of us are to initiated by. If only more of us could take a few life notes from them; our world would be a better place. They are a blessing!"
Baylee,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Mary was awesome as always! Loved checking out her new place as we’ve stayed in her other Airbnb a few times! Awesome little get away but not super far away from town where you can still go eat and go to the Walmart. Super cute Airbnb and awesome experience getting away for a bit. Thanks for everything Mary I’ll be back!
Lisa,"Rating, 3 stars
,
·
November 2023
,
·
Stayed over a week","The place took some getting used to but was overall pleasant stay. Hauled water system makes many noises, most of which are no cause for alarm. Mary was helpful and communicative, responded quickly which was appreciated but some additional ready info could have made things a lot smoother. Can't weigh in on the shower/tub as I never used it. I had family nearby so just used theirs since the water was quite loud and I wasn't clear on how much I could use so didn't feel comfortable. The bed was comfy but sheets and blankets could all have done with a thorough wash as some had noticeable pet smells and stains. Generally though, the house was comfortable and had all the necessary amenities. WiFi was good. All the animals on the property were lovely and friendly, dog, cats, and chickens all wander around in the yard nearby and some even come up for a cuddle."
