name,rating_info,review_text
Jairo,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with kids",Great place to stay! Snacks and drinks included XD
Jon,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Everything was perfect. Felt super comfortable and the home was very clean. Had toys for the kids to play with. And the snacks came in super handy because we were all too exhausted to explore for food. Definitely recommend this location to anyone.
Kristopher,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","This place was perfect for our young family with small children. Place was clean and had all our favorite snacks and drinks waiting for us. We will stay again.
-Kris"
Rob,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",This place is great!!!!
Rob,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great Place
Jaime,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Don's place is a great find. There was a nice assortment of snacks and drinks to welcome us. Everything was clean and well stocked. Lots of games, puzzles, movies and books to entertain you. He also provided an informative directory. I will definitely book again when in the area."
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Very comfortable accommodation for our party of four adults. Would definitely stay again and recommend to others. Beds were comfortable. Location was quiet and easy to find. Host had thoughtfully provided everything we needed and more.
Eric,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",don thank you for an amazing stay.
Mackenzie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Don’s place went above our expectations! The kitchen was well stocked, the beds were comfortable, and everything was very clean. We enjoyed the easy drive to both downtown sites and the highway. The grocery store was just a block away, but the house was in a quiet neighborhood. We also loved watching some of the DVDs!"
Rob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",I appreciate Don’s Hospitality and Flexibility with all elements of my stay.
Cain,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great location, easy to check in and out. We love staying here! Will definitely be back! Don is a great host!"
D. Tyler,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","We have stayed in a lot of AirBnBs over the last few years, and this may've been the nicest, cleanest one I have stayed at. Truly outstanding. The photos in the listing didn't do it justice. The neighborhood was quiet and near grocery stores (which is important to us). And Don was super-accommodating with a request we had. Just and outstanding experience."
Rob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Don is a great host. He is very accommodating and friendly.
Jennifer,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Don's Airbnb is one of the best I've stayed in. It was very clean and represented well by the photos. He provides a very handy local guide which includes the amount of time to arrive at the destinations. Don is very kind to provide a basket of snacks and beverages in the refrigerator. This lodging is very quiet - no traffic noise, no train whistles, or loud neighbors nearby. Don even provides covered car parking. Don is a great communicator too. If you are visiting Montgomery, this is a fantastic place to stay! I would definitely stay here again!"
Susan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","This is my second time staying at Don's, always very clean and cozy as described."
Rob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Don is very accommodating!!! Overall OUTSTANDING!!!
Kaylei,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Enjoy the stay !!!
Annie Percy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Don's place is quite lovely. It is set up for families and with almost anything you would like (looked like he had a playpen, toys, crossword puzzles, movies, etc. for family fun). He left a basket of snacks on the table and more along with drinks in the refrigerator. It had all the amenities of a hotel but with the feeling of being in someone's home. :) The only thing that wasn't a 10 was the pillows on the bed. They were pretty fat and I'm more of a down-filled pillow person. But that is me. I would stay here again! The price is great for such a lovely place to stay in a quiet neighborhood. Thanks Don!"
Alysia,"Rating, 4 stars
,
·
February 2024
,
·
Stayed one night",Very nice and spacious. The kitchen was fully stocked and the snacks were an added bonus.
Rob,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great Place!!! Great Host!!!
Jared,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Wonderful stay as always thanks again Don!
Gene,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","The place was PHENOMENAL, CLEAN, everything seemed new, decor was great, the extras were SUPERB, Snacks, beverages, books, games, a playpen if needed, toys etc.
And the price was FANTASTIC 😊😊😊"
Lydia,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","What a wonderful place! Spacious, spotlessly clean, with every comfort you could ask for. As a bonus, absolutely everything was labeled and clear, and every question answered before we could ask. I highly recommend!"
Barry,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Our only regret is that we got to stay in this lovely house for just one night! We hope we get the chance to come back someday. . Beautifully kept house. Comfortable, inviting, restful, and fun.
Well stocked with games, puzzles, books, and videos.
Kitchen and bathrooms work great, as well as being beautiful."
Mike,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Quiet and convenient for intended purpose of visit.
Kimberley,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","Don’t hesitate, book now! We were very pleased with Don’s place! Was the perfect size for the 4 of us. The extra details and thought put into creating this comfortable and peaceful “home away from home” were very much appreciated. Stores, restaurants and… Starbucks are all within walking distance - a big plus! We will definitely stay here again when we are back in the area!"
Kenneth,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Had a wonderful stay. Thanksgiving visiting the grandchildren who are close by was outstanding. Thanks Don!
Bob,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night","Don’s place is one of the best AIrBnb stays I’ve had. Roomy, clean, private…..very comfortable. Generous snacks, drinks, coffee provided. Don was very easy to communicate with. To top it off: it is a great value!"
Marissa,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Don’s place was excellent. Had all the amenities and more. The neighborhood was very safe and the house was perfect for our weekend stay. Would definitely book here again.
Gwen,"Rating, 4 stars
,
·
November 2023
,
·
Stayed one night","Don’s place was fully stocked. We appreciated the snack and drinks he provided. We arrived at night and he left the lights on for us. We were happy to walk to a Mexican restaurant nearby after a day of driving. Great, clean quiet place to spend the night. We would recommend for sure!"
Shihjong,"Rating, 5 stars
,
·
November 2023
,
·
Stayed about a week","A very comfy place to stay, everything in the house reflects the host's care and thoughtfulness. I am very happy we found Don's place."
Aaron,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Very good stay. Would stay here again if i ever need another one in Montgomery. Very responsive and very nice place.
Kimberly,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Great little place! Will stay there again when we need a place in Montgomery!
Stephen,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",A nice place to stay in Montgomery.
Rob,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",As always Don was great!!!
Britney,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Everything was wonderful. Loved all the toys and snacks for my kids. Thank you soo much Don for Everything!!!
Jalen,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Great guy! Amazing BNB will be back!!!
Kathy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","this was my second time staying here and it was great. Convenient location, very clean and much attention to details.
Would highly recommend!"
Meaghan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Stop looking - this place is a gem! Extremely clean, well-stocked and detailed. After a long drive, coming in to find snacks and toys kept everyone sane while we made dinner. We appreciated all the fine details such as cute labels throughout the house so everything was easy to find, puzzles, and USB ports. We will surely be back on road trips through Montgomery & will return to Don's thoughtful place."
Jessica,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","We plan to stay at Don’s again if we’re ever in Montgomery. It was the perfect space for our family of 4 for a soccer tournament. The house is so clean, newly remodeled and is in a peaceful neighborhood surrounded by trees. The home had everything we needed and more. We were touched by the extra touches he provides throughout the house. He was very accommodating to us!"
Claude,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",A GEM OF A PROPERTY AND HOST
Brenda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","This place was great. So clean and so cozy and quiet. I wish I was staying there longer. Very, very nice. If I could give it more than 5 stars I would. Highly recommend."
Lee,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Wonderful place. Had anything you would ever need for your stay. Well decorated and extremely clean. Private location with covered parking. Highly recommend and would stay again if ever in the area.
Rob,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Thank you Don. I appreciate your kindness and the stay was OUTSTANDING!!!
Glenda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","when I go back anywhere near this location I want to stay at Don's place!. He has thought of everything. if you are traveling with children, he has you covered! The adults are cared for as well. This is a must place to stay!"
Dustin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Highly recommend this Airbnb.
The location is secluded and private. Check in was a breeze and the instructions were crystal clear.
Don made sure to have beverages for all ages stocked in the fridge with snacks on the table.
Board games and movies were provided along with toys and activities for the children.
highly recommend this property and will be looking at returning if we are in the area again."
Brandon,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Such a great place to stay in traveling into the area!!
Tomas,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Very clean, I recommend to anyone looking for nice place."
Rob,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",OUTSTANDING!!!
Judy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This place was AMAZING!!!! Peaceful and charming :) I really don't know where to start.... He was so quick to answer.......We got into town and hour early asked if we could check in and pay the difference and Don without hesitation said IT'S READY FOR YOU NOW AND NO EXTRA COST... That is rare in these days. Got tho the house ( is so eay to find) the neigherhood is so peaceful and like you are at home. Got into the house ( easy peasy) and what a treat it was so nice , inviting, and warm ( well cool, it was hot / muggy but not inside..LOL) they really did offer so many nice things..snacks on the table as soon as you walked in the door kids toys ( my grandson had a blast with every one of them) to drinks stocked in the fridge THANK YOU we enjoyed them..... :) Oh and I have never stayed at an Airbnb that told you NOT to take bedding off, take trash out, this was a first and a very nice touch."
Maurice,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Great stay, w/ responsive host and comfortable conditions"
David,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Exactly what we needed. Clean with no negative surprises, tons of family-friendly amenities and the best hospitality I’ve received at an AirBNB in a long time!"
Didier,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Very good weekends at Don's
Angelique,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Everything we needed was provided. There are lots of board games and toys for my little one which kept her busy. The place is beautiful, cozy and spotless clean. We loved our stay there and Don is very responsive and accommodating. I would definitely recommend his place!"
Nathan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Don is great at communicating and his place exceeded our expectations!
Rob,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",OUTSTANDING
