name,rating_info,review_text
Kimberly,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","We enjoyed our stay at Brent's place. It was super clean, quiet, and well supplied with everything you might need. We especially enjoyed the private back yard area to grill and eat outside. The bed was very comfortable too! Thanks, for a great stay."
Adam,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","We had a great stay at Brent's place - the studio was PERFECT for us, it was a great value, had a nice back patio and was just easy all around. We loved it. And Brent was a wonderful host, communicative and helpful. We would definitely stay here again!"
Kaylah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Very private and had extra towels and bedding.
Peggy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great stay! With my work I stay at a Airbnb every weekend eight months out of the year and this was a great choice. Quiet comfortable everything you need close to whatever you wanna do in the area. Thank you!
Joseph,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Great place for myself and son
Heath,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Place was great, perfect for what I needed."
Andy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Wonderful space and very attentive and helpful communication from the hosts.
Adeliya,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place to stay when in MP. Accurately described. The home has a cozy open floor plan, nice size fenced backyard with a grill, kitchen stocked with all you’d need to make a meal, comfortable bed, and very close to CMU and Soaring Eagle!"
Paul,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",My wife had a great stay here and said she’d come back again.
Taylor,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Our second time staying here-very clean and comfortable. We’ve never had any problems. And location is great!
Katelyn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Wonderful stay for our soccer tournament weekend, great location, private yard, would stay here again! Their attention to detail was very accommodating!"
Travis,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",I will be looking forward to staying here again.
Jane,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","We spent several nights at Brent‘s place. It was very clean and comfortable. The kitchen was well-stocked with cooking supplies, dishes, towels and wash cloths. The apartment was very clean. The bed was comfortable. We would definitely stay again."
Taylor,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",We had a great stay. Place was accurately described and clean. Definitely no complaints!
Oluchi,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","I had a good stay. The place is neat and is as is in the pictures.
There was initial problems with operating the key lock access, someone had to come and help me out. I have advised the host to include a video to aid guests."
Adeliya,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Great host! Great and cozy place to stay any time you’re in mount pleasant to visit friends, family or the casino!"
Lisa,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",My dtr is a student athlete at CMU. I booked this place knowing I would need to help her recover after her knee surgery. It worked out perfect. Very clean and the location was perfect. I would def stay here in the future.
Joe,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Really enjoyed our stay. No issues very easy to enjoy the weekend with such a nice place to come home to.
Shelby,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Very nice place, close to campus!"
Karrie,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",The place was extremely clean and well decorated. We had to reschedule our visit and Brent was very accommodating. Perfect place to stay for events at Soaring Eagle Casino.
Tonya,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",It was conveniently place for the plans we had for the weekend. Very clean! Loved the book he had of the area. Found a great restaurant. Thanks for hosting us!!
Audra,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","This airbnb is even cuter in person! Peaceful and welcoming surroundings around the home. Has plenty of space for a couple and if an additional person is ok with sleeping on a twin air mattress, there is space and sleeping room for one more. There is no queen air mattress as stated. Sleeping on the comfy reclining couch could allow for a fourth. The private backyard and deck was great to sit at for sipping coffee. They have added a small table and chairs off the kitchen to sit at and a table and chairs outside on the deck as well. A wonderful stay overall 😊"
