name,rating_info,review_text
Breelynn,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",This is our second time staying with Wanda and as always it was amazing and made our vacation memorable. Can’t wait to visit again!
Jessi,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed about a week","Perfect! Perfect! Perfect! We have stayed at Wanda’s place several times, this is by far our favorite place! Great location, amazing views, super cozy! Wanda is very sweet, she always checks in with us to make sure we are satisfied and to ask if we need anything. We cannot say enough about her or her place. We will definitely be back again!!!"
Kenan Burak,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Thank you for hosting us. It was a great experience.
Cristian,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",The place had an amazing view of the 🏖️ i would recommend to anyone that is looking to go to the beach
Christy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",perfect for a weekend getaway for just the two of us! close to everything and amazing view of the beach!
Christine,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights",It was perfect for a 3 night stay as we walked the beach and to restaurants and Starbucks.
Natalie,"Rating, 4 stars
,
·
April 2024
,
·
Stayed with kids","The price reflected the space well. As she notes, it is a smaller room but with everything you need. She notes the recommended amount of people who should stay and I definitely would not try to push that. The free parking is nice but sometimes hard to pull in and out when it is busy. It is also on the top level with a beautiful view but I did not stand out on the balcony for my own personal fear of heights (it is very small like the room). Just hope someone finds this helpful. Definitely worth the price she is asking for and very clean."
Marissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Beach access, clean, poolside lounge chairs and hot tub. Hotel bar open on weekends only in offseason. Beautiful view from room. Nice balcony"
Anne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place to stay on the beach! Wanda adjusted my dates due to weather and it was much appreciated. Recommend!
Chanda,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Nice stay. Wanda was very responsive and helpful. Only issue was rowdy neighbors on our last night and they were feeding pigeons in the walkway in front of our room so there was bird poop right outside the door. The room is a little small but it was comfortable for my husband and I. Great location and we will definitely consider on future trips.
Daniel,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Wanda was such a great host. It wasn’t too far from the boardwalk, very close to boardwalk at the beach, and everything listed was included. She literally has everything you need from extra towels, rags, bowls and silverware. You have access to the pool and hot tub which was really nice and plus the breakfast which was complimentary for staying in the building! Would definitely book again, thank you Wanda!"
Shikha,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great location, right at the beach. Resort amenities were good and the view from the room was gorgeous. Place was nicely maintained and had everything you need for a weekend getaway. Wanda was very responsive and her instructions clear!"
Mahlon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Was a great stay! Super affordable for 4 people and it came with great views in a great part of Myrtle! Wanda was very responsive and helpful throughout the entire process. The resort was awesome with great amenities and a welcoming/helpful staff.
Les,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great condo with an exceptional view.of the beach for day and night. great instructions to check in and to enter. easy free parking included, and a great location. price was very good for a nice unit."
Nina,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Wow, what can I say…… this place was absolutely perfect. Beautiful view and super clean. Mrs.Wanda was very very nice to me! I really appreciate her hospitality. The next time I visit, I will be sure to make sure this place is available!"
Beth Ellen,"Rating, 4 stars
,
·
February 2024
,
·
Stayed a few nights",Fine place for price. Very small and lots of stuff. Not enough room to lay down a yoga mat. I would not stay here with more than one person.
Susan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",We loved our room and the view from the balcony. The heated pool in February is to die for. We can't wait to come back.
Sarah,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","We stay here every year, and it's always clean and well-stocked with everything we need. Wanda is very responsive."
Shatearra,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Greattt
Malik,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Place was very clean ! Great price and good recommendations on a piece of paper with her personal cell. No complaints !
Nancy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Condo was perfect for a few nights away for my husband and I. This is the second time we have stayed in Wanda’s penthouse. Great amenities, beautiful view of the ocean, and the wall fireplace adds a perfect touch."
David,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",I really enjoyed the ocean view. It was nice that there was toiletries in the bathroom since I forgot shaving cream. Wanda is a very clear communicator and did an excellent job giving direction. I had some noise and Neighbors on the last night but the service desk took care of it promptly. I would stay here again.
Wendy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We had everything we needed for a short trip and it was close to everything!
Dorian,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","My stay with Wanda was awesome. She was friendly, gave clear instructions, and was very helpful throughout my stay. My room had such a great view of the ocean. The resort itself is in a very convenient location, and not too far from anywhere important you'd want to check out. My room had everything needed, and my family quickly felt right at home. I had an awesome stay with Wanda, and will definitely stay with her again. I highly recommend you book with Wanda if you have the opportunity."
Tammie,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Great views and loved having Starbucks in walking distance!
Cathy,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Perfect get-away and very reasonably priced. Comfortable bed and easily accessible. We will use again, if the need arises."
Jennifer,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This getaway at Wanda’s was exceptional. Everything was as described in the surrounding area was beautiful with a great deal of things to do. Highly recommend, and we will be returning. Thank you Wanda."
Derek,"Rating, 4 stars
,
·
November 2023
,
·
Stayed a few nights","Clean, very convenient to everything."
Sanquinetta,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Good morning Wanda!
Thank you so much for an awesome weekend at your place. I truly enjoyed myself while I was there. Everything was perfect."
Ginger,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","The view did not disappoint! Beautiful ocean sounds and sunrise.
Very nice people at the desk as well.
Felt comfortable here."
Linda,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Wanda was a great host. She provided everything we needed.
Tess,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","We absolutely loved Wanda's place! Great location, clean, and exactly what we needed for a quick weekend trip. I highly recommend this stay, and I hope to be back in the future!"
Lauren P,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","The view is unbeatable. It's exactly as described and in the photos. Wanda is very responsive and incredibly kind, I really enjoyed my week there and I'd absolutely go back again."
