name,rating_info,review_text
Theresa,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Very nice little place above the garage! Great for our short stay.
Tiffani,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Stayed overnight to breakup a long trip. It was perfect for our small family of 3 - better than paying the same price or more for a hotel. Jane was very responsive to our questions.
Cherry,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place for two and so conveniently located to downtown Newberry. We loved everything about our stay.
Thank you
Cherry"
Wes,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great stay as always!
Kori,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The space was perfect! We were visiting for Newberry College Orientation. We were a super short drive to the college. The space was extremely comfortable and clean. Off street parking was a bonus. We had an excellent stay and would love to book again the next time we are in town.
Sean,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","We enjoyed our brief stay. It was very clean and comfortable and was an ideal location! Thank you, Jane!"
Laurie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The place was great. We were in Newberry at the beginning of the week and many places were closed. I would enjoy going back on the weekend and explore the stores and restaurants.
Charla,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Jane’s apartment was perfectly appointed and very accurately described. The apartment is surprisingly comfortable and spacious inside considering its actual size….my son loved the curved shower! The use of space in the kitchen is well designed and very functional. Jane was extremely responsive to my multiple questions and very pleasant. I would highly recommend both her beautiful apartment and her as a host.
Todd,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Beautiful little place. Felt very new and clean. Bed was very comfortable. Very peaceful place and area. Easy walk to downtown and short drive to Newberry College.
Philip Peter,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",it was really nice and very good communication from Jane
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",My husband and I stayed in Jane’s guest house the night after our wedding and it was a phenomenal space! So inviting when from the moment we walked in the door! Jane was quick to respond to every question I had and was so very friendly!
Wes,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Second time staying at Jane’s Carriage House. Really peaceful, clean and spacious rental right in downtown. And Jane is fantastic!"
Andrea,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place to stay-especially if you have a student at Newberry College.
Robyn,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Thank you for sharing your home with us Jane, we enjoyed our stay! I wish we could have stayed longer! Jane was excellent with communication, the check in and out process were very easy! The guesthouse was very clean and cozy! I would definitely stay here again."
