name,rating_info,review_text
Amanda,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed one night","We loved our stay at this beach cottage. It was perfect for our family of 4, including 2 older teenagers. The view is amazing and we loved sitting on the bench in front of the cabin to gaze at the beach and ocean. The location was great. An easy walk to shops, restaurants, and beach access. The neighborhood is so close to everything in Newport but quiet. The cottage had everything we needed and was very clean. We made a simple meal while we were there and had everything we needed. Gina was very responsive and worked with us to make check-in and check-out easy. We will be back again!"
Samuel,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Amazing stay, highly recommend!"
Ruben,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","We had a great stay: short but very satisfying! Everything was top notch. Beach has to be accessed by leaving the property and going 100 yards or so to get to stairs! It's physically taxing so be prepared!
EVERYTHING was very convenient! The amenities are well thought out: the various chargers, folding chairs, a frisbee and the supplies of basics, bathroom was immaculate!
Highest marks! Thank you!"
Monica,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Such a fun place! The weather could have been better, but that’s nothing we could control. The location was amazing and the place really cute. Highly recommend!"
Alicia,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","The view the view the view!!!! Gina’s place was very clean , had all the amenities you could need, very cozy with nice touches, but the view was the star. I don’t think we ever closed the curtains. From sitting at the window staring out to sitting on the bench outside watching the sunset the view was so spectacular. Area was super walkable with tons of shops, restaurants, and cafes. Will definitely stay again."
Leah,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Beach Bum Bungalow #7 was very clean and matched the description/pictures perfectly. The view was outstanding and the area was great for walking around town. Gina was extremely fast with responding to questions, which was very appreciated. The only negative is that the shower is small and tight for those that are tall or larger built. My teen son is 6'1"" and had to shower on his knees to fit under the showerhead. While it made us chuckle, it may not be that easy for others to handle. Other than that, we absolutely loved our stay! Thank you for such a lovely place."
Kristen,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",We had such a peaceful and relaxing girls trip. The bungalow was absolutely adorable and beautifully decorated. Thanks so much for sharing with us!
Crystal,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Great location, close to the beach and restaurants. The bungalow was clean and inviting."
Anna,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","My husband and I stayed for a week with our 4 year old and 1.5 year old and had a great time. Beautiful view, quick walk to the beach and shops, and the kids loved all of the decorations to look at outside"
Max,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids","I was a very cute little cabin over looking the ocean, within walking distance to coffee shops and restaurants. What more could you ask for"
Kristi,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Quaint, cute space with a wonderful picture window ocean view. Walkable to the beach and town. Gina was so kind, flexible and responsive. We really enjoyed our stay!"
Lisa Marie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",we booked this place for my dad and younger son. This was my dad's first trip since my mom died two years ago. The Oregon Coastbis full of memories for him so we did not know if even his adult grandsons could lure him out here (we live here). This bungalow was the icing on the cake. A beautiful peaceful place he had never stayed where he could build new memories. The quiet calm location so close to amazing restaraunts and the beach is absolutely perfect. The cozy homelike atmosphere in this historic cottage with indescribably stunning views and a kind thoughtful host makes this a place our family will book again and again.
Spencer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great spot!
Monika,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",What a great place! Restaurants and shopping are super close walking distance and the ocean view is right outside your door. Leave your window open at night and you’ll fall asleep to the ocean waves. We will be back!
Jason,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I forgot to logout my streaming apps, but Gina went above and beyond and had housekeeping do it for me. Clean linens and actual Calphalon frying pans that worked!! Thank you Gina and staff. We were able to unplug and felt like the bungalow was from a bygone era. Cheers!!!!❤️😉"
Laura,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","A delight! Amazing views, great price. Will definitely come back again."
Wyma,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","A remarkable ocean view, and close to the Visual Arts Center where we attended the Newport Paper Arts Festival. It was clean and all needs were provided. Hosts responded quickly to questions or concerns.
The whole house was free of mildew and musty smells and it was tight and so well maintained. Parking was adequate for two cars for our place."
