name,rating_info,review_text
Kelly,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Great house, we enjoyed our stay as we were only a mile from
Our relatives home that we were in town to visit."
Scott,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","When needing a place to stay in Norfolk, don’t pass this place up."
Maxquint,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip","Beautiful, spacious, comfortable and clean. Modern decorations. Beautiful yard. Loved the open layout and big windows. I would easily book again."
Carrie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","My parents and I were attending a graduation and wanted something more comfortable than a hotel room. This house was perfect for our needs. The beds and linens were so comfortable, the kitchen had everything we needed, the windows all through the home were exquisite, there really was nothing Danielle had not thought of. The furnishings and accents were on point and tasteful. For me the ideal AirBnB is a space that could be your second home. A space that feels like it could be yours - comfortable, well-appointed, and peaceful. This house was all of this."
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great communication and exactly as described… looking forward to our next stay.
Angela,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We loved this home. It provided every need we had for this trip. It was beautifully decorated, the kitchen had ample supply of updated cookware and appliances. The laundry room had everything we needed and same with both bathrooms. The place was very clean and and made me feel comfortable and safe. The bed was very comfortable. I travel with a bedtopper and sheets and did not need them. We loved all the windows and looking out from the hilltop down to the city lights. We also enjoyed walking the neighborhood each day to get some exercise. The one car garage was perfect for our mid size suv. It has a large back yard that we could enjoy with kids or a dog, play some lawn games etc. The host was very responsive and had a welcome brochure with local restaurants and activities etc. We loved this place so much, we are booking it for a family reunion event coming up this summer."
Shanna,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","This was my second stay at this house, and third at one of Danielle’s properties. We always enjoy our stay, and appreciate all of the care and details she puts into her properties."
Patricia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","My husband and I and 2 of our grown children, son in law, and one grandchild stayed during the process of my brother's death and funeral. Danielle was very kind and understanding during this difficult time. The house is beautiful, clean, and everything we needed was there for our comfort. The view out the East top floor living room windows is breathtaking! I would love to stay here again, and will book this house if it is available on our next trip to Norfolk."
Christa,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",This house is beautiful and we had a wonderful stay. Thank you very much!
Rick & Sheila,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",We stayed for 10 days. Very comfortable beds and linens! Spacious and uncluttered! Danielle was responsive to early requests for additional amenities to make our stay more comfortable.
Oscar,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",great space to feel comfortable in your stay in the City!!
Michael,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",This property is exactly as described and exceeded our expectation. Danielle was always on point with communication from before arrival to the end of our stay. We loved staying here and HIGHLY recommend it.
Viktoras,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week","very beautiful home ,
but It was har to use AC controller, other than that everything was perfect."
Juan David,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",is still a great place.
Matthew,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Danielle was very easy to work with. house was clean and suited us well. Absolutely no issues. would stay again without question.
Juan David,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week","it is a comfortable, clean, tidy and quiet place, it had everything necessary for our stay."
Gabriela,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Wonderful stay at Danielle’s Home. Quiet neighborhood, great backyard with a wonderful view. Comfortable beds, and furniture. The basement set up was our favorite spot to lounge and watch tv. Kitchen was stocked with the essentials for making meals. I highly recommend staying when in Norfolk, we plan to do the same when back in town."
DeLynn,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week",Looked great - very nice with two completely separate living areas so for a business trip easy to share with colleagues.
Amanda,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Great set up and lovely decor, this house was perfect for our stay!"
Vanna,"Rating, 5 stars
,
·
October 2023
,
·
Group trip","I will continue to stay at this location when in town. By far the cleanest, easiest to access, host great, and overall layout of house was great."
Leigh,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Really nice place and great location. Felt at home and Danielle was very responsive when I had a question. We will definitely stay here again for the next family event!
Kami,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Amazing home to stay in! Great location in Norfolk, quiet neighborhood. Danielle was a great host - super responsive to messages and left great instructions on how to get inside and great recommendations for things to do around Norfolk. The house matched the pictures, and well stocked with dishes and kitchen appliances, linens and towels. We will definitely stay here again on our next trip back to Norfolk."
Stu,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Great place, very clean and plenty of room."
Cory,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Beautiful home!
Vern,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with a pet",Great place to stay! Open floor plan with great kitchen! Beds were comfortable! Plenty of space like in her photos! Very modern. Nicely done bath. Nice to see grill in garage if needed. Wifi was easy to access!
Sarah,"Rating, 4 stars
,
·
July 2023
,
·
Stayed a few nights",The house was nice and clean. The beds were comfy and the furniture was very trendy but not super comfortable.
Tyler,"Rating, 5 stars
,
·
July 2023
,
·
Stayed about a week",I can see why they say this place is a rare find! It was a perfect house to stay at! Everything about the house and area was perfect!
Isaac,"Rating, 5 stars
,
·
July 2023
,
·
Stayed about a week","We really enjoyed the time we spend in this property, there is plenty of room and very well decorated We will definitely stay here again
Daniele’s communication is fast and helpful."
Naomi,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We loved the decor, the kitchen, and the big windows in the living room perched up high. The whole home was really clean and the design was really good."
Kenny,"Rating, 4 stars
,
·
June 2023
,
·
Stayed a few nights",Good place to stay!
Vlad,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Amazing place! And wonderful host! Thank you!
Kenny,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Nice place! Easy to feel like home
Cierra,"Rating, 4 stars
,
·
June 2023
,
·
Stayed with kids",Was a great place to stay and very convenient to the ball fields as we were there for softball districts :)
Carlos,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",I have returned home and it is still among the places that I would return to again and again
