name,rating_info,review_text
Theresa,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed about a week","The place was beautiful! Aaron and Christine have done a great job in decorating and remodeling an older house. It was perfect for us to stay close to town and visit our old home town and friends.
The house was also comfortable and quiet.
We would definitely recommend this place to others who may need a more personal environment to stay in the Allegany , NY area."
Michele,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed over a week",Cute little home in a very walkable and safe neighborhood. The owners were very responsive to all our questions. Nice backyard with plenty of space for kiddos to play. The outdoor fire pit was a big hit!
Julianna,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",Aaron’s place was very nice and clean. The area was peaceful and beautiful!
Mark,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very clean. The home interior looks to be recently remodeled. It has a nice kitchen and bath. Within walking distance to a few restaurants. The place had everything we needed.
Joseph,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great house and host.
Ronald,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The home was well provisioned, clean, and quiet. We would definitely stay again!"
Justin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",The house was exactly what was shown. Very comfortable and homey.
Kelly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Aaron’s place is gorgeous. Spotless, well-appointed, with upscale styling. Exactly as pictured and described. Aaron was proactive and very responsive. Would definitely stay here again when in the area."
Alyssa,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","The host was super responsive and gave clear, simply instructions for checking in and checking out! The house was very clean! Super cute house and we had a great weekend there!"
Robin,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","We stayed four nights at Aaron‘s place. The house was super clean, vintagey cute, and we had everything we needed. Unfortunately, we were in town for a funeral, but this house was such a nice peaceful place to come back to after some very long days. Thanks so much, Aaron!"
Jennifer,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","This is our 3rd stay here, we love the house and location. Aaron is a great host. He was flexible with our check out time as we all slept in very late. Probably because the beds, pillows and linens are so cozy! Would definitely recommend this place"
Patricia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",Very clean and had everything we needed. Shampoo/soap extra toothbrush for forgetful travelers! Helpful and timely responses to questions. Would stay again!
Matthew,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Awesome place to stay when visiting our son at St. Bonaventure. Close to campus and the bars/restaurants in Allegany. Aaron is a great host!
Hannah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",The house was a warm and cozy place. It was just what we needed for a night away.
Shannon,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",clean and homey! grea experience and very accommodating
Arturo,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Super comfortable the beds the couches were great. Everything was clean and pristine
Mandee,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Great find, felt like home. Place was spotless, decorated very nicely for Christmas and also is located in both an adorable & safe neighborhood. We will certainly be returning & sharing the listing with friends that often stay in the area."
Emily,"Rating, 5 stars
,
·
December 2023
,
·
Group trip",This was a cute little house perfect for a weekend stay in the area. It looked even nicer than the pictures. The hosts were very proactive and super responsive when we needed help. We would recommend and stay again!
Jennifer,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","This is our second stay and it was just as great as the first one. Responsive host, cozy, clean and comfortable home. It’s our “go-to” spot when visiting our son at St.Bonaventure. Looking forward to our next stay in February!"
Susan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Beautiful home, great communication, comfortable beds and perfect amenities and kitchen supplies for cooking meals. Would stay here again."
Michele,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","If I could give 10 stars I would! This is a top tier Airbnb.
Aaron is very responsive, helpful and has thought of everything to make it a perfect Airbnb. The interior of the house is even better than the photos- friends stopped by to pick us up and were wowed by how impressive it was. The large backyard with beautifully landscaped firepit area is so nice. The location is close to Olean and Ellicotville but you're in a very quiet, family neighborhood.
The entire house has been updated in stylish, modern decor and Aaron has lovely antiques and artwork around that makes it feel like home. Each bedroom has a smart TV and the beds were very comfy and the kitchen was stocked with anything you could think of.
We will absolutely stay here on our next visit. Thanks so much for hosting us!"
Sherry,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",I highly recommend this beautiful place!!!
Jen,"Rating, 5 stars
,
·
October 2023
,
·
Group trip","Cozy, clean, and great location! Thank you!"
Heidi,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",You won’t be disappointed with this beautiful home. This was the cleanest home we have stayed in during our travels. It was absolutely perfect 🤩. Thankful for such a nice place to call home for a couple days.
Heather,"Rating, 5 stars
,
·
September 2023
,
·
Group trip","This is our go-to place, feels like a home away from home. The house is perfectly comfortable! Everyone congregates around the kitchen farmhouse table! ❤️
Love the fire pit area out back - perfect place to relax!
Aaron responds immediately to any questions and is just an all around great host."
Johnny,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Loved Aaron’s space. Only there for a shorter time but felt like home. Defenitly would revisit. Thanks again!
Heather,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",We love this property - already have it on the books for our next trip here! Love the house and sitting by the outdoor fire pit! Fabulous!!
Michelle,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","This was a lovely place to stay. Close to St Bonnie’s and Ellicottville. Our family of four including a teen and a twenty something were very comfortable. If we are ever in the area, we would definitely stay again. This is a truly beautiful space."
Douglas,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","Two couples traveling together. The place is great, comfortable and easy to find. We stayed as a stopover on our trip, and it was perfect for us."
Kaidi,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","We are on our 10-day road trip from east coast to midwest. This is the only 5 we rated for all the 6 places we stayed. Super clean, comfortable, quiet and beautiful. Worth to stay. Highly recommended."
Manjunath,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Wonderful experience
Dan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Aaron has a gorgeous home. Everything is very clean and organized. We very much enjoyed the fire pit in the backyard. We would absolutely stay here again.
Rajkumar,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Great Stay!!!
Lisa,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Beautiful home. Aaron is a wonderful host. We will be back!
Danielle,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",The house was so clean and just as described. Aaron was wonderful with communication . Kitchen is stocked with everything you might need to cook . The vase of fresh flowers was beautiful. Id definitely like to come back
Lisette,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","This home was terrific and just as described. We brought a cooler with food, and I was able to prepare full meals with the kitchen equipment and utensils available, including a fantastic gas stove. The proximity to St. Bonaventure can't be beat (under 5 minutes). Aaron and Christine have a wonderful home, and we hope to stay again over the next 4 years!"
Nancy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","The airbnb was absolutety beautiful! Easy instructions were available for the TV, wifi, and the dishwasher. Aaron responded promptly to any questions we had and was just amazing to work with!"
Kayla,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Beautiful!!
Julie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Clean, modern, cozy! Very nice stay!"
Danika,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Very nice. We just slept here…passing through to get home. Wish we would’ve had more time to relax in the space.
Mary Ann,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Aaron's home is on a quiet street in the small town of Allegany. It was neat and clean upon arrival. My partner and I were very pleased with Aaron's communication. He contacted us in advance with pertinent information and answered our questions promptly. My partner and I were on a romantic getaway. We would have liked candles and a vase for flowers in the home but found neither. However, those were minor inconveniences. We improvised and made due. We had fun hiking in nearby Allegany State Park, and we thoroughly enjoyed exploring across the border in PA and throughout some of the southerntier itself."
Carol,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",The neighborhood was safe and the location was convenient. House was immaculate. Decorations were modern and professionally done. Beds were extremely comfortable flowers outside or well-kept and I would definitely come back again to this location.
Julie,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night","The house was immaculate upon arrival. The gathering area around the table in the kitchen was perfect for us. We really enjoyed our stay at Aaron’s place and when in that area again, will definitely want to rent this again."
Carol,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",We loved this rental. It was a great fit for our group of 6. The house is very well appointed and the owners took great care to make all instructions clear with little signs where needed. The owners are very friendly and responsive. We will return.
Daryl,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Nice house with comfortable furniture and modern kitchen. Super clean. Easy check in.
Paul,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Fantastic home! Can’t wait to rent there again. Aaron was very supportive and we felt right at home. Thank you for a great place to stay!
Kelly,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Aaron’s place is just as described. This is my second visit with a couple of my friends for a girls’ weekend. We plan to return in the future. The home very well suits our need to just relax and converse with one another.
Lindsay,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","Great place, really enjoyed our stay!"
Jennifer,"Rating, 5 stars
,
·
March 2023
,
·
Group trip","We absolutely loved this house! The location was perfect for our family weekend at Bonaventure. The house had everything we needed. It was clean, comfortable, and cozy. Aaron was a great host, very responsive, and easy to communicate with. Can't wait for the next visit!"
Scott,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Great place to stay. Beds were very clean and comfortable. All around good stay.
Patty,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Aaron’s place was fantastic! Perfect location for the area. It’s so nice when an Airbnb includes extras like coffee, and tea options. The decor of this home was adorable, and we felt right at home.. Immaculately, clean and everything you could need including extra instructions and menus for nearby restaurants Aaron was responsive and available to any request. We can’t wait to stay again! Don’t hesitate to book, you won’t be disappointed"
Tom,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night",Nice and clean place with very nice decorations.
Zachary,"Rating, 5 stars
,
·
February 2023
,
·
Stayed about a week",Can't say enough good things about Aaron and the place we stayed at. 110% would would recommend to anyone for any type of stay.
Ethan,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night","Lovely home that’s only a 25 min drive from Holiday Valley. Absolutely worth it, would stay again."
Kisun,"Rating, 5 stars
,
·
January 2023
,
·
Stayed with kids","Aaron's listing is a phenomenal escape; it's a beautiful lot in the enchanted mountains. And Aaron's is an excellent host. He's very responsive, helpful, and considerate. I couldn't recommend this listing more"
Steven,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Had everything you’d need in the house, we were even aloud to check in an hour early. Any questions the host had quick responses. Great place."
Paige,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night",A great and comfortable stay!
Max,"Rating, 3 stars
,
·
January 2023
,
·
Group trip",Was okay. Price was great for 2 people but you add any other guests at over $75 a person seems to high for me kinda ridiculous.
Melissa,"Rating, 5 stars
,
·
January 2023
,
·
Stayed one night","Aaron is an amazing host!
Any questions or concerns were met with a response within minutes. The house was easy to locate, Clean, warm, and very comfortable. If anyone is looking for a place that is a home away from home I recommend Aaron‘s place. Thank you for the amazing experience and I’m sure we will be back."
Owen,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights",A little far from Ellicottville (20min drive) but overall great location. No problems with finding the place; great deal for a three bedroom house would recommend staying here in a heartbeat
Kendra,"Rating, 5 stars
,
·
December 2022
,
·
Stayed one night",Perfect for my college friends to crash in after a long day on the ski slopes!
Fiona,"Rating, 5 stars
,
·
December 2022
,
·
Stayed with kids","We spent a couple of days at Aaron's place in December while visiting family before the holidays. Super conveniently-located, and loved that it was decorated for Christmas to help us get into the holiday spirit. Our hosts were very responsive, let us check in a few hours early, and also cleaned the sidewalks after it snowed overnight. We would definitely recommend if you're looking for a place in Allegany!"
Libby,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","A sweet & well-stocked house with nice furniture! Very clean, and pleasantly decorated for the holidays. Our hosts also made a little care package when they found out we had a birthday, which was lovely. The one thing that bothered me a bit was the lack of curtains on the kitchen windows for privacy, but I’m used to city living & there wasn’t really anyone around anyway! A great spot & we would definitely stay here again."
Josh,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night","Instant communication, pleasant and flexible. The house was immaculate in design and cleanliness."
Maria,"Rating, 5 stars
,
·
November 2022
,
·
Stayed one night",Beautiful home . Updated and very clean .
Matthew,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","This our second time staying here, great updated and clean house, convenient to visit our son at St. Bonaventure!"
