name,rating_info,review_text
Telishia,"Rating, 5 stars
,
·
Today
,
·
Stayed a few nights",Very nice place and great price for a whole apartment.
Norma,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Annette was very responsive when I reached out . Her cottage is very clean. I had a great stay
Gene,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Thank you for the hospitality! If you are in the Orangeburg area I highly recommend this place. Annette is very responsive and her place is clean. Just a great listing all around.
Amber,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This place was great! It had absolutely everything I needed for my stay. Annette was responsive and friendly. It was super clean, decorated nicely and comfortable. Shower was nice and hot as well. I will definitely stay here again next time I'm in Orangeburg. Thank you Annette."
Tonya,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thanks Annette for my our first Airbnb experience amazing and sitting the bar so high
Jonathan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great stay
Traci,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Great host
Stanisha,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",It was quiet and quant. The host Annette was very responsive and accommodating. Will definitely stay there whenever I visit Orangeburg.
Danielle,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Needing a little personal time, I booked Annnette and Stephen's place. It was the perfect space for relaxation and quality time with my partner. The kitchen had everything I needed to cook small meals, and the decór made us feel right at home. Annette always responded quickly when I had a question and were awesome hosts! Her place will be my go-to whenever I visit back home again! 10/10 ✨️👏🏾👏🏾👏🏾"
Gene,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place to stay in Orangeburg
Marlin,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights",The interior of the unit was as advertised and Very clean. Upon arrival there were a few minor issues with a light and water heater but Annette was very responsive and took care of the issue in less than 24 hours. The neighborhood is a bit depressed but there are signs that the properties are starting to be improved.
Nia,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Annette was very communicative and the place was nice and clean.
Frederick,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",This was perfect for what my friends and I were looking for. it was quaint and kind of out the way. it was peaceful and we all felt right at home. Ms Annette was very responsive and a wonderful host. Definitely want to stay here again.
Ruth,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Great stay!!! Exactly what we were looking for, easy to find, amazing host. Annette was super helpful and responded quickly. Home was clean and comfortable. Definitely would come back when in the area."
Ana,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","The place is central, excellent, very clean space. I would definitely stay there again.
The communication with the host is very good, responds instantly, easy to reach"
Josue,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Annette was very responsive and welcoming. You can tell she tries her best to be a good host. If you're looking for a place to stay for 1 or 2 days to be closer to an event, I feel like it's a decent."
Denise,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",The place was very nice and clean. It was away from everything. Anytime something came up Annette was there to help!
Daryl,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","The place did providethe best view but the area was safe and quiet. I love that the space provided everything that I needed for my trip. The host was very friendly and did little things that made use feel special. When we visit the area again, we hope to stay in another one of Annette's units."
Kiona,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",The sweetest hosts ever! My mom lives nearby and this was so much closer than staying at a hotel. The houses on the street are run down but it looks like they are trying to fix a lot of things up! Love how private and quiet it was. Such a comfortable bed! Had everything we needed and more. Super clean as well.
Deaunna,"Rating, 4 stars
,
·
May 2023
,
·
Stayed with kids","Annette is very quick to respond. Clean stay, quiet surroundings."
