name,rating_info,review_text
Vanessa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Nicely remodeled farm house on peaceful and private land. Made for a comfortable stay.
Rick,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",This is a wonderful place to stay!
Blaize,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Our Stay was very nice.
Adam,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Just stayed one night but was just what I wanted
Jeremiah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","We will absolutely book here again. Wonderful place, peaceful, private, clean and comfortable. Plenty of yard for the dogs to run and play in."
Peyton,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Awesome place! Super private and quiet. I will be back next year
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place to stay for our small group with lots of public land nearby.
Joshua,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great place to stay! Very quiet but just minutes from the lake. Everything inside was like brand new state of the art! I highly recommend if you are planning a trip to that area.
Myers,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Newly updated, well appointed farm house. Peaceful, quiet spot looking out over beautiful farm country. We saw deer in the fields each evening while relaxing on the comfortable front porch. Everything was clean and well maintained. Owners were friendly and quick to communicate."
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","We had a wonderful stay. Very cozy and comfy. Beautiful, peaceful country area."
Kyrah,"Rating, 3 stars
,
·
April 2024
,
·
Group trip","The place is very cute and has lots of outside lights and a nice large yard. A cool fire ring in the front area and lots of parking. The inside is cute and has all update amenities.
The yard had trash scattered everywhere and the trashcan in the back looked like critters had gotten in it. The place had everything you could need and extra shampoo and such in the bathroom if you forgot something. Unfortunately there were dirty utensils that were with the clean dishes that we washed. Couldn’t empty the garbage because outside can was full."
Melissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Nice quiet get away that felt safe .
Carli,"Rating, 4 stars
,
·
March 2024
,
·
Group trip",Very comfortable and felt “at home”.
Brett,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Anthony’s place is a beautiful country retreat off the beaten path. Nicely remodeled and fully equipped with anything you’d need for a couple nights or an extended stay. Highly recommended.
Ray,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Anthony's place is well worth a 10 Star Rating. It is the Best place I have ever stayed at bar none. Great location to Big Hill Lake for fishermen. This is a New house and nothing can be done to better it. I want to Thank Anthony for making this available for me on such a short notice. I will be staying here again for sure. Anthony replied to ALL request in less than 10 minutes.
Ray T."
Kyle,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","A nice country hideaway off the beaten path, quiet with pretty views and wildlife."
Dalton,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Awesome house out in the country, nice and peaceful. Would definitely recommend."
Hannah,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",I booked a last minute writing retreat for myself and the cottage overlooking the Kansas hills was great inspiration. Thank going for the beautiful get-away!
Karlee,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","We went for a little romantic getaway and used every bit of the time we were there to enjoy the surroundings. We really lucked out on weather so we spent most our time outside. While we were out on the front chairs on the patio, Patsy came by to welcome us and invite us to wander the property. We were able to walk and see so many little gems and relaxing places to sit and enjoy the surroundings. We got to watch the sunset then later have s'mores in the provided fire pit. One of my most favorite parts was waking up to so much color with the sunshine making the decorated colors inside the cottage so bright."
Janet,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed about a week",Patsy was the best!!! Always wanted to know if we needed something that we didn’t have. She is a go getter & we loved our stay. 🥰
Ella,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",We were in Chanute for a birthday party and this was the perfect place to come back to for a good nights sleep! The property is stunning and such a nice little cottage. Couldn’t have asked for a better place. Thanks Patsy!
Teresa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Enjoyed our short stay, loved the decor."
Bob,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Always a pleasure to stay here, my only destination when in the area."
Sarah Jo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Patsy’s place was an absolute delight! I was traveling alone, which is unusual for me, but I felt right at home the minute I walked in! It was beautiful, airy, immaculately clean and she had thought of everything a guest might need to be more comfortable. The outside was as lovely as the inside, but I think I enjoyed the view through the large sliding doors most, of a pasture of cattle and a pond. The place is close enough to Chanute to make it easy to go into town for anything or grab a bite, but still fully out in the country-the best of both worlds!
My only regret is my husband wasn’t there to share the weekend with me as he would have loved it as much as I did!
Thank you Patsy for making my stay simply perfect!"
Richard,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This is a great little place to get away for some peaceful country living. The flowers were blooming everywhere, walks around the paths were relaxing and showed great planning of an area. The smells of her soap making business also added an enjoyable escape.
Patsy gets you started, and then makes sure your stay is a great one, with just the right amount of responsiveness and separation. She has a well thought out approach, including decor and other nice touches.
Overall, it is a great place for one or two people to get away to, with a comfortable touch of class and relaxing atmosphere. I definitely will stay again and recommend a stay!"
Gabriel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I enjoyed my stay at the cottage. I was working remotely for one of the days and had a constant connection through wifi. The location was beautiful and quiet.
Suzanne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","My husband and I truly enjoyed our stay at Patsy's cottage. We were in town for a funeral and the peaceful surroundings at Patsy's place provided just the medicine needed for such a time as that. The cottage itself was quite beautiful and uniquely decorated. I loved the stonework and stained glass window in the bedroom area. Of all the AirBnB's I've stayed at, this has been my favorite! If you are looking for a peaceful getaway, Patsy's place should be at the top of your list."
Mya,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",I look forward to booking with patsy again!
Patrick,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","My second stay with Patsy - great place, clean, and peaceful. Highly recommend a visit."
Shirley Darla,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",An absolute gem. Beautiful place stay and the nicest hostess. We will be back! !
Chasity,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Adorable little cottage
Patrick,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Clean, quiet, and a peaceful location. I definitely enjoyed my stay."
Donya,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Patsy’s place is beautiful & serene. If you’re looking for a quiet, peaceful place to get away, this is it! Patsy is so nice & quick to respond. Great host!"
Kimberly,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Always a pleasure!!
