name,rating_info,review_text
JoAnn,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights","We love Payson!! The cabin is a stand alone, quiet and calming. Only wish it had a stove, boyfriend is a former chef. Very comfortable and beautiful! A+"
Michela,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",The air bnb was super clean and beautifully decorated. The tub and the shower were amazing. Walking distance to the park with a pond and to what seemed to be the only late night bar in Payson. The entire property was well maintained with easy check in/check out. Communicative & friendly host
Kathy,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","The cabin was clean, cute and comfortable. Getting in was super easy. The owners contacted me to make sure I got in okay and to make sure everything was going well. They have done these cabins so well. In the middle of town on Main Street which has easy access to everything. It was so nice to have a coffee maker provided! Thank you for a wonderful place to rest my head."
Meir,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",I really recommend
Shelley,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","This is perfect place to stay in Payson. Great location and lots to do in the area, plus the place was super clean and welcoming. We hope to come back soon. Thank you!"
Chris,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",A great place that's perfect for a couples get away!
Star,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",What a beautiful place!!! The interior design was superb. I felt safe & it was very quiet at night. The location was close to everything one needs. I'd definitely stay there again.
Keri,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place to visit. The local restaurants were great. Very friendly community!! We loved hiking at Water Wheel Falls. The Rim GC was amazing!! Our Airbnb was quiet and peaceful. The shower was huge and the hot water was never ending which is nice after a long day out. We were very comfortable here. Thank you!!
Sara,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Bed was comfortable and shower was amazing
Christopher,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",My wife and I can't wait to come back!
Tina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Thank you for a great stay! We enjoyed our time in payson. Great meals and nice walks around green valley lake park
