name,rating_info,review_text
Jeff,"Rating, 5 stars
,
·
1 week ago
,
·
Group trip",Wonderful place
Teresa,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","This was the second time that we have enjoyed the Pfaff house. My daughter got married this weekend and her bridal party weekend was here a few months ago. We have photos to follow as my daughter and her bridesmaids prepared, my daughter did her first looks before heading to her venue, she stayed two days previous to the wedding for down time. Madison was awesome in communicate and accommodating our every need to make this weekend very special. 5 star rating on her service, the beauty of the property and the entire weekend."
Gloria A,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip","We stayed here for my daughter’s graduation at Illinois State University. It was the perfect place for us. Madison was so accommodating and responsive. Place was the perfect family place and all the stores are nearby which made it easy to navigate around. Kitchen and living room was our favorite part of the house. The beds were so comfortable! My daughter and her friends really enjoyed the bathroom with the vanity mirror. Overall, we had such a great time the airbnb was beautiful and cozy. We also took the perfect pictures outside of the house! Definitely would stay here again."
Denise,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Fantastic experience. Five stars all the way around. Keep up the great work!
Carly,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was such a fantastic home! We loved staying here, especially for the home’s Victorian charm, huge front porch, and close proximity to downtown Pontiac. The host was so responsive and even provided us with coffee cake from their bakery upon our arrival. We would definitely stay here again!"
Laura,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",We had a wonderful and relaxing stay! We were able to explore local restaurants and enjoy a peaceful home. The house absolutely exceeded our expectations and we would stay again and again!
Alyssa,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place to stay.
Gina,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Pfaff House was perfect for me and my extended family to stay for a large family Christmas gathering close by. We felt right at home when we were greeted by a coffee cake and sweet decorated Christmas ucookies. We were able to entertain friends and additional family members in a lovely, warm atmosphere. Beautiful home, amazing hospitality, and spacious accommodations. Thank you, Sharri!"
Kristina,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","What a lovely, cozy, gem! The house is beautiful and thoughtfully designed, and it is in a great, central location. We are so happy we found it. We stayed with our three children and Sharri was so accommodating and kind to set up a crib and high chair for our littlest one. She was extremely responsive as well. We really enjoyed our stay and hope to come back again!"
Brandy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","I had an amazing stay at this Airbnb! The host was incredibly welcoming and accommodating. The property was clean, well-maintained, and beautifully decorated. The location was perfect, with easy access to local attractions and restaurants. I especially loved the cozy bedroom and the stunning view from the balcony. I would highly recommend this Airbnb to anyone looking for a comfortable and enjoyable stay. 5 stars! ⭐⭐⭐⭐⭐"
Dennis,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Second time we utilized Sharri for her home and it was as nice as the last time. Great communicator and host!
Dennis,"Rating, 5 stars
,
·
September 2023
,
·
Group trip",Great communication throughout the stay. Wonderfull property
Deborah,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Attractive home with old world woodwork inside. Everything was just fine. I esp liked the way she had 3 different firmness to the bed so you could pick. Plenty of seating, shade trees, channels on tv, many kitchen supplies. Mom older mom was looking for a traditional coffee pot. She learned the Keurig. walking distance to farmers market & music at the park. Surprised with notable good coffee cake waiting for us in the morning. This maybe a newer listing. (The only thing I might add is scissors in the kitchen as people tend to order out or bring supplies in.)
Thanks for a nice place to stay."
Krista,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",We loved our stay in Pontiac. Our host was very sweet and had everything ready for us. The house is beautiful and comfortable. It was like being home.
Susan,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","Sharri's home was clean, comfortable and just lovely! The kitchen was really well stocked for cooking and had a great ambiance, as did the entire home. The beds were comfortable and so was the temperature in the house, upstairs and down. The ceiling fans were on when we arrived and added such a breezy, open-air feel! It was heavenly. We were also greeted by smiley face cookies in the kitchen from the local bakery. How fun was that! Also, a 12 o'clock check in and check out is so rare. What a wonderful thing to offer. Our stay was appreciated and enjoyed by our entire party of 6! Thank you for sharing your home with us."
Ellen,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Gorgeous house, so beautifully renovated. Lots of space, great location, easy walk to town square. Sharri and Madison are super hosts, very quick and easy to communicate with. Thank you for sharing your amazing home. We’ll definitely be back and recommend to our friends."
Nicole,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We loved our stay at the Pfaff Haus! It was such a beautiful house, it was clean, and Sharri the host was great! We used this hiuse to get ready for my wedding. I cannot wait to see how my pictures turned out with all the beautiful woodwork throughout the house. Highly recommend the Pfaff Haus!"
Jodie,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",.
Taylor,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Great place, we hope to stay again soon"
Courtney,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","Thankful to have found this beautiful and historic loft apartment! We had a cozy overnight stay with our 3 kids. This unit has all the things one may need, even down to the many board games provided. The space was decorated and utilized amazingly! Had plenty of room for the family and very clean. There was also a second bathroom upstairs that could be used as needed. Our favorite thing was the cafe downstairs for the awesome breakfast and coffee to get our day started."
Kimberley,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","The courthouse loft was fun, cozy & comfortable. One of us had to work during our stay. It was easy to do with the loft layout & Wifi. The coffee shop on the first floor had yummy food, great coffee and friendly staff. Was a nice bonus to have it just steps away."
Noah,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Our second stay but first with the hot tub. Such a great addition! Such a unique space already but the patio and hot tub addition make it one of the best places I’ve stayed in. Will be back!
Courtney,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Our stay was fairly short (just two nights). The loft is very athletically pleasing, but not overly comfortable for resting (harder cushion type chairs and sleeper sofa). There was some leftover food items from other people, and some of the laundry not finished. but, Brandi and her husband were really responsive! The coffee shop below in the mornings can get a little loud. overall, pleased with the space! it made a cozy meeting spot for a girls weekend. Make sure to check out Java Cafe downstairs! Delicious coffee, baked goodies and lunches."
