name,rating_info,review_text
Sindy,"Rating, 5 stars
,
·
2 days ago
,
·
Group trip","an amazing host, I am thankful for the help provided. the communication was great and always willing to help."
Sindy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip","such a great host, very patient and helpful when I needed. definitely recommend her place!"
Sindy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",such a great place and the host was always helpful
Sindy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",thanks for a great experience!!
Keith,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Check in was easy, everything was clean and the neighborhood was quite and easy to find. Bonus pool table was in the basement, had a great stay would recommend."
Jody,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Very Quiet, Well Equipped, Plenty of Room, Communication was Great, Very Relaxing, and Will recommend and if opportunity arises Will stay again.."
Rachelle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",I really enjoyed my stay at Maria’s house. Truly appreciate the cleanliness and amenities. We definitely be back.
Gwenn,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",We felt like we were walking into a “home away from home “. Had everything we needed and more. Definitely would go back again!!
Ron,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","A very comfortable, large home, like wearing a favorite old sweater, with the home's comfortable sofas and large recliner. The finished basement with pool table and air hockey was great for stay at home entertainment. We came to Pueblo to share Thanksgiving Dinner with relatives, and this home was the perfect environment for the occasion."
Bryan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week",In town for work. Place was perfect for our needs
Bryan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed over a week",Neighborhood was quiet. Location was perfect for our needs. House was very clean and spacious. Maria was very helpful and quick to respond. Would highly recommend this property
Jose,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",We had a great time. Thank you We would definitely rent again in the future
Victoria,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",We had a great stay for the State Fair! Our kids loved the toys and having their own room and it was nice to have multiple bedrooms in the basement. Overall a great stay!
Barb,"Rating, 4 stars
,
·
September 2023
,
·
Group trip",House was in a nice area was quiet and clean. Downstairs bathroom/shower needs some work. Worked out for my families needs. We were not sure where to dispose of our garbage.
Kathy,"Rating, 4 stars
,
·
August 2023
,
·
Stayed with kids","The downstairs bathroom was not working. We knew just before check in. But when we had the family after the funeral, it was an inconvenience. Maria left a lovely plant which was very thoughtful. We will call again, hopeful the plumbing issue is resolved by then"
Daryl,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Top-Notch as always, this is our go-to spot when we come to Pueblo, it was well kept and my guests thought it was my house, LOL will always stay with Maria the communication and hospitality are always beyond measure.
Thank you again Maria see you in a few months
Daryl"
Bryan,"Rating, 5 stars
,
·
July 2023
,
·
Stayed about a week","My colleague and I stayed here while working near Pueblo. The house was spacious, with a well equipped kitchen and very comfortable bedrooms. The neighborhood was quiet and in a good location with a short drive to a variety of nearby restaurants. Maria was a responsive and welcoming host, and provided all of the info we needed for a comfortable stay."
Kathy,"Rating, 5 stars
,
·
July 2023
,
·
Group trip","All the necessities you need, clean. A great house"
Robert,"Rating, 5 stars
,
·
June 2023
,
·
Group trip",Our family had a wonderful time staying at Maria’s cozy home. It was exactly as described and everything we needed. Everything was clean and this home really made us feel at home. Highly recommend and will definitely stay here again next time we’re in town.
Alisa,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Cute home, great location, and air hockey was a blast!"
Alexander,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","I travel the nation with a work crew and Maria’s place was perfect! When you’re out working all day, you want to go to a place that helps you relax and unwind. Clean, comfortable, and quiet, Maria’s place did just that and more. Highly recommend! Will stay again if I’m in the area."
Luis,"Rating, 5 stars
,
·
June 2023
,
·
Group trip",Great Stay for a work/family getaway we did. Will definitely come back!
Raven,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","I felt right at home it was so cozy and peaceful. really clean and organized
Maria also was very polite when I arrived I'm town she called and asked me how drive was etc. I'll definitely be staying there again next time I come to pueblo."
Robert,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Maria was very friendly and helpful. The house was located in a nice neighborhood.
House was clean as was the bedding. I would recommend this to a family. Lots of room."
SheyAnne,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Very easy to find. very great home to visit with friends. we enjoyed our stay very much. thank you.
Daryl,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Maria and Steve were amazing. The place was perfect. a few hiccups with the heat yhe first night. They had just installed a new furnace. I woke up the 5 space heaters while the tech worked on it. the space heaters were perfect. It made me a big hit amongst my freemason brothers and even the Grand Master stooped by for some pool. They have 2 other units nearby, and if they will have us, we will rent them all when we are back in August. It's worth every penny."
Lachelle,"Rating, 5 stars
,
·
October 2022
,
·
Group trip","After traveling 18+ hours from Kentucky and Michigan to get here for my uncle’s 85th surprise birthday party, it was a relief to get to Maria’s property. The house was very spacious and clean! Maria called after we arrived to make sure we were okay and again upon our exit to see how our stay was and wish us safe travels. There were plenty of the essentials (ie…rags, towels, linen, cooking utensils, tv’s in every room, etc). The listing does nothing for the property as there is so much more! The location was great (less than 10 minutes from the mall, grocery store, gas station, and plenty of food places). There was plenty of space for everyone to have their own privacy and also to gather when necessary. I would definitely stay here again the next time I travel to Colorado. Thanks again Maria for making our trip go so smooth!"
Annette,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Cute house with a great location!
Rosalita,"Rating, 4 stars
,
·
September 2022
,
·
Stayed with kids",we had a very good time the house was very roomy and was exactly what it said on Airbnb it was very family-oriented I would love to stay here again
Laura,"Rating, 5 stars
,
·
September 2022
,
·
Group trip",The house is very pleasant and Maria very quick to respond to questions or needs. We would definitely stay there again.
Tom,"Rating, 4 stars
,
·
August 2022
,
·
Stayed a few nights",Very clean homie house.
Kenya,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",Great location. Great host.
Jj,"Rating, 3 stars
,
·
August 2022
,
·
Group trip",I am not able to accurately rate this location or host as we were unable to stay because of a double booking issue. Maria did connect with AirBnB to promptly issue a reimbursement.
Bonnie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Thanks so much for a great stay!
Brenda,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights","The main level of the home was very nice with plush carpet. The listing did not indicate that the third bedroom is in the basement, although it is a legal bedroom. The master bedroom has very squeaky floorboards, which only matters if someone is in the third bedroom in the basement. The neighborhood is quiet."
Michelle,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids",Thank you for providing us a lovely place to stay.
Jasmine,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",House was very cozy and clean. Host is extremely communicative and responsive. Checking in/out was super easy. Will be back!
Lance,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed one night",Convenient location. Will stay again.
Jack,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",Great stay. Very welcoming. Location is near everything Pueblo has to offer. Quiet and Friendly neighbors. 5 stars
Isabel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Second time we’ve stayed and love this location and as usual Akemi is a great host! Definitely is a cozy comfortable cottage with plenty of room and amenities.
Anissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","10/10 definitely recommend this stay if you want to feel right at home, comfortable, and cozy! the home was so beautiful and above & beyond what we expected! host is amazing!! she was so responsive and helpful! made me and my little family feel right at home! it was one of the best stays! thank you for every!"
Sarah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Immaculate and well thought out space. Charming and clean. Thoughtful touches throughout. I felt like I was staying at a family members home. Well located for my quick one night stay and work travel needs. I could easily see bringing my family and staying for a longer period of time and feeling right at home. 10/10 ⭐️
Arriana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",absolutely love staying here second time!
Amy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Thanks for a great stay at your cozy cottage. We felt right at home.
Douglas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",A nice place to stay in Pueblo. Comfortable and user friendly.
Carl,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We went there for a dance competition at the Convention Center and the house was perfectly located to downtown and easily access to downtown
Micah,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Nice place to stay!
Harley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great stay !!
Kasey,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",we loved everything about our stay at Akemi’s. everything was just as listed.
Lucretia,"Rating, 4 stars
,
·
February 2024
,
·
Stayed a few nights",Home was close to everything we needed to do and was very clean and comfortable. I would recommend.
Thomas,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great space to stay in Pueblo!
Renee,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Our family loved staying here. It was very cozy and we loved having a whole basement and a laundry room.
Dave,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week","We had amazing communication with people . The house was comfortable with lots of amenities
really not disappointed with my rental"
Gustvao,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",Cool lil house for small family’s comfortable stay and enjoyable with great host
Jeanine,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Comfortable home, easy check in and snacks! Location easy to get anywhere in Pueblo. Will stay again!"
Andrea,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Akemi place was exactly as described and very comfortable. Would definitely stay again in the future.
Miranda,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Place was great!! We loved the convience to shops and comfortable accommodations. Felt like home. Thank you!!
Roberto,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Great host!
Danielle,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Clean and cozy! I will stay there again no problem! Good location and really cozy
Ryan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Stayed here many times
Antoine,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","It was a great stay. me being from Pueblo, I was very familiar with the area. Peaceful and close to my favorite breakfast spot. Definitely would book again."
Domingo,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",The place easy cozy and quite! Would go back again!
Geraldine,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Very comfortable home. Great communication. We will definitely stay here again. Highly recommend.
Ryan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Great spot. Came for the Grassroots Gravel race and Akemi’s place was the perfect spot for the weekend.
Ryan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Stay here whenever I'm in Pueblo if it's available
Crystal,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Beautiful place, very comfortable and cozy! Thank you so much."
Amy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","Great place to stay for the night. The house was clean, cosy, and comfortable."
Ryan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",I’ve stayed at Akemi’s place before and will again!
Randy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",N/A
Joe,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",As soon as we opened the door felt like home.
Meghan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Super cozy place, and Akemi was kind and flexible when our schedule changed!"
