name,rating_info,review_text
Erica,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights",A gorgeous place with the best artwork. Had everything we needed to relax in the middle of a 2-week vacation. What a gem!
Lynne,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",everything was perfect 👌 only problem was shower at fitting was leaking. Other than that it was perfect.
Renee,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed over a week",My superintendent loved his stay.
Sadie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","A cute, comfortable home in Roswell. Provided plenty of comforts, including snacks and drinks, and the bedrooms were nice sizes."
Brian,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","The casita was the nicest Airbnb we have ever stayed in.
It was extremely clean and very comfortable.
That is very important to us since we have to visit annually for a medical consultation.
It is the best place to stay in Roswell hands down.
The fridge was even stocked with food.
Maria and Kim were very gracious and made us feel at home.
They live next door but the casita was cozy and private.
Maria was very responsive with any questions I would text her.
When our flight was canceled and we had to stay another 2 days they were very accommodating with allowing us to extend the stay.
The decor is very nice and there are impressive prints of paintings throughout the rooms.
We were blown away upon learning that several of them were created by Kim who is a professional artist.
We would love to stay here for our 2025 visit."
Alexander,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Felt right at home! Thank you again for the beautiful stay!
Sherry,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great casita with nice decor and all the amenities. Maria’s recommendation pages were spot on.
Victoria,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Maria had a beautiful place, was kind, responsive, and the most well stocked Airbnb I have ever stayed at. Can’t wait to be back to visit!"
Kristi,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Beautiful Casita!! Perfectly met our needs!
Venise,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",I will definitely stay here again when in Roswell Great experience. Maria is friendly and responsive. We had everything we needed. The bed was so comfortable. I slept like I was at home.
Beth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We enjoyed a very comfortable & peaceful stay at Maria's home for our 2 nights in Roswell. The casita was immaculate, well-equipped & tastefully decorated with lovely artworks. Although only a few minutes drive from the center of town & major museums & attractions, it felt like we were in the country. Maria is a gracious host, warm & welcoming. Will definitely try to book again if our travels bring. us back to Roswell!"
Meaghan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We had the most wonderful stay at Maria’s little house! My father and I were traveling to Roswell for the first time, and every step of the way Maria was helpful and beyond accommodating. The house really feels like home and she thought of so many special little touches that made us feel so welcome. Would definitely recommend this to anyone staying in the area!"
Michael,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","absolutely loved it, whish I could have stayed longer."
Felipe,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Beautiful house, very well located. Everything was perfect with our stay."
Rachel,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",This stay was a great homebase for exploring the Roswell area. The neighborhood is quiet and home has spacious living areas. We enjoyed the two en suite bathrooms.
Matthew,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","We really enjoyed our stay. If I ever need to stay in Roswell again, this place will be at top of my list."
Mark,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Excellent environment and peaceful!
Diamond,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","Great host, great house!"
Amy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",I have stayed at Maria's place several times and each time it has been great. Highly recommend this stay.
Bryan,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",It was very cozy and exactly what we needed. We would choose it again.
Kirc,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Wonderful
Heather,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","What a wonderful casita and thoughtful host! It was so nice to arrive to holiday decor and plenty of treats after a day of driving. The home was very clean and had everything we needed. The electric blankets were a thoughtful touch for our stay since it was December and very cold outside. For the price paid, it was honestly a steal! Highly recommend and looking forward to staying again!"
David,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","Nice quiet house with a lovely kitchen with all essential staples (oil, salt, pepper, butter etc).
Living area is very comfortable and we felt right at home. House is in a nice quiet neighborhood."
Kala,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Our stay at Maria’s couldn’t have been better. It was clean and comfortable. The location was perfect for us, and the hosts were so hospitable and accommodating. This will be my go-to in Roswell from now on!"
Richard,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Cute place close to downtown, everything you would want to do is within a 5 min drive from the house; the place is a steal for the price."
Debbie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We loved being there. Close to relatives we were visiting
