name,rating_info,review_text
Hilary,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with a pet",Beautifully done and comfortable space. Amazing kitchen amenities. This was a perfect spot for our family.
Jeff,"Rating, 4 stars
,
·
1 week ago
,
·
Group trip",Easy to find on a quiet street. Lindsey is easy to communicate with.
Corey,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Great place to stay with large bedrooms, open kitchen to living room, back yard and clean kitchen."
Yvette,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",Lindsay was a great host and was so responsive to our questions. The house has been mostly updated and had everything we needed to have a great stay. I would recommend!
Lucy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","Great house! Spacious and very clean..
Lindsey was very responsive.
Neighborhood was close to everything we needed and wanted to do.
We will be back!"
Irene,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Very spacious! Every room was beautiful and functional. It came with all the amenities and was layed out well. A real super host. Can’t wait to go back!
Gabriel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Amazing, cozy, spacious, clean, inviting, the list can go on and on. We enjoyed the space as we needed a couple of nights to stay while in town for our niece's wedding.
We would highly recommend if you need somewhere in San Angelo for a stay, Lindsey's place! She is very respectful, responsive and friendly. We had a predicament and she was very quick to assist us."
Patricia,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very comfortable home. nice and quiet neighborhood. There is no driveway. Awkward parking on street. Had a slight issue unlocking the door however once I was able to figure it out had no other issues. Very spacious home. Will definitely concerd staying here again while visiting my San Angelo family. Thank you Lindsey!!!!
Kaci,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Lindsey really thought of everything! Great hosts! Will definitely book again when we come to San Angelo to visit family!!!!!! House was perfect for kids!!
Diane,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Very nice place! Roomy, clean and in a nice neighborhood."
Jordan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",thoroughly enjoyed our stay.
Melissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Nice, comfortable stay. Quiet and safe neighborhood. Close to anything you might need."
Jodi,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights","Very nice! Really enjoyed our stay.
The only minor issue is that all the furnishings (couch, beds, and chairs) could use updating."
Anne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Absolutely beautiful home!! We stayed here while we were visiting some family in the area, and it was exactly what we needed. The home itself is gorgeous and sooo spacious! The living room/kitchen is very open which made it perfect for my big family. Each room is also very spacious with big closets, and the 2 bathrooms are large (perfect for multiple people getting ready). Everything was very clean and organized 😊"
Andrew,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Very well kept home close to everything in San Angelo! We enjoyed staying here as it is close to the State Park!
Leenell,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","It was a great family meeting place for the weekend. Enjoyed the location, amenities and fireplace. It's a halfway place for us to meet and we're already planning for another visit."
Claire,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Loved the home! Lindsey had clear instructions so check-in and out was easy. Excellent value.
Pamela,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Lovely home in a quiet neighborhood. Great space for a weekend gathering with our family with all needed essentials for our grandbaby too!
Grace,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","What a beautiful, clean, and cozy home! We enjoyed our stay very much! Nice neighborhood too! From the comfy beds and pillows to the nicely updated bathrooms, this is by far one of our favorite airbnbs. We will definitely be staying here again for future visits. ♥️"
Angelica,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Lindsay's home was perfect! The home was clean, had large bedrooms, with a playground in the backyard. The kitchen had updated appliances with a gas stove. The gas fireplace was also a plus!"
Alex,"Rating, 4 stars
,
·
January 2024
,
·
Stayed with a pet",Thanks for letting us stay
Kali,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Lindsey was easy and quick in communication. This house was perfect for my family and I to stay to celebrate my graduation from ASU and celebrating an early Christmas.
Suzanne,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",We had a wonderful experience! The house was perfect with a nice back yard for our dog. The kitchen is beautiful! We will definitely stay again.
Wesam,"Rating, 5 stars
,
·
December 2023
,
·
Group trip",Great place
James,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Absolutely my favorite VRBO ever! This place is incredibly cozy!!!
Donna,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",everything was great!
Wesam,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",Great place
Mattie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","This house was perfect for two families with kids traveling to San Angelo. The home is located in a nice, quiet neighborhood. It was very clean and the beds were comfortable. Thanks for being a great host! Would book agin."
Roni,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Lindsey was such a great host! Always very responsive. We loved the house. Plenty of room and two king beds and two large bathrooms that was good to have for two couples. Definitely recommend!!
Laura,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",In town for my daughter’s wedding so in and out a lot but very welcoming and loved the back yard.
Brandon,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",Best host ever!!! Lovely home. A must stay for San Angelo!
Kaylee,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",This house was perfect for our large family!
Erin,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Thanks for hosting us! Great home for trip to San Angelo.
Lucy,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Charming home, especially suited for a family."
Angela,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","We enjoyed staying at Lindsey's place while visiting family in San Angelo. Each of my teenagers had their own room, which was great! I enjoyed having my morning coffee on the back porch and listening to the birds in the morning. I will definitely book again on our next trip to San Angelo!"
Brandon,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Not sure if this is our 5th or 6th stay at Lindsey's..... but it's not our last!!!
Jodie,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Great place for family. We were there for a wedding so it was a great place for us to hang out and wait between festivities. Highly recommend!!
Brandon,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","In the last two months, we have stayed at 6 AirB&B’s and Lindsey’s has been hands-down the easiest to check in, communicate with the host and be incident free.
It’s smooth sailing at this property."
Tesha,"Rating, 5 stars
,
·
September 2023
,
·
Group trip","Loved staying here! It was perfect for our family- as we were in town for a wedding.
Cute house, very clean and spacious and in a safe neighborhood!"
Brandon,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Great location, especially working near the airport. The house is clean and has nice amenities. Great communication from the homeowner."
Mike,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","Very clean, smelled good, hot water, good water pressure, fenced back yard, excellent a/c, excellent appliances, all good, would go back."
Shirley,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",Fit our purpose of visiting relatives.
Matthew,"Rating, 5 stars
,
·
September 2023
,
·
Group trip",Overall great home in a great location
Tony & Brittany,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Lindsey’s place was exactly as listed, and more! Super spacious, plenty of room for my family to spread out and enjoy their week long stay in San Angelo. Cute, clean, and had everything we needed. Thank you!!"
Frazier,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","This home was even better than pics it was roomy, we were here for a funeral and everything was very close , there was a walmart not very far. If we are ever back to Texas we will definitely consider this place."
Brandon,"Rating, 5 stars
,
·
August 2023
,
·
Group trip","Like Arnold says, “I’ll be back!”"
