name,rating_info,review_text
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Our second stay there in the last 2 years, so that should say a lot! Interior space was fun & funky; made me think of my artsy girl friends places back in college who knew how to make old, quirky abodes an art-filled delight. The building is an old storefront on the groundfloor with a walk-up apartment above. Everything is well maintained & upgraded. Loved the clawfoot tub! The area has plenty of cool restaurants, bars & cafes withing walking distance. The Lake is an easy walk, too. You'll enjoy this place!"
Lillian,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",super cute place to stay downtown!
Melissa,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","I would go back in a heartbeat. Will definitely check availability next time I am in the area. Thanks, Nina and Tina. Though only texted with Nina."
Sam,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",This place is really different and neat! From the claw foot tub to the very interesting decorations. I spent the first half hour just walking around and looking at things! Nina was very helpful and a great host. I hope to stay here again!
Nathan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Very clean and organized, felt right at home, very welcoming"
John,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",A wonderful little place in Sheboygan. Nina was a wonderful host. The space was comfortable and inviting. Had all the little things for comfort. Seems like they care about the place!
Jodi,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",This is my second time staying at this apartment. It’s just cute and cozy. I love all the eccentric decor and the cute little shop downstairs. Located right downtown and within walking distance to several restaurants and bars. We were in town for a wedding and unfortunately didn’t spend much time in the apartment but the bed was comfortable and we really enjoy having our own private space when we travel.
Nicholas,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Nice place in walking distance to main strip of Sheboygan.
Andrew,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","We had a great time at Nina's place over the weekend! It was well-located, clean, and the communication was great. I would definitely stay again!"
Sarah,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Great little apartment to stay in. Walkable to shops and restaurants. Everything else is a short drive away. Tina was always responsive. The apartment was clean and cozy to stay in.
Anthony,"Rating, 4 stars
,
·
August 2023
,
·
Stayed one night",Nice place and a good location for what we came into town for.
