name,rating_info,review_text
Louis,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",We could walk to great restaurants. The small town was beautiful. Couldn’t ask for a better place to stay.
Harrison,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Great location and friendly hosts! Parking can be a pain because daytime parking on the street is limited to 2 hours and the nearest public lot is a 2 minute walk away.
Maryann,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Central location, comfortable and clean. Enjoyed my stay!"
Robert,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great location for anything downtown.
Shawnee,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Second time staying here & will definitely be back. Love the location downtown.
Richard,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",A wonderful place to stay!
Rosie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Tracy was an awesome host. She answered our many questions and was accommodating to our needs
Rebecca,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","My husband and I stay at a boondocks BlackHills cabin, with solar lights and little else, so we really appreciate Tracey's sweet apartment with hot water and super fast wifi, for a quick clean up and connect. The kitchen has everything you need (cooking in is mainly our style, although there are several restaurants within walking distance). We stay every year, and everything slways goes super smooth (even the stairs, lol). Easy to park, check in, very clean, and communication with Tracy is always excellent. Thanks again for another wonderful downtown historic Spearfish experience. Aloha, Rebecca&Dave"
Joy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Thank you
Diane,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Well maintained & furnished. Nice big windows facing Main Street. Easy to find.
Brent,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","This place was one of my favorite AirBnBs we have ever stayed in. Comfortably appointed and extremely conveniently located. I loved the vaulted ceilings with pressed tin tiles, and the big soft bath towels and cloths. We had a blast teaching our five year old how to play Monopoly with the local edition, and the brewery two blocks away does a great beer flight. I highly recommend this lovely downtown loft."
Amber,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights","Awesome stay at the Spearfish Loft! Thoroughly enjoy the historic building with modern upgrades. Great location and views right off Main Street. Plenty to do right outside the door while peaceful and comfortable inside. Would definitely stay again!
Tracy and Nathan were great hosts being quickly responsive and considerate of a need that came up during my stay."
Kenny,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Easy. Great location and Tracy was easy to communicate with.
Mariah,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Very convenient. Cozy. Host is quick to respond and accommodating. It was a fun place to stay!
Autumn,"Rating, 4 stars
,
·
July 2023
,
·
Stayed with kids","This loft was a cute downtown night on our long trip.
They do not want pets because of the lofts gorgeous original hard wood floors.
Place is spotless and cozy.
The bed is old and losing comfort.
Parking situation is my only true complaint and the property cannot do anything about that. You can’t street park overnight so then your stuck in a parking lot you can’t see by a sketchy motel… did see quite a bit of sketch people at night. And a crotch rocket woke us up from a dead sleep in the middle of the night. Scared my whole family to death. If you want a quiet oasis.. this isn’t it. If you want a weekend down town and plan on going out and staying up this is for you.
The owners are amazing and responsive. The loft is cute and clean!!! Just know what your getting into."
