name,rating_info,review_text
David,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Very nice place would definitely recommend.
Gautam,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",good
Raymond,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",👍🏽🔥👍🏽🔥
David,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed with kids",Great place great hosts
Mirian,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights",Very easy check in host was accommodating and had great communication. Would love to stay again
Lynda,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great little place. Great hosts!
Jaime,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Great place to stay and great hosts. The check in was easy and straightforward, greatly priced and such a pretty little view that makes you feel right at home. If you’re looking for a quiet clean place for a weekend getaway this is the spot. There is wifi available and two tvs for streaming in the kitchen and bedroom. Comfortable bed and pillows/blankets available. Once again, great spot and thank you to the hosts!"
Fatima,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","I have to say when looking on Airbnb ,checking in acontainer we were very confused, worried.but it was amazing,fun,
very comfortable, again thank yous for being great host, allowing us to enjoy your Airbnb God Bless"
NiMa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Overall, our stay at this container home was 5-stars. Absolutely no complaints. This place is a hidden gem in Stockton! It was so quiet and peaceful, that I could hear the crickets chirping during the day.
I was pleasantly surprised at how spacious the home felt! There was a door that sectioned off the bedroom from the bathroom and another door from the bathroom to the kitchen, so there was privacy amongst other guests. The windows were mirror tinted, so we were able to enjoy the view of the large oak trees and pond without having to worry about anyone looking in.
During the day, we hung out by the pond and sandy beach-like area. The pond was so massive, it seemed more like a lake! At night, we lit a fire pit, put the lights on to the pond waterfall and enjoyed the quiet sounds of nature and water. It was quite the experience.
Shelly and Brian were an amazing host. He was very communicative with us with when we had any questions. I will definitely be renting from them again!"
Bobby,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed a few nights",This was absolutely the best experience ever. Very clean location and Kate was always responsive and felt right at home. Would love to stay here again in the future.
Paul,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","We loved our stay here. It was me my wife and our 7 month old, and we were comfortable the entire time. The place doesn’t have laundry but the hosts were so helpful and allowed us to use their washer/dryer. It’s a clean, well decorated place in a safe and quiet neighborhood."
Laura,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place to stay in a wonderful location!
Grace,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","The hosts were so kind and welcoming, and the space was so peaceful and clean!"
Samuel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great host. Would definitely recommend or stay again
Stephanie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Spotless clean and full kitchen which I did not need. Both Kate and her husband couldn’t have been nicer. Close to freeway which made getting around very easy
Curtis,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","This was our second time staying here. It is a great and peaceful place to stay while visiting family (or whatever you have to do in Stockton). It's super clean, modern amenities, and extremely comfortable. Highly recommend this place for any length of stay in Stockton."
Jasmine,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",We were attending a wedding at the golf course and this was the perfect location!! Kate was excellent and greeted us at check in. Safe neighborhood and a very comfy/cozy stay. Don’t hesitate to book:)
Jason,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Nice private place! I’d stay again.
New,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Kate has a fantastic cottage. She was so nice at check in. I wanted to stay longer. The table out front is so neat to sit out on. I enjoyed the peace of just hanging out there in front - viewing palms …even chatted w a neighbor and petted a passing cat outside …in their area and walking too - nice near the golf course and river …bed was gorgeous. Same w kitchen. Super comfy LR too ! So easy to unpack and organize w the driveway right near the door/ entry. Was going thru some family stuff (older father ) and this was perfect serenity. Can’t wait to go back.
Maria,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","House was perfect, really enjoyed.
Thank you for sharing. We come every year will rent if still available."
Claire,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Personal check-in, great if you have plans at the country club you can practically walk to it! Very clean and comfortable bed. Clean bathroom. Modern, newly renovated. Extra linens readily available. Overall great stay. Also in a safe neighborhood."
Laura,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Wonderful Air B n B in a great location. I highly recommend.
Stephanie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We lived in Stockton for 40 years. So we are very familiar with the neighborhoods. This will absolutely be a return destination when we come to visit friends. It's quiet neighborhood. Easy to find, great place, friendly hosts, great communication. What more could you ask for??
If you come to visit, don't miss eating at Market Tavern or Prime Table."
Ryan,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week","Kate's place was exactly what I hoped for: clean, private, great location. It was an ideal spot for an extended work trip. Would be happy to stay here again for the next time I'm back in Stockton."
