name,rating_info,review_text
Vikram,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Came here with a group of friends and did some touring around the area. Perfect location so easy to get to the CT wine trail, Litchfield distillery and hiking on Sunday after the hangover. The house was great for our large group- we even rented hibachi one night the host approved it for an extra fee! Awesome spot for events."
Erica,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Wow what a property!!! The photos don’t even do it justice. Walking around the grounds is a magical experience. I really got the escape I needed staying here. Thank you Rachel for being an excellent host. Can’t wait to bring a group of girl friends back here!
Andy,"Rating, 5 stars
,
·
1 week ago
,
·
Group trip","Staying at this farm stay was such a wonderful experience! It was the perfect place for our little family to get out of the city for a peaceful weekend away! The property itself is breathtaking. Our son loved watching the horses and we enjoyed a morning cup of coffee to the sounds of the creek! There is lots to do in the area, but honestly our time on the farm was the best part of our stay! Rachel was a lovely and accommodating host. We will definitely recommend this place to our friends and hope to go back again ourselves!"
Rhian,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Property was beautiful. House was historic and felt like home. Provided easy access to Torrington, Waterbury, and Hartford. Rachel was a great host to us."
Peter,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",I loved this house and all it's history. Stayed on the pull out couch in the tv room and it was incredibly comfortable. The host Rachel was easy to talk to and get in touch with. All the amenities were as described as well.
Katie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","jonathans place was wonderful for a two month stay while i waited to move into my home. it is very clean and jonathan is super responsive. as a single female traveling alone, i felt at ease and safe in the home and surrounding neighborhood"
Jane,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",Jonathan was very helpful during our stay!
Trevor,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","Using my wife's words, the place is terrific. It has a unique upper floor apartment vibe. Very cool appliances, cool bathroom. The place feels very authentic --and it is perfect for one or two people. My wife and I will definitely use Jonathan's place again!"
Dina,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week","My son stayed at the 1-bedroom unit for 7 months during his internship in New Milford. From his account, the place was excellent. All necessary living amenities were available, the unit was clean and felt like home. Jonathan was friendly and responsive host. Highly recommend this place for a short or long term stay."
Gilli,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Jonathan was outstandingly kind and hospitable. The small unit is attractive and well designed and very comfortable for a short stay. I am from the UK and was impressed by the thoughtful information in an informative handbook. I can highly recommend this accommodation.
Stephanie,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",My friend and I loved our stay at Jonathan’s place! It was such a cute little cottage suit for us! We had the whole place to ourselves. Highly recommend!
Ross,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","Great place to stay, great location. Will stay here again!!"
Blair,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","The apartment was just right for me and my daughter (and her friend). I couldn’t believe how incredible the gardens were in the property. Absolutely gorgeous.
Short walk to an up and coming revitalization of downtown, with lots of interesting shops and restaurants. This was a perfect place to stay while visiting my daughter at boarding school.
Highly recommended..! :-)"
Nathan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Comfortable home with a beautiful backyard/garden. Molly was very friendly and responsive. Will stay there again if I visit!
Timothy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","For being on Main Street near the center of town, the apartment is at the rear of the house which made traffic noise practically unnoticeable. Having a designated private parking space off the street is a plus. The place is clean, quiet, and conveniently located. Entry instructions were clear and Molly was responsive to all communications. I'll add this location to my favorites list for future stays."
Suzanne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",I've stayed in this unit twice and I'd go back any time I'm in the area. It's spacious and has everything I need.
